ts,dir,mode,image,rms_evm,peak_evm,phase_evm,mag_evm,evm_excised,notes
20260723_144012,"/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/evmcap/fwd1",1,"tap_m1.bin",46.7965,99.9183,45.3492,13.9969,46.7947,"nFrames=421 rot=0deg decim=duplicate-run collapse (take last sample of each held run) conf=medium -- collapsed rate is 2x Rsym; extra decimate-by-2 applied (keeps every 2-th collapsed sample) | target=A dir=fwd tap_ip=10.0.0.148 modes=[0 1 2 3] nsamp=4000000 fwd=2000000000 rev=1900000000 ts=2026-07-22T19:47:30-04:00 image_md5=dcf5c5fb29e6509723b35f476a0a1bfa"
20260723_144012,"/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/evmcap/fwd1",2,"tap_m2.bin",100.0000,100.0000,0.0000,100.0000,100.0000,"nFrames=0 rot=0deg decim=duplicate-run collapse (take last sample of each held run) conf=medium -- collapsed rate is 2x Rsym; extra decimate-by-2 applied (keeps every 2-th collapsed sample) | target=A dir=fwd tap_ip=10.0.0.148 modes=[0 1 2 3] nsamp=4000000 fwd=2000000000 rev=1900000000 ts=2026-07-22T19:47:30-04:00 image_md5=dcf5c5fb29e6509723b35f476a0a1bfa"
20260723_144012,"/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/evmcap/fwd1",3,"tap_m3.bin",20.0867,100.0000,14.3667,14.2333,19.9626,"nFrames=529 rot=180deg decim=duplicate-run collapse (take last sample of each held run) conf=high -- collapsed rate matches Rsym directly (1 sample/symbol hold) | target=A dir=fwd tap_ip=10.0.0.148 modes=[0 1 2 3] nsamp=4000000 fwd=2000000000 rev=1900000000 ts=2026-07-22T19:47:30-04:00 image_md5=dcf5c5fb29e6509723b35f476a0a1bfa"
20260723_144012,"/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/evmcap/fwd1",ideal_ref,"raw.iq",20.3392,98.8834,14.8568,14.1203,19.6464,"nFrames=441 rot=0deg CFO=-5777Hz | target=A dir=fwd tap_ip=10.0.0.148 modes=[0 1 2 3] nsamp=4000000 fwd=2000000000 rev=1900000000 ts=2026-07-22T19:47:30-04:00 image_md5=dcf5c5fb29e6509723b35f476a0a1bfa"
20260723_144012,"/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/evmcap/fwd1",ideal_ref,"tap_m0.bin",19.8682,99.8227,14.3236,13.9681,19.5184,"nFrames=441 rot=0deg CFO=-5716Hz | target=A dir=fwd tap_ip=10.0.0.148 modes=[0 1 2 3] nsamp=4000000 fwd=2000000000 rev=1900000000 ts=2026-07-22T19:47:30-04:00 image_md5=dcf5c5fb29e6509723b35f476a0a1bfa"
20260723_144117,"/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/evmcap/rev1",1,"tap_m1.bin",46.6642,99.3420,45.3178,13.6485,46.6610,"nFrames=220 rot=180deg decim=duplicate-run collapse (take last sample of each held run) conf=high -- collapsed rate matches Rsym directly (1 sample/symbol hold) | target=B dir=rev tap_ip=10.0.0.146 modes=[0 1 2 3] nsamp=2000000 fwd=2000000000 rev=1900000000 ts=2026-07-23T13:09:39-04:00 image_md5=dcf5c5fb29e6509723b35f476a0a1bfa"
20260723_144117,"/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/evmcap/rev1",2,"tap_m2.bin",100.0000,100.0000,0.0000,100.0000,100.0000,"nFrames=0 rot=0deg decim=duplicate-run collapse (take last sample of each held run) conf=medium -- collapsed rate is 2x Rsym; extra decimate-by-2 applied (keeps every 2-th collapsed sample) | target=B dir=rev tap_ip=10.0.0.146 modes=[0 1 2 3] nsamp=2000000 fwd=2000000000 rev=1900000000 ts=2026-07-23T13:09:39-04:00 image_md5=dcf5c5fb29e6509723b35f476a0a1bfa"
20260723_144117,"/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/evmcap/rev1",3,"tap_m3.bin",19.9865,100.0000,14.4386,14.0068,19.9601,"nFrames=269 rot=180deg decim=duplicate-run collapse (take last sample of each held run) conf=high -- collapsed rate matches Rsym directly (1 sample/symbol hold) | target=B dir=rev tap_ip=10.0.0.146 modes=[0 1 2 3] nsamp=2000000 fwd=2000000000 rev=1900000000 ts=2026-07-23T13:09:39-04:00 image_md5=dcf5c5fb29e6509723b35f476a0a1bfa"
20260723_144117,"/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/evmcap/rev1",ideal_ref,"raw.iq",20.0644,90.5576,14.6067,13.9763,19.7860,"nFrames=220 rot=0deg CFO=5267Hz | target=B dir=rev tap_ip=10.0.0.146 modes=[0 1 2 3] nsamp=2000000 fwd=2000000000 rev=1900000000 ts=2026-07-23T13:09:39-04:00 image_md5=dcf5c5fb29e6509723b35f476a0a1bfa"
20260723_144117,"/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/evmcap/rev1",ideal_ref,"tap_m0.bin",19.7805,67.8448,14.3238,13.8489,19.6958,"nFrames=220 rot=0deg CFO=5209Hz | target=B dir=rev tap_ip=10.0.0.146 modes=[0 1 2 3] nsamp=2000000 fwd=2000000000 rev=1900000000 ts=2026-07-23T13:09:39-04:00 image_md5=dcf5c5fb29e6509723b35f476a0a1bfa"
