# ep clk heldts dheldts toff accoff runmax thr nxcd nnewpk nsync pkts rxframes
0 99355 12324 -1 12324 12324 68459125 200769022 1 1 0 0 0
1 198403 24609 12285 12276 12276 66624328 201019053 1 1 1 1 0
2 297411 36899 12290 12233 12233 68230736 204433698 1 1 1 2 1
3 396075 49232 12333 12233 12233 67601285 200902792 1 1 1 3 2
4 494867 61549 12317 12217 12217 51009002 205358286 1 1 1 4 3
5 593531 73882 12333 12217 12217 67387730 200842165 1 1 1 5 4
6 692331 86198 12316 12200 12200 67897924 202965156 1 1 1 6 5
7 790995 98531 12333 12200 12200 67272840 200842339 1 1 1 7 6
8 889851 98531 0 12200 12200 0 168798162 0 0 1 8 7
9 988515 123173 24642 12176 12176 67354853 200921158 1 1 0 8 8
10 1087371 123173 0 12176 12176 0 203789009 0 0 1 9 8
11 1186035 147815 24642 12152 12152 67289213 200789039 1 1 0 9 9
12 1284819 160133 12318 12137 12137 55473380 191692126 1 1 1 10 9
13 1383483 172466 12333 12137 12137 67322146 200874143 1 1 1 11 10
14 1482283 172466 0 12137 12137 0 203083192 0 0 1 12 11
15 1580947 197115 24649 12120 12120 67404101 200877212 1 1 0 12 12
16 1679771 209428 12313 12100 12100 68328692 201210731 1 1 1 13 12
17 1778435 221761 12333 12100 12100 68029568 200983975 1 1 1 14 13
18 1877179 234084 12323 12090 12090 68226957 205951449 1 1 1 15 14
19 1975843 246417 12333 12090 12090 67289213 201141653 1 1 1 16 15
20 2074659 258731 12314 12071 12071 50666285 200222372 1 1 1 17 16
21 2173323 271064 12333 12071 12071 67404101 201022546 2 2 1 18 17
22 2272171 271064 0 12071 12071 0 202138204 0 0 1 19 18
23 2370835 295707 24643 12048 12048 67256522 201117371 1 1 0 19 19
24 2469651 308021 12314 12029 12029 36587745 195829610 1 1 1 20 19
25 2568315 320354 12333 12029 12029 67404104 201134872 1 1 1 21 20
26 2667139 332667 12313 12009 12009 67471396 205776078 1 1 1 22 21
27 2765803 345000 12333 12009 12009 67272805 200949415 1 1 1 23 22
28 2864563 357321 12321 11997 11997 52396177 202930502 1 1 1 24 23
29 2963227 369654 12333 11997 11997 67256437 201126653 1 1 1 25 24
30 3062043 381968 12314 11978 11978 67765825 202645643 1 1 1 26 25
31 3160707 394301 12333 11978 11978 67486226 201026951 1 1 1 27 26
32 3259515 406616 12315 11960 11960 49339385 203875608 1 1 1 28 27
33 3358179 418949 12333 11960 11960 67272805 201018577 1 1 1 29 28
34 3456995 431263 12314 11941 11941 67227322 204489497 1 1 1 30 29
35 3555659 443596 12333 11941 11941 67469896 201086789 1 1 1 31 30
36 3654627 443596 0 11941 11941 0 192208684 0 0 1 32 31
37 3753291 468224 24628 11903 11903 67338436 200893090 1 1 0 32 32
38 3852067 480543 12319 11889 11889 68227721 202732564 1 1 1 33 32
39 3950731 492876 12333 11889 11889 67420602 201068150 1 1 1 34 33
40 4049467 505200 12324 11880 11880 67592410 204324401 1 1 1 35 34
41 4148131 517533 12333 11880 11880 67420546 200982813 1 1 1 36 35
42 4246971 529844 12311 11858 11858 68008180 202509772 1 1 1 37 36
43 4345635 542177 12333 11858 11858 67371280 201066917 1 1 1 38 37
44 4444531 542177 0 11858 11858 0 202270098 0 0 1 39 38
45 4543195 566814 24637 11829 11829 67387682 201108149 1 1 0 39 39
46 4642027 579126 12312 11808 11808 65190052 201851847 1 1 1 40 39
47 4740691 591459 12333 11808 11808 67322029 200950545 1 1 1 41 40
48 4839451 591459 0 11808 11808 0 205860710 0 0 1 42 41
49 4938115 616113 24654 11796 11796 67207285 201157934 1 1 0 42 42
50 5036915 628429 12316 11779 11779 68231530 201445932 1 1 1 43 42
51 5135579 640762 12333 11779 11779 67289209 201086864 1 1 1 44 43
52 5234403 653075 12313 11759 11759 68129965 203382851 1 1 1 45 44
53 5333067 665408 12333 11759 11759 67256482 201100278 2 2 1 46 45
54 5431859 665408 0 11759 11759 0 201786046 0 0 1 47 46
55 5530523 690058 24650 11743 11743 67256401 201090854 1 1 0 47 47
56 5629299 702377 12319 11729 11729 68183145 203116246 1 1 1 48 47
57 5727963 714710 12333 11729 11729 67436960 200986626 1 1 1 49 48
58 5826787 714710 0 11729 11729 0 201905435 0 0 1 50 49
59 5925451 739356 24646 11709 11709 67207208 201064062 1 1 0 50 50
60 6024235 751674 12318 11694 11694 62010901 201871089 1 1 1 51 50
61 6122899 764007 12333 11694 11694 67272804 201062791 1 1 1 52 51
62 6221715 764007 0 11694 11694 0 204519363 0 0 1 53 52
63 6320379 788654 24647 11675 11675 67354993 200994725 1 1 0 53 53
64 6419243 788654 0 11675 11675 0 202767388 0 0 1 54 53
65 6517907 813295 24641 11650 11650 67683565 201080311 1 1 0 54 54
66 6616715 813295 0 11650 11650 0 207623608 0 0 1 55 54
67 6715379 837943 24648 11632 11632 67404829 200927648 1 1 0 55 55
68 6814179 850259 12316 11615 11615 68062536 202388042 1 1 1 56 55
69 6912843 862592 12333 11615 11615 67256402 201110660 1 1 1 57 56
70 7011659 874906 12314 11596 11596 66668249 200886239 1 1 1 58 57
71 7110323 887239 12333 11596 11596 67453433 200990978 1 1 1 59 58
72 7209059 899563 12324 11587 11587 68158481 201790838 1 1 1 60 59
73 7307723 911896 12333 11587 11587 67404181 201056072 1 1 1 61 60
74 7406579 911896 0 11587 11587 0 201591304 0 0 1 62 61
75 7505243 936538 24642 11563 11563 67404116 201060023 1 1 0 62 62
76 7604059 936538 0 11563 11563 0 202974057 0 0 1 63 62
77 7702723 961185 24647 11544 11544 67387706 201061280 1 1 0 63 63
78 7801611 973490 12305 11516 11516 53873469 202824322 1 1 1 64 63
79 7900275 985823 12333 11516 11516 67305641 201086630 1 1 1 65 64
80 7999035 998144 12321 11504 11504 68158250 201119199 1 1 1 66 65
81 8097699 1010477 12333 11504 11504 67289225 201066937 1 1 1 67 66
82 8196491 1010477 0 11504 11504 0 202147640 0 0 1 68 67
83 8295155 1035127 24650 11488 11488 67354850 200993096 1 1 0 68 68
84 8394035 1047433 12306 11461 11461 67669477 202214087 1 1 1 69 68
85 8492699 1059766 12333 11461 11461 67224226 201165754 1 1 1 70 69
86 8591475 1072085 12319 11447 11447 68147329 202239991 1 1 1 71 70
87 8690139 1084418 12333 11447 11447 67272904 201057346 1 1 1 72 71
88 8788931 1096735 12317 11431 11431 68034128 201865663 1 1 1 73 72
89 8887595 1109068 12333 11431 11431 67387697 201107046 1 1 1 74 73
90 8986435 1121379 12311 11409 11409 68034404 201673240 1 1 1 75 74
91 9085099 1133712 12333 11409 11409 67289218 201106960 1 1 1 76 75
92 9183915 1146026 12314 11390 11390 68095553 201777600 1 1 1 77 76
93 9282579 1158359 12333 11390 11390 67420522 201002701 1 1 1 78 77
94 9381395 1170673 12314 11371 11371 60806434 202905579 1 1 1 79 78
95 9480059 1183006 12333 11371 11371 67207429 201047887 1 1 1 80 79
96 9578763 1195334 12328 11366 11366 63404680 201598529 1 1 1 81 80
97 9677427 1207667 12333 11366 11366 67387730 201046633 1 1 1 82 81
98 9776243 1207667 0 11366 11366 0 202562174 0 0 1 83 82
99 9874907 1232314 24647 11347 11347 67371364 201019916 1 1 0 83 83
100 9973691 1244632 12318 11332 11332 66134753 202839123 1 1 1 84 83
101 10072355 1256965 12333 11332 11332 67354849 201029498 1 1 1 85 84
102 10171139 1269283 12318 11317 11317 68046017 203101197 1 1 1 86 85
103 10269803 1281616 12333 11317 11317 67272840 200977675 1 1 1 87 86
104 10368603 1281616 0 11317 11317 0 202063204 0 0 1 88 87
105 10467267 1306265 24649 11300 11300 67387825 201152428 1 1 0 88 88
106 10566155 1318570 12305 11272 11272 67775824 201319224 1 1 1 89 88
107 10664819 1330903 12333 11272 11272 67256410 200950738 1 1 1 90 89
108 10763595 1343222 12319 11258 11258 47723297 201431627 1 1 1 91 90
109 10862259 1355555 12333 11258 11258 67617733 201000043 1 1 1 92 91
110 10961091 1355555 0 11258 11258 0 202159254 0 0 1 93 92
111 11059755 1380200 24645 11237 11237 67289225 201109356 1 1 0 93 93
112 11158579 1392513 12313 11217 11217 68225965 201857510 1 1 1 94 93
113 11257243 1404846 12333 11217 11217 67469845 200965295 1 1 1 95 94
114 11356219 1417140 12294 11178 11178 46822997 201832629 1 1 1 96 95
115 11454883 1429473 12333 11178 11178 67223797 201041347 1 1 1 97 96
116 11553587 1441801 12328 11173 11173 66590089 202150315 1 1 1 98 97
117 11652251 1454134 12333 11173 11173 67404101 201044201 1 1 1 99 98
118 11751099 1466444 12310 11150 11150 67158650 201826843 1 1 1 100 99
119 11849763 1478777 12333 11150 11150 67782353 201009527 1 1 1 101 100
120 11948515 1491099 12322 11139 11139 49632386 201800069 1 1 1 102 101
121 12047179 1503432 12333 11139 11139 67700105 201126753 2 2 1 103 102
122 12146003 1503432 0 11139 11139 0 203227980 0 0 1 104 103
123 12244667 1528078 24646 11119 11119 67224562 201010751 1 1 0 104 104
124 12343443 1540397 12319 11105 11105 68360913 201759634 1 1 1 105 104
125 12442107 1552730 12333 11105 11105 67256450 201149641 1 1 1 106 105
126 12540923 1565044 12314 11086 11086 67914085 202588716 1 1 1 107 106
127 12639587 1577377 12333 11086 11086 67338440 201025388 1 1 1 108 107
128 12738371 1589695 12318 11071 11071 67766113 202590612 1 1 1 109 108
129 12837035 1602028 12333 11071 11071 67240121 200962741 1 1 1 110 109
130 12935739 1614356 12328 11066 11066 68459560 201280385 1 1 1 111 110
131 13034403 1626689 12333 11066 11066 67174441 201149600 1 1 1 112 111
132 13133227 1639002 12313 11046 11046 60122933 201664480 1 1 1 113 112
133 13231891 1651335 12333 11046 11046 67305625 201013667 1 1 1 114 113
134 13330755 1663643 12308 11021 11021 55897826 202806770 1 1 1 115 114
135 13429419 1675976 12333 11021 11021 67371280 201086927 1 1 1 116 115
136 13528251 1688288 12312 11000 11000 58037733 202252991 1 1 1 117 116
137 13626915 1700621 12333 11000 11000 67338437 201042505 1 1 1 118 117
138 13725683 1712941 12320 10987 10987 68293840 203204362 1 1 1 119 118
139 13824347 1725274 12333 10987 10987 67305620 200981217 1 1 1 120 119
140 13923107 1725274 0 10987 10987 0 203677648 0 0 1 121 120
141 14021771 1749928 24654 10975 10975 67436960 201166916 1 1 0 121 121
142 14120771 1749928 0 10975 10975 0 202141506 0 0 1 122 121
143 14219435 1774552 24624 10933 10933 67469812 201004081 1 1 0 122 122
144 14318435 1786843 12291 10891 10891 67725090 202943329 1 1 1 123 122
145 14417099 1799176 12333 10891 10891 67749370 201046637 1 1 1 124 123
146 14515843 1799176 0 10891 10891 0 201687163 0 0 1 125 124
147 14614507 1823832 24656 10881 10881 67437025 201146783 1 1 0 125 125
148 14713355 1836142 12310 10858 10858 66717449 201455202 1 1 1 126 125
149 14812019 1848475 12333 10858 10858 67289330 201044109 1 1 1 127 126
150 14910859 1848475 0 10858 10858 0 203181767 0 0 1 128 127
151 15009523 1873119 24644 10836 10836 67190890 201127950 1 1 0 128 128
152 15108371 1885429 12310 10813 10813 67977936 203060351 1 1 1 129 128
153 15207035 1897762 12333 10813 10813 67256417 201048135 1 1 1 130 129
154 15305859 1897762 0 10813 10813 0 201886536 0 0 1 131 130
155 15404523 1922408 24646 10793 10793 67322089 201026889 1 1 0 131 131
156 15503299 1922408 0 10793 10793 0 201944625 0 0 1 132 131
157 15601963 1947060 24652 10779 10779 67453405 201101350 1 1 0 132 132
158 15700771 1959375 12315 10761 10761 50879725 201978021 1 1 1 133 132
159 15799435 1971708 12333 10761 10761 67700240 200971794 1 1 1 134 133
160 15898275 1971708 0 10761 10761 0 201362833 0 0 1 135 134
161 15996939 1996352 24644 10739 10739 67733096 201138894 1 1 0 135 135
162 16095747 2008667 12315 10721 10721 67667092 201631345 1 1 1 136 135
163 16194411 2021000 12333 10721 10721 67289245 201034946 1 1 1 137 136
164 16293219 2033315 12315 10703 10703 68329672 202985079 1 1 1 138 137
165 16391883 2045648 12333 10703 10703 67404136 200971991 1 1 1 139 138
166 16490667 2045648 0 10703 10703 0 202281970 0 0 1 140 139
167 16589331 2070299 24651 10688 10688 67290809 201116460 1 1 0 140 140
168 16688099 2070299 0 10688 10688 0 201755925 0 0 1 141 140
169 16786763 2094952 24653 10675 10675 67240025 200985255 1 1 0 141 141
170 16885587 2107265 12313 10655 10655 68211306 201085144 1 1 1 142 141
171 16984251 2119598 12333 10655 10655 67190858 201100175 1 1 1 143 142
172 17083083 2131910 12312 10634 10634 66440482 201613899 1 1 1 144 143
173 17181747 2144243 12333 10634 10634 67420642 200954632 1 1 1 145 144
174 17280499 2156565 12322 10623 10623 52309381 201880866 1 1 1 146 145
175 17379163 2168898 12333 10623 10623 67404104 200969139 1 1 1 147 146
176 17477923 2181219 12321 10611 10611 66407965 201855358 1 1 1 148 147
177 17576587 2193552 12333 10611 10611 67305616 201082996 1 1 1 149 148
178 17675339 2205874 12322 10600 10600 68025778 202433332 1 1 1 150 149
179 17774003 2218207 12333 10600 10600 67469805 201013403 1 1 1 151 150
180 17872979 2230501 12294 10561 10561 68182538 202646639 1 1 1 152 151
181 17971643 2242834 12333 10561 10561 67223665 201100176 1 1 1 153 152
182 18070531 2242834 0 10561 10561 0 202322244 0 0 1 154 153
183 18169195 2267472 24638 10533 10533 67256426 201053254 1 1 0 154 154
184 18267987 2279789 12317 10517 10517 45655040 205380560 1 1 1 155 154
185 18366651 2292122 12333 10517 10517 67387682 200980049 1 1 1 156 155
186 18465411 2292122 0 10517 10517 0 202404837 0 0 1 157 156
187 18564075 2316776 24654 10505 10505 67338632 201166923 1 1 0 157 157
188 18662883 2316776 0 10505 10505 0 201848321 0 0 1 158 157
189 18761547 2341424 24648 10487 10487 67272808 201041705 1 1 0 158 158
190 18860371 2353737 12313 10467 10467 64453140 202581605 1 1 1 159 158
191 18959035 2366070 12333 10467 10467 67223626 201130823 1 1 1 160 159
192 19057835 2378386 12316 10450 10450 66522937 203121473 1 1 1 161 160
193 19156499 2390719 12333 10450 10450 67436993 201078496 1 1 1 162 161
194 19255339 2403030 12311 10428 10428 66033397 202300461 1 1 1 163 162
195 19354019 2415363 12333 10428 10428 67486226 200990581 1 1 1 164 163
196 19453019 2427653 12290 10385 10385 56416417 202026728 1 1 1 165 164
197 19551683 2439985 12332 10384 10384 67207429 201134824 1 1 1 166 165
198 19650507 2452298 12313 10364 10364 68284058 201763541 1 1 1 167 166
199 19749171 2464631 12333 10364 10364 67436953 200958311 1 1 1 168 167
200 19847915 2476954 12323 10354 10354 64999688 201650799 1 1 1 169 168
201 19946579 2489287 12333 10354 10354 67207285 201029407 1 1 1 170 169
202 20045363 2489287 0 10354 10354 0 201619011 0 0 1 171 170
203 20144027 2513938 24651 10339 10339 67207213 201080141 1 1 0 171 171
204 20242731 2513938 0 10339 10339 0 201898627 0 0 1 172 171
205 20341395 2538599 24661 10334 10334 67256417 200964058 1 1 0 172 172
206 20440107 2550926 12327 10328 10328 67952090 202097012 1 1 1 173 172
207 20538771 2563259 12333 10328 10328 67732981 201108167 1 1 1 174 173
208 20637491 2563259 0 10328 10328 0 202123774 0 0 1 175 174
209 20736155 2587918 24659 10321 10321 67322026 201006846 1 1 0 175 175
210 20834947 2600235 12317 10305 10305 68327381 201792299 1 1 1 176 175
211 20933611 2612568 12333 10305 10305 67223610 201082993 1 1 1 177 176
212 21032435 2612568 0 10305 10305 0 202828458 0 0 1 178 177
213 21131099 2637214 24646 10285 10285 67453378 201024338 1 1 0 178 178
214 21229843 2649537 12323 10275 10275 62501125 201852605 1 1 1 179 178
215 21328507 2661870 12333 10275 10275 67700000 200905360 1 1 1 180 179
216 21427291 2661870 0 10275 10275 0 201530959 0 0 1 181 180
217 21525955 2686521 24651 10260 10260 67601453 201122691 1 1 0 181 181
218 21624747 2698838 12317 10244 10244 50482085 201979574 1 1 1 182 181
219 21723411 2711171 12333 10244 10244 67404164 200989363 1 1 1 183 182
220 21822283 2723478 12307 10218 10218 68227681 203055998 1 1 1 184 183
221 21920947 2735811 12333 10218 10218 67223665 200930458 1 1 1 185 184
222 22019739 2748128 12317 10202 10202 64533989 201713707 1 1 1 186 185
223 22118403 2760461 12333 10202 10202 67240225 201123129 1 1 1 187 186
224 22217243 2760461 0 10202 10202 0 202063208 0 0 1 188 187
225 22315907 2785105 24644 10180 10180 67387697 201009406 1 1 0 188 188
226 22414755 2797415 12310 10157 10157 68195525 202465195 1 1 1 189 188
227 22513419 2809748 12333 10157 10157 67437065 201155025 1 1 1 190 189
228 22612411 2809748 0 10157 10157 0 201950128 0 0 1 191 190
229 22711075 2834373 24625 10116 10116 67502656 201041654 1 1 0 191 191
230 22810051 2846667 12294 10077 10077 68038153 202289699 1 1 1 192 191
231 22908715 2859000 12333 10077 10077 67305617 201022542 1 1 1 193 192
232 23007499 2859000 0 10077 10077 0 200304061 0 0 1 194 193
233 23106163 2883651 24651 10062 10062 67453378 201124185 1 1 0 194 194
234 23205131 2895946 12295 10024 10024 60572293 201697335 1 1 1 195 194
235 23303795 2908279 12333 10024 10024 67469812 200973574 1 1 1 196 195
236 23402747 2920576 12297 9988 9988 52664954 201601511 1 1 1 197 196
237 23501411 2932909 12333 9988 9988 67256437 201120183 1 1 1 198 197
238 23600219 2932909 0 9988 9988 0 201607962 0 0 1 199 198
239 23698883 2957557 24648 9970 9970 67289353 201006931 1 1 0 199 199
240 23797683 2969873 12316 9953 9953 68178305 202154135 1 1 1 200 199
241 23896347 2982206 12333 9953 9953 67387762 201024139 1 1 1 201 200
242 23995219 2994513 12307 9927 9927 67013732 201982040 1 1 1 202 201
243 24093883 3006846 12333 9927 9927 67420621 201063827 1 1 1 203 202
244 24192643 3019167 12321 9915 9915 66637069 201220860 2 1 1 204 203
245 24291307 3031500 12333 9915 9915 67420522 200993209 1 1 1 205 204
246 24390139 3043812 12312 9894 9894 67894810 201967579 1 1 1 206 205
247 24488803 3056145 12333 9894 9894 67256801 201063881 1 1 1 207 206
248 24587603 3056145 0 9894 9894 0 201392121 0 0 1 208 207
249 24686267 3080794 24649 9877 9877 67273288 201113220 1 1 0 208 208
250 24785043 3093113 12319 9863 9863 61757965 201741543 1 1 1 209 208
251 24883707 3105446 12333 9863 9863 67453433 201049227 1 1 1 210 209
252 24982531 3117759 12313 9843 9843 67470052 202368276 1 1 1 211 210
253 25081195 3130092 12333 9843 9843 67223605 201145592 1 1 1 212 211
254 25180027 3142404 12312 9822 9822 68393861 203586708 1 1 1 213 212
255 25278691 3154737 12333 9822 9822 67404104 201041293 1 1 1 214 213
256 25377571 3167043 12306 9795 9795 67650626 202522694 1 1 1 215 214
