# ep clk heldts dheldts toff accoff runmax thr nxcd nnewpk nsync pkts rxframes
0 99355 12324 -1 12324 12324 68459125 200769022 1 1 0 0 0
1 198403 24609 12285 12276 12276 62588277 197800616 1 1 1 1 0
2 297451 24609 0 12276 12276 0 179219121 0 0 1 2 1
3 396139 49224 24615 12225 12225 63729640 196182096 2 2 0 2 2
4 494963 49224 0 12225 12225 0 174104801 0 0 1 3 2
5 593627 73870 24646 12205 12205 58576625 183822764 1 1 0 3 3
6 692523 86174 12304 12176 12176 50260825 179978683 1 1 1 4 3
7 791187 98507 12333 12176 12176 56870696 193510840 1 1 1 5 4
8 889995 98507 0 12176 12176 0 177912400 0 0 1 6 5
9 988659 123155 24648 12158 12158 57275305 186215113 1 1 0 6 6
10 1087331 135487 12332 12157 12157 55428020 182041124 1 1 1 7 6
11 1185995 147820 12333 12157 12157 61995674 186306500 1 1 1 8 7
12 1284723 160145 12325 12149 12149 60347237 177206610 1 1 1 9 8
13 1383387 172478 12333 12149 12149 61360429 184643221 2 2 1 10 9
14 1482083 172478 0 12149 12149 0 165871328 0 0 1 11 10
15 1580747 197140 24662 12145 12145 57174472 184191170 1 1 0 11 11
16 1679443 197140 0 12145 12145 0 119187193 0 0 1 12 11
17 1778107 221802 24662 12141 12141 54864650 191836719 1 1 0 12 12
18 1876987 234108 12306 12114 12114 54792954 183774397 1 1 1 13 12
19 1975651 246441 12333 12114 12114 67122450 168313509 1 1 1 14 13
20 2074499 258751 12310 12091 12091 56340601 195871071 1 1 1 15 14
21 2173163 271084 12333 12091 12091 62115773 187280722 2 2 1 16 15
22 2272019 271084 0 12091 12091 0 177925803 0 0 1 17 16
23 2370683 295726 24642 12067 12067 61186266 194637670 1 1 0 17 17
24 2469483 308042 12316 12050 12050 64770833 184709819 1 1 1 18 17
25 2568147 320375 12333 12050 12050 52326473 192542270 1 1 1 19 18
26 2666979 332687 12312 12029 12029 66816698 173679568 1 1 1 20 19
27 2765643 345020 12333 12029 12029 61040621 177590395 1 1 1 21 20
28 2864363 345020 0 12029 12029 0 198827510 0 0 1 22 21
29 2963027 369679 24659 12022 12022 68445530 167180021 2 2 0 22 22
30 3061827 369679 0 12022 12022 0 176526123 0 0 1 23 22
31 3160491 394328 24649 12005 12005 66075066 175447440 1 1 0 23 23
32 3259371 394328 0 12005 12005 0 197742519 0 0 1 24 23
33 3358035 418967 24639 11978 11978 55740880 176038812 1 1 0 24 24
34 3456811 431286 12319 11964 11964 61860625 180967580 1 1 1 25 24
35 3555475 443619 12333 11964 11964 52279141 187294039 1 1 1 26 25
36 3654339 443619 0 11964 11964 0 168284591 0 0 1 27 26
37 3753003 468260 24641 11939 11939 56954449 177370166 1 1 0 27 27
38 3851691 468260 0 11939 11939 0 187661281 0 0 1 28 27
39 3950355 492923 24663 11936 11936 63824525 189792345 1 1 0 28 28
40 4049131 505242 12319 11922 11922 63076000 177496025 1 1 1 29 28
41 4147795 517575 12333 11922 11922 56458340 158385669 1 1 1 30 29
42 4246667 517575 0 11922 11922 0 229269614 0 0 1 31 30
43 4345331 542215 24640 11896 11896 59817565 201234010 1 1 0 31 31
44 4444011 542215 0 11896 11896 0 174187009 0 0 1 32 31
45 4542675 566879 24664 11894 11894 64200244 194785526 1 1 0 32 32
46 4641499 579192 12313 11874 11874 62110276 175893037 1 1 1 33 32
47 4740163 591525 12333 11874 11874 62558681 190563852 2 2 1 34 33
48 4839043 603831 12306 11847 11847 64176290 196293721 1 1 1 35 34
49 4937707 616164 12333 11847 11847 62534420 161346295 1 1 1 36 35
50 5036571 616164 0 11847 11847 0 183514976 0 0 1 37 36
51 5135235 640805 24641 11822 11822 67388705 190070712 1 1 0 37 37
52 5234067 653117 12312 11801 11801 51851546 187716281 1 1 1 38 37
53 5332731 665450 12333 11801 11801 62482325 174710859 2 2 1 39 38
54 5431555 677763 12313 11781 11781 63967345 195861068 1 1 1 40 39
55 5530219 690096 12333 11781 11781 57649489 177997817 1 1 1 41 40
56 5629139 690096 0 11781 11781 0 184226586 0 0 1 42 41
57 5727803 714730 24634 11749 11749 59183405 158525954 1 1 0 42 42
58 5826699 727034 12304 11720 11720 46256002 190958162 1 1 1 43 42
59 5925363 739367 12333 11720 11720 58796114 196969128 1 1 1 44 43
60 6024395 739367 0 11720 11720 0 121646993 0 0 1 45 44
61 6123083 763984 24617 11671 11671 55391690 188770115 1 1 0 45 45
62 6221755 776316 12332 11670 11670 55463108 193229177 1 1 1 46 45
63 6320419 788649 12333 11670 11670 65292145 171319904 1 1 1 47 46
64 6419275 800958 12309 11646 11646 62658265 186210745 1 1 1 48 47
65 6517939 813291 12333 11646 11646 64647722 205051002 1 1 1 49 48
66 6616699 825612 12321 11634 11634 59421188 163157295 1 1 1 50 49
67 6715363 837945 12333 11634 11634 58324554 189282991 1 1 1 51 50
68 6814139 837945 0 11634 11634 0 177721076 0 0 1 52 51
69 6912803 862597 24652 11620 11620 67453405 174553381 1 1 0 52 52
70 7011619 862597 0 11620 11620 0 183848170 0 0 1 53 52
71 7110283 887244 24647 11601 11601 63267826 198609539 2 2 0 53 53
