# rxframe clk nbytes ok allzero seq hdr16
1 296542 1528 0 1 0 00000000000000000000000000000000
2 395198 1528 0 1 0 00000000000000000000000000000000
3 592302 1528 0 1 0 00000000000000000000000000000000
4 789710 1528 0 1 0 00000000000000000000000000000000
5 888142 1528 0 1 0 00000000000000000000000000000000
6 986950 1528 0 0 3 114bec0503000000214e47547a3d7dfc
7 1184142 1528 0 1 0 00000000000000000000000000000000
8 1282798 1528 0 1 0 00000000000000000000000000000000
9 1381526 1528 1 0 5 514bec0505000000214e4754bc3bfbf6
10 1480126 1528 0 1 0 00000000000000000000000000000000
11 1578814 1528 1 0 6 514bec0506000000214e4754df38bcbf
12 1776142 1528 0 1 0 00000000000000000000000000000000
13 1973662 1528 0 1 0 00000000000000000000000000000000
14 2072110 1528 0 1 0 00000000000000000000000000000000
15 2170958 1528 1 0 9 514bec0509000000214e47543037d680
16 2269438 1528 0 1 0 00000000000000000000000000000000
17 2368294 1528 1 0 10 514bec050a000000214e4754533491c9
18 2565566 1528 0 1 0 00000000000000000000000000000000
19 2664094 1528 0 1 0 00000000000000000000000000000000
20 2762926 1528 1 0 12 514bec050c000000214e4754953217c3
21 2861422 1528 0 1 0 00000000000000000000000000000000
22 2960142 1528 1 0 13 514bec050d000000214e4754b433d28c
23 3157542 1528 0 1 0 00000000000000000000000000000000
24 3354950 1528 0 1 0 00000000000000000000000000000000
25 3552182 1528 0 1 0 00000000000000000000000000000000
26 3650734 1528 0 1 0 00000000000000000000000000000000
27 3749582 1528 1 0 17 514bec0511000000214e4754096c2b20
28 3946742 1528 0 1 0 00000000000000000000000000000000
29 4144166 1528 0 1 0 00000000000000000000000000000000
30 4242718 1528 0 1 0 00000000000000000000000000000000
31 4341582 1528 1 0 20 514bec0514000000214e4754ac69ea63
32 4538726 1528 0 1 0 00000000000000000000000000000000
33 4736198 1528 0 1 0 00000000000000000000000000000000
34 4834702 1528 0 1 0 00000000000000000000000000000000
