# ep clk heldts dheldts toff accoff runmax thr nxcd nnewpk nsync pkts rxframes
0 99355 12324 -1 12324 12324 68459125 200769022 1 1 0 0 0
1 198403 24609 12285 12276 12276 62528749 197677082 1 1 1 1 0
2 297523 24609 0 12276 12276 0 170120035 0 0 1 2 1
3 396347 49198 24589 12199 12199 63640530 186241328 1 1 0 2 2
4 495059 49198 0 12199 12199 0 149110103 0 0 1 3 2
5 593731 73857 24659 12192 12192 57760525 199648378 1 1 0 3 3
6 692459 86182 12325 12184 12184 55866065 180927967 1 1 1 4 3
7 791123 98515 12333 12184 12184 63904292 192627583 1 1 1 5 4
8 890011 98515 0 12184 12184 0 163108226 0 0 1 6 5
9 988811 123136 24621 12139 12139 65309985 185909059 1 1 0 6 6
10 1087483 135468 12332 12138 12138 60438465 193922716 1 1 1 7 6
11 1186147 147801 12333 12138 12138 65894810 201025480 2 2 1 8 7
12 1284907 160122 12321 12126 12126 33491816 193454813 1 1 1 9 8
13 1383571 172455 12333 12126 12126 60344981 172877103 1 1 1 10 9
14 1482299 172455 0 12126 12126 0 148178843 0 0 1 11 10
15 1580963 197113 24658 12118 12118 55325728 184727671 1 1 0 11 11
16 1679659 209442 12329 12114 12114 53729156 182406719 1 1 1 12 11
17 1778323 221775 12333 12114 12114 63927905 176268008 1 1 1 13 12
18 1877139 234089 12314 12095 12095 53703698 197182085 1 1 1 14 13
19 1975803 246422 12333 12095 12095 52240000 189239793 1 1 1 15 14
20 2074675 246422 0 12095 12095 0 174321741 0 0 1 16 15
21 2173339 271062 24640 12069 12069 61623725 201260214 2 2 0 16 16
22 2272203 283370 12308 12044 12044 57866498 174783113 1 1 1 17 16
23 2370867 295703 12333 12044 12044 61201108 188520749 1 1 1 18 17
24 2469659 295703 0 12044 12044 0 198035832 0 0 1 19 18
25 2568323 320353 24650 12028 12028 59793040 199207317 1 1 0 19 19
26 2667003 320353 0 12028 12028 0 192636266 0 0 1 20 19
27 2765667 345017 24664 12026 12026 59506101 180159985 1 1 0 20 20
28 2864347 357348 12331 12024 12024 58153378 190738991 1 1 1 21 20
29 2963011 369681 12333 12024 12024 52548626 204834392 1 1 1 22 21
30 3061715 382009 12328 12019 12019 63884981 211588009 1 1 1 23 22
31 3160379 394342 12333 12019 12019 65390473 198365375 1 1 1 24 23
32 3259195 406656 12314 12000 12000 69912882 188122988 1 1 1 25 24
33 3357859 418989 12333 12000 12000 57808777 201840225 1 1 1 26 25
34 3456755 431293 12304 11971 11971 58359277 204175097 1 1 1 27 26
35 3555419 443626 12333 11971 11971 52479818 160713731 2 2 1 28 27
36 3654339 455927 12301 11939 11939 61073289 195015221 1 1 1 29 28
37 3753003 468260 12333 11939 11939 57036725 182464627 1 1 1 30 29
38 3851883 468260 0 11939 11939 0 187178982 0 0 1 31 30
39 3950547 492899 24639 11912 11912 57361320 200018500 1 1 0 31 31
40 4049235 492899 0 11912 11912 0 169147634 0 0 1 32 31
41 4147899 517562 24663 11909 11909 69259490 178287442 1 1 0 32 32
42 4246603 529890 12328 11904 11904 57903605 189959198 1 1 1 33 32
43 4345267 542223 12333 11904 11904 60203205 188403435 1 1 1 34 33
44 4444139 554530 12307 11878 11878 60935981 172929290 1 1 1 35 34
45 4542803 566863 12333 11878 11878 64157306 191601805 1 1 1 36 35
46 4641635 566863 0 11878 11878 0 186825333 0 0 1 37 36
47 4740299 591508 24645 11857 11857 61260833 187918405 1 1 0 37 37
48 4838979 591508 0 11857 11857 0 181688113 0 0 1 38 37
49 4937643 616172 24664 11855 11855 60592912 175078727 1 1 0 38 38
50 5036459 616172 0 11855 11855 0 175157086 0 0 1 39 38
51 5135123 640819 24647 11836 11836 54530237 162271722 1 1 0 39 39
52 5233899 653138 12319 11822 11822 58110485 183459497 1 1 1 40 39
53 5332563 665471 12333 11822 11822 56376554 174748729 2 2 1 41 40
54 5431387 677784 12313 11802 11802 56160425 160765065 1 1 1 42 41
55 5530051 690117 12333 11802 11802 58625269 174549600 1 1 1 43 42
56 5628779 702476 12359 11828 11828 30642253 217431137 1 1 1 44 43
57 5727443 714775 12299 11794 11794 59567560 173274926 1 1 1 45 44
58 5826395 714775 0 11794 11794 0 187945891 0 0 1 46 45
59 5925715 739323 24548 11676 11676 59375018 173171471 1 1 0 46 46
60 6024515 751639 12316 11659 11659 57395700 179067314 1 1 1 47 46
61 6123179 763972 12333 11659 11659 66583962 172080638 1 1 1 48 47
62 6221843 763972 0 11659 11659 0 166960891 0 0 1 49 48
63 6320507 788638 24666 11659 11659 56320226 207699955 1 1 0 49 49
64 6419179 788638 0 11659 11659 0 189922739 0 0 1 50 49
65 6517843 813303 24665 11658 11658 64006420 181396088 2 2 0 50 50
66 6616563 813303 0 11658 11658 0 207502859 0 0 1 51 50
