outframe,clk,capframe_est,seq,len,words,crc_ok
0,453358,1,-1,-1,191,0
1,650686,2,53864,1428,191,1
2,848014,3,53865,1428,191,1
3,1045342,4,53866,1428,191,1
4,1242670,5,53867,1428,191,1
5,1439998,6,53868,1428,191,1
6,1637326,7,53869,1428,191,1
7,1834654,8,53870,1428,191,1
8,2031982,9,53871,1428,191,1
9,2229310,10,53872,1428,191,1
10,2426638,11,53873,1428,191,1
11,2623966,12,53874,1428,191,1
12,2821294,13,53875,1428,191,1
13,3019102,14,53876,1428,191,1
14,3215934,15,-1,-1,191,0
15,3413262,16,53877,1428,191,1
16,3610590,17,53879,1428,191,1
17,3807918,18,53880,1428,191,1
18,4005246,19,53881,1428,191,1
19,4202574,20,53882,1428,191,1
20,4399902,21,53883,1428,191,1
21,4597230,22,53884,1428,191,1
22,4794558,23,53885,1428,191,1
23,4991886,24,53886,1428,191,1
24,5189214,25,53887,1428,191,1
25,5386542,26,53888,1428,191,1
