# outframe clk cap_out golden user frameStart rstcs
0 453310 00000000 0 0 1 0
1 650638 a029d28a 0 0 2 0
2 847966 a029d28a 0 0 3 0
3 1045294 a029d28a 0 0 4 0
4 1242622 a029d28a 0 0 5 0
5 1439950 a029d28a 0 0 6 0
6 1637278 a029d28a 0 0 7 0
7 1834606 a029d28a 0 0 8 0
8 2031934 a029d28a 0 0 9 0
9 2229262 a029d28a 0 0 10 0
10 2426590 a029d28a 0 0 11 0
11 2623918 a029d28a 0 0 12 0
12 2821246 a029d28a 0 0 13 0
13 3018574 a029d28a 0 0 14 0
14 3215902 a029d28a 0 0 15 0
15 3413230 a029d28a 0 0 16 0
16 3610558 a029d28a 0 0 17 0
17 3807886 a029d28a 0 0 18 0
18 4005214 a029d28a 0 0 19 0
19 4202542 a029d28a 0 0 20 0
20 4399870 a029d28a 0 0 21 0
21 4597198 a029d28a 0 0 22 0
22 4794526 a029d28a 0 0 23 0
23 4991854 a029d28a 0 0 24 0
24 5189182 a029d28a 0 0 25 0
25 5386510 a029d28a 0 0 26 0
26 5583838 a029d28a 0 0 27 0
27 5781166 a029d28a 0 0 28 0
28 5978494 a029d28a 0 0 29 0
29 6175822 a029d28a 0 0 30 0
30 6373150 a029d28a 0 0 31 0
31 6570478 a029d28a 0 0 32 0
32 6767806 a029d28a 0 0 33 0
33 6965134 a029d28a 0 0 34 0
34 7162462 a029d28a 0 0 35 0
35 7359790 a029d28a 0 0 36 0
36 7557118 a029d28a 0 0 37 0
37 7754446 a029d28a 0 0 38 0
38 7951774 a029d28a 0 0 39 0
39 8149102 a029d28a 0 0 40 0
40 8346430 a029d28a 0 0 41 0
41 8543758 a029d28a 0 0 42 0
42 8741086 a029d28a 0 0 43 0
43 8938414 a029d28a 0 0 44 0
44 9135742 a029d28a 0 0 45 0
45 9333070 a029d28a 0 0 46 0
46 9530398 a029d28a 0 0 47 0
47 9727726 a029d28a 0 0 48 0
48 9925054 a029d28a 0 0 49 0
49 10122382 a029d28a 0 0 50 0
50 10319710 a029d28a 0 0 51 0
51 10517038 a029d28a 0 0 52 0
52 10714366 a029d28a 0 0 53 0
53 10911694 a029d28a 0 0 54 0
54 11109022 a029d28a 0 0 55 0
55 11306350 a029d28a 0 0 56 0
56 11503678 a029d28a 0 0 57 0
57 11701006 a029d28a 0 0 58 0
58 11898334 a029d28a 0 0 59 0
59 12095662 a029d28a 0 0 60 0
60 12292990 a029d28a 0 0 61 0
61 12490318 a029d28a 0 0 62 0
62 12687646 a029d28a 0 0 63 0
63 12884974 a029d28a 0 0 64 0
64 13082302 a029d28a 0 0 65 0
65 13279630 a029d28a 0 0 66 0
66 13476958 a029d28a 0 0 67 0
67 13674286 a029d28a 0 0 68 0
68 13871614 a029d28a 0 0 69 0
69 14068942 a029d28a 0 0 70 0
70 14266270 a029d28a 0 0 71 0
71 14463598 a029d28a 0 0 72 0
72 14660926 a029d28a 0 0 73 0
73 14858254 a029d28a 0 0 74 0
74 15055582 a029d28a 0 0 75 0
75 15252910 a029d28a 0 0 76 0
76 15450238 a029d28a 0 0 77 0
