capframe,delivered,crc_ok,seq,words,seq_expected
270,1,1,53847,191,53847
271,1,1,53848,191,53848
272,1,1,53849,191,53849
273,1,1,53850,191,53850
274,1,1,53851,191,53851
275,1,1,53852,191,53852
276,1,1,53853,191,53853
277,1,1,53854,191,53854
278,1,1,53855,191,53855
279,1,1,53856,191,53856
280,1,1,53857,191,53857
281,1,1,53858,191,53858
282,1,1,53859,191,53859
283,1,1,53860,191,53860
284,1,1,53861,191,53861
285,1,1,53862,191,53862
286,1,1,53863,191,53863
287,1,1,53864,191,53864
288,1,1,53865,191,53865
289,1,1,53866,191,53866
290,1,1,53867,191,53867
291,1,1,53868,191,53868
292,1,1,53869,191,53869
293,1,1,53870,191,53870
294,1,1,53871,191,53871
295,1,1,53872,191,53872
296,1,1,53873,191,53873
297,1,1,53874,191,53874
298,1,1,53875,191,53875
299,1,1,53876,191,53876
300,1,0,-1,191,53877
301,1,1,53877,191,53878
302,1,1,53879,191,53879
303,1,1,53880,191,53880
304,1,1,53881,191,53881
305,1,1,53882,191,53882
306,1,1,53883,191,53883
307,1,1,53884,191,53884
308,1,1,53885,191,53885
309,1,1,53886,191,53886
310,1,1,53887,191,53887
311,1,1,53888,191,53888
312,1,1,53889,191,53889
313,1,1,53890,191,53890
314,1,1,53891,191,53891
315,1,1,53892,191,53892
316,1,1,53893,191,53893
317,1,1,53894,191,53894
318,1,1,53895,191,53895
319,1,1,53896,191,53896
320,1,1,53897,191,53897
321,1,1,53898,191,53898
322,1,1,53901,191,53899
323,1,1,53902,191,53900
324,1,1,53903,191,53901
325,1,1,53904,191,53902
326,1,1,53905,191,53903
327,1,1,53906,191,53904
328,1,1,53907,191,53905
329,1,1,53908,191,53906
330,1,0,-1,191,53907
331,1,1,53909,191,53908
332,1,1,53910,191,53909
333,1,1,53911,191,53910
334,1,1,53912,191,53911
335,1,1,53913,191,53912
336,1,1,53914,191,53913
337,1,1,53915,191,53914
338,1,1,53916,191,53915
339,1,1,53917,191,53916
340,1,1,53918,191,53917
341,1,1,53919,191,53918
342,1,1,53920,191,53919
343,1,1,53921,191,53920
344,1,1,53922,191,53921
345,1,1,53923,191,53922
346,1,1,53924,191,53923
347,1,1,53925,191,53924
348,1,1,53926,191,53925
349,1,1,53927,191,53926
350,0,0,-1,0,53927
400,1,1,53978,191,53977
401,1,1,53979,191,53978
402,1,1,53980,191,53979
403,1,1,53981,191,53980
404,1,1,53982,191,53981
405,1,1,53983,191,53982
406,1,1,53984,191,53983
407,1,1,53985,191,53984
408,1,1,53986,191,53985
409,1,1,53987,191,53986
410,1,1,53988,191,53987
411,1,1,53989,191,53988
412,1,1,53990,191,53989
413,1,1,53991,191,53990
414,1,1,53992,191,53991
415,1,1,53993,191,53992
416,1,1,53994,191,53993
417,1,1,53995,191,53994
418,1,1,53996,191,53995
419,1,1,53997,191,53996
420,1,1,53998,191,53997
421,1,1,53999,191,53998
422,1,1,54000,191,53999
423,1,1,54001,191,54000
424,1,1,54002,191,54001
425,1,1,54003,191,54002
426,1,1,54004,191,54003
427,1,1,54005,191,54004
428,1,1,54006,191,54005
429,1,1,54007,191,54006
430,1,1,54008,191,54007
431,1,1,54009,191,54008
432,1,1,54010,191,54009
433,1,1,54011,191,54010
434,1,1,54012,191,54011
435,1,1,54013,191,54012
436,1,1,54014,191,54013
437,1,1,54015,191,54014
438,1,1,54016,191,54015
439,1,1,54017,191,54016
440,1,1,54018,191,54017
441,1,1,54019,191,54018
442,1,1,54020,191,54019
443,1,1,54021,191,54020
444,1,1,54022,191,54021
445,1,1,54023,191,54022
446,1,1,54024,191,54023
447,1,1,54025,191,54024
448,1,1,54026,191,54025
449,1,1,54027,191,54026
450,1,1,54028,191,54027
451,1,1,54029,191,54028
452,1,1,54030,191,54029
453,1,1,54031,191,54030
454,1,1,54032,191,54031
455,1,1,54033,191,54032
456,1,1,54034,191,54033
457,1,1,54035,191,54034
458,1,1,54036,191,54035
459,1,1,54037,191,54036
460,1,1,54038,191,54037
461,1,1,54039,191,54038
462,1,1,54040,191,54039
463,1,1,54041,191,54040
464,1,1,54042,191,54041
465,1,1,54043,191,54042
466,1,1,54044,191,54043
467,1,1,54045,191,54044
468,1,1,54046,191,54045
469,0,0,-1,0,54046
470,1,1,54048,191,54047
471,1,1,54049,191,54048
472,1,1,54050,191,54049
473,1,1,54051,191,54050
474,1,1,54052,191,54051
475,1,1,54053,191,54052
476,1,1,54054,191,54053
477,1,1,54055,191,54054
478,1,1,54056,191,54055
479,1,1,54057,191,54056
480,1,1,54058,191,54057
481,1,1,54059,191,54058
482,1,1,54060,191,54059
