label,capfile,nFrames,nGolden,pctGolden,totInfoBits,totInfoErr,codedBER,codedBER_steady
SELFTEST,/mnt/onetb/scratch/qpsk_variants/k5_240/selftest_k5.iq,5,5,100.000,600,0,0.00000000,0.00000000
SELFTEST,/mnt/onetb/scratch/qpsk_variants/k5_240/selftest_k5.iq,5,5,100.000,600,0,0.00000000,0.00000000
S1,/mnt/onetb/scratch/qpsk_variants/jupiter_240k5/rtl_sim/s1_tx_air_240k5.iq,29,0,0.000,3480,1460,0.41954023,0.41785714
S1,/mnt/onetb/scratch/qpsk_variants/jupiter_240k5/rtl_sim/s1_tx_air_240k5.iq,36,0,0.000,4320,1835,0.42476852,0.42380952
S1,/mnt/onetb/scratch/qpsk_variants/jupiter_240k5/rtl_sim/s1_tx_air_240k5.iq,27,27,100.000,3240,0,0.00000000,0.00000000
S1zed,/mnt/onetb/scratch/qpsk_variants/zed_240k5/rtl_sim/s1_tx_air_240k5.iq,27,27,100.000,3240,0,0.00000000,0.00000000
A,/mnt/onetb/scratch/qpsk_variants/k5_240/air/linkA_s4b.iq,59,54,91.525,7080,248,0.03502825,0.02830460
B,/mnt/onetb/scratch/qpsk_variants/k5_240/air/linkB_s4b.iq,218,212,97.248,26160,301,0.01150612,0.00933180
A,/mnt/onetb/scratch/qpsk_variants/k5_240/air/linkA_s4c.iq,124,0,0.000,14880,6561,0.44092742,0.44051491
A,/mnt/onetb/scratch/qpsk_variants/k5_240/air/linkA_s4d.iq,38,0,0.000,4560,2003,0.43925439,0.43828829
B,/mnt/onetb/scratch/qpsk_variants/k5_240/air/linkB_s4d.iq,220,220,100.000,26400,0,0.00000000,0.00000000
A,/mnt/onetb/scratch/qpsk_variants/k5_240/air/linkA_s4final.iq,157,0,0.000,18840,8253,0.43805732,0.43766026
A,/mnt/onetb/scratch/qpsk_variants/k5_240/air/linkA_jrxnotrack.iq,243,0,0.000,29160,12657,0.43405350,0.43374656
A,/mnt/onetb/scratch/qpsk_variants/k5_240/air/linkA_notrack.iq,109,0,0.000,13080,5652,0.43211009,0.43155864
SELFTEST,/mnt/onetb/scratch/qpsk_variants/k5_240/selftest_k5.iq,5,5,100.000,600,0,0.00000000,0.00000000
A,/mnt/onetb/scratch/qpsk_variants/k5_240/air/linkA_notrack.iq,109,0,0.000,13080,5652,0.43211009,0.43155864
A,/mnt/onetb/scratch/qpsk_variants/k5_240/air/linkA_dcfix.iq,220,0,0.000,26400,11495,0.43541667,0.43508371
SELFTEST,/mnt/onetb/scratch/qpsk_variants/k5_240/selftest_k5.iq,5,5,100.000,600,0,0.00000000,0.00000000
A,/mnt/onetb/scratch/qpsk_variants/k5_240/air/linkA_dcfix.iq,220,0,0.000,26400,10716,0.40590909,0.40563166
A,/mnt/onetb/scratch/qpsk_variants/k5_240/air/linkA_v6.iq,15,0,0.000,1800,765,0.42500000,0.42500000
B,/mnt/onetb/scratch/qpsk_variants/k5_240/air/linkB_v6.iq,220,219,99.545,26400,45,0.00170455,0.00000000
B,/mnt/onetb/scratch/qpsk_variants/k5_240/air/linkB_v6b.iq,199,133,66.834,23880,3233,0.13538526,0.13358586
B,/mnt/onetb/scratch/qpsk_variants/k5_240/air/linkB_soak1.iq,218,210,96.330,26160,396,0.01513761,0.01317204
B,/mnt/onetb/scratch/qpsk_variants/k5_240/air/linkB_soak2.iq,203,140,68.966,24360,3072,0.12610837,0.12446370
B,/mnt/onetb/scratch/qpsk_variants/k5_240/air/linkB_soak3.iq,207,135,65.217,24840,3488,0.14041868,0.13875405
B,/mnt/onetb/scratch/qpsk_variants/k5_240/air/linkB_soak4.iq,204,142,69.608,24480,3056,0.12483660,0.12307061
B,/mnt/onetb/scratch/qpsk_variants/k5_240/air/linkB_soak5.iq,197,124,62.944,23640,3549,0.15012690,0.14851190
B,/mnt/onetb/scratch/qpsk_variants/k5_240/air/linkB_soak6.iq,220,219,99.545,26400,47,0.00178030,0.00000000
B,/mnt/onetb/scratch/qpsk_variants/k5_240/air/linkB_soak1.iq,218,210,96.330,26160,396,0.01513761,0.01317204
B,/mnt/onetb/scratch/qpsk_variants/k5_240/air/linkB_soak2.iq,203,140,68.966,24360,3072,0.12610837,0.12446370
B,/mnt/onetb/scratch/qpsk_variants/k5_240/air/linkB_soak3.iq,207,135,65.217,24840,3488,0.14041868,0.13875405
B,/mnt/onetb/scratch/qpsk_variants/k5_240/air/linkB_soak4.iq,204,142,69.608,24480,3056,0.12483660,0.12307061
B,/mnt/onetb/scratch/qpsk_variants/k5_240/air/linkB_soak5.iq,197,124,62.944,23640,3549,0.15012690,0.14851190
B,/mnt/onetb/scratch/qpsk_variants/k5_240/air/linkB_soak6.iq,220,219,99.545,26400,47,0.00178030,0.00000000
B,/mnt/onetb/scratch/qpsk_variants/k5_240/air/linkB_soak7.iq,210,163,77.619,25200,2293,0.09099206,0.08923445
B,/mnt/onetb/scratch/qpsk_variants/k5_240/air/linkB_soak8.iq,189,103,54.497,22680,4188,0.18465608,0.18297872
B,/mnt/onetb/scratch/qpsk_variants/k5_240/air/linkB_soak9.iq,204,141,69.118,24480,3143,0.12839052,0.12664204
B,/mnt/onetb/scratch/qpsk_variants/k5_240/air/linkB_soak10.iq,218,198,90.826,26160,984,0.03761468,0.03563748
B,/mnt/onetb/scratch/qpsk_variants/k5_240/air/linkB_soak11.iq,123,122,99.187,14760,51,0.00345528,0.00000000
B,/mnt/onetb/scratch/qpsk_variants/k5_240/air/linkB_soak12.iq,219,211,96.347,26280,449,0.01708524,0.01502294
B,/mnt/onetb/scratch/qpsk_variants/k5_240/air/linkB_soak13.iq,220,215,97.727,26400,262,0.00992424,0.00802892
B,/mnt/onetb/scratch/qpsk_variants/k5_240/air/linkB_soak14.iq,212,170,80.189,25440,2103,0.08266509,0.08080569
B,/mnt/onetb/scratch/qpsk_variants/k5_240/air/linkB_soak15.iq,200,139,69.500,24000,3026,0.12608333,0.12428811
B,/mnt/onetb/scratch/qpsk_variants/k5_240/air/linkB_soak16.iq,180,87,48.333,21600,4409,0.20412037,0.20265363
B,/mnt/onetb/scratch/qpsk_variants/k5_240/air/linkB_soak17.iq,137,41,29.927,16440,4738,0.28819951,0.28688725
B,/mnt/onetb/scratch/qpsk_variants/k5_240/air/linkB_soak18.iq,214,191,89.252,25680,1120,0.04361371,0.04170579
B,/mnt/onetb/scratch/qpsk_variants/k5_240/air/linkB_soak19.iq,218,200,91.743,26160,903,0.03451835,0.03252688
B,/mnt/onetb/scratch/qpsk_variants/k5_240/air/linkB_soak20.iq,219,216,98.630,26280,177,0.00673516,0.00474006
B,/mnt/onetb/scratch/qpsk_variants/k5_240/air/linkB_longL1.iq,879,835,94.994,105480,2224,0.02108457,0.02055809
B,/mnt/onetb/scratch/qpsk_variants/k5_240/air/linkB_longL2.iq,823,560,68.044,98760,12849,0.13010328,0.12966342
B,/mnt/onetb/scratch/qpsk_variants/k5_240/air/linkB_longL3.iq,560,202,36.071,67200,17403,0.25897321,0.25857185
A,/mnt/onetb/scratch/qpsk_variants/k5_240/air/linkA_g34_1.iq,34,0,0.000,4080,1734,0.42500000,0.42500000
A,/mnt/onetb/scratch/qpsk_variants/k5_240/air/linkA_g34_2.iq,187,0,0.000,22440,9371,0.41760250,0.41738351
A,/mnt/onetb/scratch/qpsk_variants/k5_240/air/linkA_g34_3.iq,220,0,0.000,26400,11050,0.41856061,0.41845510
A,/mnt/onetb/scratch/qpsk_variants/k5_240/air/linkA_quad_1.iq,76,21,27.632,9120,2676,0.29342105,0.29122222
A,/mnt/onetb/scratch/qpsk_variants/k5_240/air/linkA_quad_2.iq,171,2,1.170,20520,8472,0.41286550,0.41254902
A,/mnt/onetb/scratch/qpsk_variants/k5_240/air/linkA_quad_3.iq,87,3,3.448,10440,4197,0.40201149,0.40116279
A,/mnt/onetb/scratch/qpsk_variants/k5_240/air/linkA_trim_2399974000.iq,93,10,10.753,11160,4165,0.37320789,0.37201087
A,/mnt/onetb/scratch/qpsk_variants/k5_240/air/linkA_trim_2399975000.iq,76,1,1.316,9120,4050,0.44407895,0.44366667
A,/mnt/onetb/scratch/qpsk_variants/k5_240/air/linkA_trim_2399980000.iq,123,114,92.683,14760,430,0.02913279,0.02568306
A,/mnt/onetb/scratch/qpsk_variants/k5_240/air/linkA_trim_2399990000.iq,113,0,0.000,13560,5895,0.43473451,0.43407738
A,/mnt/onetb/scratch/qpsk_variants/k5_240/air/linkA_fs_2399975000.iq,89,12,13.483,10680,3665,0.34316479,0.34157197
A,/mnt/onetb/scratch/qpsk_variants/k5_240/air/linkA_fs_2399976000.iq,70,2,2.857,8400,3665,0.43630952,0.43599034
A,/mnt/onetb/scratch/qpsk_variants/k5_240/air/linkA_fs_2399977000.iq,128,94,73.438,15360,1730,0.11263021,0.10997375
A,/mnt/onetb/scratch/qpsk_variants/k5_240/air/linkA_fs_2399978000.iq,83,63,75.904,9960,1016,0.10200803,0.09776423
A,/mnt/onetb/scratch/qpsk_variants/k5_240/air/linkA_fs_2399979000.iq,113,88,77.876,13560,1246,0.09188791,0.08861607
A,/mnt/onetb/scratch/qpsk_variants/k5_240/air/linkA_comp.iq,108,0,0.000,12960,5789,0.44668210,0.44626168
A,/mnt/onetb/scratch/qpsk_variants/k5_240/air/linkA_freq_2410000000.iq,58,0,0.000,6960,2992,0.42988506,0.42894737
A,/mnt/onetb/scratch/qpsk_variants/k5_240/air/linkA_freq_2420000000.iq,65,0,0.000,7800,3394,0.43512821,0.43437500
A,/mnt/onetb/scratch/qpsk_variants/k5_240/air/linkA_freq_2430000000.iq,51,0,0.000,6120,2629,0.42957516,0.42850000
zed_selfloop,/mnt/onetb/scratch/qpsk_variants/k5_240/air/zed_selfloop.iq,20,18,90.000,2400,92,0.03833333,0.02017544
B,/mnt/onetb/scratch/qpsk_variants/k5_240/air/linkB_calsoff_1.iq,214,176,82.243,25680,1881,0.07324766,0.07143975
B,/mnt/onetb/scratch/qpsk_variants/k5_240/air/linkB_calsoff_2.iq,166,82,49.398,19920,4072,0.20441767,0.20272727
B,/mnt/onetb/scratch/qpsk_variants/k5_240/air/linkB_calsoff_3.iq,201,130,64.677,24120,3443,0.14274461,0.14112500
B,/mnt/onetb/scratch/qpsk_variants/k5_240/air/linkB_calsoff_4.iq,124,29,23.387,14880,4617,0.31028226,0.30901084
B,/mnt/onetb/scratch/qpsk_variants/k5_240/air/linkB_calsoff_5.iq,104,26,25.000,12480,3832,0.30705128,0.30542071
laJ,/mnt/onetb/scratch/qpsk_variants/two_jup/la146.iq,25,0,0.000,3000,1288,0.42933333,0.42743056
orig,/mnt/onetb/scratch/qpsk_variants/two_jup/la146.iq,25,0,0.000,3000,1288,0.42933333,0.42743056
canc,/mnt/onetb/scratch/qpsk_variants/two_jup/la146_canc.iq,26,0,0.000,3120,1380,0.44230769,0.44066667
fresh,/mnt/onetb/scratch/qpsk_variants/two_jup/la146_fresh.iq,42,0,0.000,5040,2158,0.42817460,0.42682927
