# record_index frame mag_hex mag_dec
61665 25 0x00982E9D 9973405
61666 25 0x006576E1 6649569
61667 25 0x00506495 5268629
61668 25 0x001D5DD9 1924569
61669 25 0x0050C335 5292853
61670 25 0x0065E6A2 6678178
61671 25 0x009937F9 10041337
61672 25 0x001DF971 1964401
61673 25 0x004E540A 5133322
61674 25 0x00680512 6817042
61675 25 0x000622E8 402152
61676 25 0x001EEB4A 2026314
61677 25 0x004F45A8 5195176
61678 25 0x00AFD2B5 11522741
61679 25 0x004F2C9D 5188765
61680 25 0x001E2F62 1978210
61681 25 0x000641B9 410041
61682 25 0x001E65BD 1992125
61683 25 0x001EC3CD 2016205
61684 25 0x01296D82 19492226
61685 25 0x0036BCBD 3587261
61686 25 0x003681D5 3572181
61687 25 0x003648F5 3557621
61688 25 0x001EB995 2013589
61689 25 0x00680E52 6819410
61690 25 0x00E26588 14837128
61691 25 0x012746AA 19351210
61692 25 0x001F00C9 2031817
61693 25 0x001E3448 1979464
61694 25 0x004EDD92 5168530
61695 25 0x001DE5D9 1959385
61696 25 0x003637D2 3553234
61697 25 0x00F9B73D 16365373
61698 25 0x00064F99 413593
61699 25 0x0068040A 6816778
61700 25 0x0097546D 9917549
61701 25 0x00980A6A 9964138
61702 25 0x001E1BBA 1973178
61703 25 0x0005ED02 388354
61704 25 0x001DC890 1951888
61705 25 0x00B02B79 11545465
61706 25 0x0066C86A 6735978
61707 25 0x00061D62 400738
61708 25 0x001E4808 1984520
61709 25 0x004E5412 5133330
61710 25 0x001ECD71 2018673
61711 25 0x001DC8ED 1951981
61712 25 0x00E0BBF5 14728181
61713 25 0x001E16E4 1971940
61714 25 0x00AEFA24 11467300
61715 25 0x004E8F22 5148450
61716 25 0x004F8091 5210257
61717 25 0x001F3601 2045441
61718 25 0x0005F269 389737
61719 25 0x001D628D 1925773
61720 25 0x009A46A5 10110629
61721 25 0x001EF0D0 2027728
61722 25 0x006793B4 6788020
61723 25 0x004E22CA 5120714
61724 25 0x0005A8CA 370890
61725 25 0x00657680 6649472
61726 25 0x00662DE9 6696425
61727 25 0x0037246D 3613805
61728 25 0x001E9245 2003525
61729 25 0x001E6095 1990805
61730 25 0x004FA859 5220441
61731 25 0x00062732 403250
61732 25 0x0067F041 6811713
61733 25 0x0129B281 19509889
61734 25 0x004DE3F1 5104625
61735 25 0x001E25D2 1975762
61736 25 0x001E48A8 1984680
61737 25 0x01296E45 19492421
61738 25 0x00975DF1 9919985
61739 25 0x0006312D 405805
61740 25 0x001D8459 1934425
61741 25 0x006775E4 6780388
61742 25 0x001E9BEA 2005994
61743 25 0x00E0C141 14729537
61744 25 0x0098695D 9988445
61745 25 0x0005CB61 379745
61746 25 0x000631EA 405994
61747 25 0x000627C2 403394
61748 25 0x00064F5A 413530
61749 25 0x001E7EFD 1998589
61750 25 0x004F8169 5210473
61751 25 0x001CA690 1877648
61752 25 0x009928FA 10037498
61753 25 0x001E9542 2004290
61754 25 0x00367301 3568385
61755 25 0x001E7562 1996130
61756 25 0x00681D6D 6823277
61757 25 0x00069DB5 433589
61758 25 0x018A0EC9 25824969
61759 25 0x00384004 3686404
61760 25 0x0097CD1D 9948445
61761 25 0x001EB32A 2011946
61762 25 0x0005FFAA 393130
61763 25 0x00064501 410881
61764 25 0x001DE601 1959425
61765 25 0x0005E2E2 385762
61766 25 0x00501545 5248325
61767 25 0x006584EA 6653162
61768 25 0x001E96E9 2004713
