outframe,clk,capframe_est,seq,len,words,crc_ok
0,453342,1,-1,-1,191,0
1,650670,2,53885,1428,191,1
2,847998,3,53886,1428,191,1
3,1045326,4,53887,1428,191,1
4,1242654,5,53888,1428,191,1
5,1439982,6,53889,1428,191,1
6,1637310,7,53890,1428,191,1
7,1834638,8,53891,1428,191,1
8,2031966,9,53892,1428,191,1
9,2229294,10,53893,1428,191,1
10,2426622,11,53894,1428,191,1
11,2623950,12,53895,1428,191,1
12,2821278,13,53896,1428,191,1
13,3018606,14,53897,1428,191,1
14,3215934,15,53898,1428,191,1
15,3413262,16,53901,1428,191,1
16,3610590,17,53902,1428,191,1
17,3807918,18,53903,1428,191,1
18,4005246,19,53904,1428,191,1
19,4202574,20,53905,1428,191,1
20,4399902,21,53906,1428,191,1
21,4597230,22,53907,1428,191,1
22,4794926,23,53908,1428,191,1
23,4991854,24,-1,-1,191,0
24,5189182,25,53909,1428,191,1
25,5386510,26,53910,1428,191,1
26,5583838,27,53911,1428,191,1
27,5781166,28,53912,1428,191,1
28,5978494,29,53913,1428,191,1
29,6175822,30,53914,1428,191,1
30,6373150,31,53915,1428,191,1
31,6570478,32,53916,1428,191,1
32,6767806,33,53917,1428,191,1
33,6965134,34,53918,1428,191,1
34,7162462,35,53919,1428,191,1
35,7359790,36,53920,1428,191,1
36,7557118,37,53921,1428,191,1
37,7754446,38,53922,1428,191,1
38,7951774,39,53923,1428,191,1
39,8149102,40,53924,1428,191,1
40,8346430,41,53925,1428,191,1
41,8543758,42,53926,1428,191,1
42,8741086,43,53927,1428,191,1
