# outframe clk cap_out golden user frameStart rstcs
0 453214 00000000 0 0 1 0
1 650542 a029d28a 0 0 2 0
2 847870 a029d28a 0 0 3 0
3 1045198 a029d28a 0 0 4 0
4 1242526 a029d28a 0 0 5 0
5 1439854 a029d28a 0 0 6 0
6 1637182 a029d28a 0 0 7 0
7 1834510 a029d28a 0 0 8 0
8 2031838 a029d28a 0 0 9 0
9 2229166 a029d28a 0 0 10 0
10 2426494 a029d28a 0 0 11 0
11 2623822 a029d28a 0 0 12 0
12 2821150 a029d28a 0 0 13 0
13 3018478 a029d28a 0 0 14 0
14 3215806 a029d28a 0 0 15 0
15 3413134 a029d28a 0 0 16 0
16 3610462 a029d28a 0 0 17 0
17 3807790 a029d28a 0 0 18 0
18 4005118 a029d28a 0 0 19 0
19 4202446 a029d28a 0 0 20 0
20 4399774 a029d28a 0 0 21 0
21 4597102 a029d28a 0 0 22 0
22 4794430 a029d28a 0 0 23 0
