t_s,frames,magic_bad,magic_bad_pct,p104
10.0,13560,1,0.0074,13561
20.0,13609,0,0.0000,13608
30.0,13597,0,0.0000,13599
40.0,13620,0,0.0000,13618
50.0,13605,0,0.0000,13606
60.0,13612,0,0.0000,13611
70.0,13625,0,0.0000,13625
80.0,13601,0,0.0000,13602
90.0,13603,0,0.0000,13602
100.0,13595,0,0.0000,13596
110.0,13615,0,0.0000,13615
120.0,13615,0,0.0000,13615
130.0,13598,0,0.0000,13597
140.0,13604,0,0.0000,13604
150.0,13599,0,0.0000,13600
160.0,13616,0,0.0000,13615
170.0,13632,0,0.0000,13631
180.0,13614,0,0.0000,13615
190.0,13607,0,0.0000,13608
200.0,13604,0,0.0000,13603
210.0,13614,0,0.0000,13614
220.0,13624,0,0.0000,13624
230.0,13621,0,0.0000,13621
240.0,13629,0,0.0000,13629
250.0,13602,0,0.0000,13602
260.0,13615,0,0.0000,13615
270.0,13601,0,0.0000,13601
280.0,13618,0,0.0000,13618
290.0,13610,0,0.0000,13611
300.0,13616,0,0.0000,13616
310.0,13626,0,0.0000,13624
320.0,13628,0,0.0000,13630
330.0,13613,0,0.0000,13612
340.0,13596,0,0.0000,13596
350.0,13625,0,0.0000,13625
360.0,13604,0,0.0000,13605
370.0,13605,0,0.0000,13604
380.0,13622,0,0.0000,13623
390.0,13619,0,0.0000,13619
400.0,13609,0,0.0000,13609
410.0,13611,0,0.0000,13611
420.0,13608,0,0.0000,13607
430.0,13597,0,0.0000,13598
440.0,13610,0,0.0000,13609
450.0,13619,0,0.0000,13620
460.0,13634,0,0.0000,13633
470.0,13618,0,0.0000,13618
480.0,13633,0,0.0000,13634
490.0,13632,0,0.0000,13632
500.0,13624,0,0.0000,13623
510.0,13631,0,0.0000,13632
520.0,13624,0,0.0000,13623
530.0,13633,0,0.0000,13634
540.0,13637,0,0.0000,13636
550.0,13636,0,0.0000,13637
560.0,13634,0,0.0000,13633
570.0,13641,0,0.0000,13641
580.0,13633,0,0.0000,13633
590.0,13631,0,0.0000,13632
600.0,13649,0,0.0000,13649
