# sidx,nbytes,magic,seq,nbad,ok
246693,1528,0,0,-1,0
296025,1528,1,1,0,1
345357,1528,1,2,0,1
394689,1528,1,3,0,1
444149,1528,0,6308236,-1,0
493485,1528,1,5,0,1
542689,1528,0,1795546113,-1,0
592021,1528,1,7,0,1
641353,1528,1,8,0,1
690685,1528,1,9,0,1
740017,1528,1,10,0,1
789349,1528,1,11,0,1
838809,1528,0,3417897268,-1,0
888145,1528,0,13,-1,0
937349,1528,0,2180442992,-1,0
986681,1528,0,15,-1,0
1036013,1528,1,16,0,1
1085345,1528,1,17,0,1
1134677,1528,1,18,0,1
1184009,1528,1,19,0,1
1233469,1528,0,248555597,-1,0
1282805,1528,1,21,0,1
1332009,1528,0,3614801126,-1,0
1381341,1528,1,23,0,1
1430673,1528,1,24,0,1
1480005,1528,1,25,0,1
1529337,1528,1,26,0,1
1578669,1528,1,27,0,1
1628129,1528,0,167776359,-1,0
1677465,1528,1,29,0,1
1726669,1528,0,1880950877,-1,0
1776001,1528,1,31,0,1
1825333,1528,1,32,0,1
1874665,1528,1,33,0,1
1923997,1528,1,34,0,1
1973329,1528,1,35,0,1
2022789,1528,0,2751038892,-1,0
2072125,1528,1,37,0,1
2121329,1528,0,1443561670,-1,0
2170661,1528,1,39,0,1
2219993,1528,1,40,0,1
2269325,1528,1,41,0,1
2318657,1528,1,42,0,1
2367989,1528,1,43,0,1
2417449,1528,0,13654271,-1,0
2466785,1528,0,45,-1,0
2515989,1528,0,3789685294,-1,0
2565321,1528,0,47,-1,0
2614653,1528,1,48,0,1
2663985,1528,1,49,0,1
2713317,1528,1,50,0,1
2762649,1528,1,51,0,1
2812109,1528,0,15729380,-1,0
2861445,1528,1,53,0,1
2910649,1528,0,1893793854,-1,0
2959981,1528,1,55,0,1
3009313,1528,1,56,0,1
3058645,1528,1,57,0,1
3107977,1528,1,58,0,1
3157309,1528,1,59,0,1
3206769,1528,1,60,199,0
3256105,1528,1,61,0,1
3305309,1528,1,62,282,0
3354641,1528,0,63,-1,0
3403973,1528,1,64,0,1
3453305,1528,1,65,0,1
3502637,1528,1,66,0,1
3551969,1528,1,67,0,1
3601429,1528,1,68,12,0
3650765,1528,1,69,0,1
3699969,1528,1,70,5,0
3749301,1528,1,71,0,1
3798633,1528,1,72,0,1
3847965,1528,1,73,0,1
3897297,1528,1,74,0,1
3946629,1528,1,75,0,1
3995961,1528,1,76,0,1
4045421,1528,0,1400349796,-1,0
4094757,1528,1,78,0,1
4143961,1528,0,2258674536,-1,0
4193293,1528,1,80,0,1
4242625,1528,1,81,0,1
4291957,1528,1,82,0,1
4341289,1528,1,83,0,1
4390621,1528,1,84,0,1
4440081,1528,0,4073206550,-1,0
4489417,1528,1,86,0,1
4538621,1528,0,1257518334,-1,0
4587953,1528,1,88,0,1
