# sidx,nbytes,magic,seq,nbad,ok
197741,1528,0,0,-1,0
246817,1528,0,0,-1,0
296021,1528,0,905621923,-1,0
345353,1528,1,2,0,1
394685,1528,1,3,0,1
444017,1528,1,4,0,1
493349,1528,1,5,0,1
542681,1528,1,6,0,1
592013,1528,1,7,0,1
641345,1528,1,8,0,1
690677,1528,1,9,0,1
740009,1528,1,10,0,1
789341,1528,1,11,0,1
838673,1528,1,12,0,1
888005,1528,1,13,0,1
937337,1528,1,14,0,1
986669,1528,1,15,0,1
1036001,1528,1,16,0,1
1085333,1528,1,17,0,1
1134665,1528,1,18,0,1
1183997,1528,1,19,0,1
1233329,1528,1,20,0,1
1282661,1528,1,21,0,1
1331993,1528,1,22,0,1
1381325,1528,1,23,0,1
1430657,1528,1,24,0,1
1479989,1528,1,25,0,1
1529321,1528,1,26,0,1
1578653,1528,1,27,0,1
1627985,1528,1,28,0,1
1677317,1528,1,29,0,1
1726649,1528,1,30,0,1
1775981,1528,1,31,0,1
1825313,1528,1,32,0,1
1874645,1528,1,33,0,1
1923977,1528,1,34,0,1
1973309,1528,1,35,0,1
2022641,1528,1,36,0,1
2071973,1528,1,37,0,1
2121305,1528,1,38,0,1
2170637,1528,1,39,0,1
2219969,1528,1,40,0,1
2269301,1528,1,41,0,1
2318633,1528,1,42,0,1
2367965,1528,1,43,0,1
2417297,1528,1,44,0,1
2466629,1528,1,45,0,1
2515961,1528,1,46,0,1
2565293,1528,1,47,0,1
2614625,1528,1,48,0,1
2663957,1528,1,49,0,1
2713289,1528,1,50,0,1
2762621,1528,1,51,0,1
2811953,1528,1,52,0,1
2861285,1528,1,53,0,1
2910617,1528,1,54,0,1
2959949,1528,1,55,0,1
3009281,1528,1,56,0,1
3058613,1528,1,57,0,1
3107945,1528,1,58,0,1
3157277,1528,1,59,0,1
3206609,1528,1,60,0,1
3255941,1528,1,61,0,1
3305273,1528,1,62,0,1
3354605,1528,1,63,0,1
3403937,1528,1,64,0,1
3453269,1528,1,65,0,1
3502601,1528,1,66,0,1
3551933,1528,1,67,0,1
