# n,sidx,beat,slot_rtl,slot_harness,dt_enb,occ,tref,locked,opens
0,9422786,9422785,1,1,3,9,21,1,187
1,9817446,9817445,1,1,3,9,21,1,195
2,10212106,10212105,1,1,3,9,21,1,203
3,10606766,10606765,1,1,3,9,21,1,211
4,11050758,11050757,1,1,3,9,21,1,220
5,11445418,11445417,1,1,3,9,21,1,228
6,11840078,11840077,1,1,3,9,21,1,236
7,12234738,12234737,1,1,3,9,21,1,244
8,12629398,12629397,1,1,3,9,21,1,252
9,13024058,13024057,1,1,3,9,21,1,260
10,13418718,13418717,1,1,3,9,21,1,268
11,13813378,13813377,1,1,3,9,21,1,276
12,14208038,14208037,1,1,3,9,21,1,284
13,14602698,14602697,1,1,3,9,21,1,292
14,15046690,15046689,1,1,3,9,21,1,301
15,15441350,15441349,1,1,3,9,21,1,309
16,15836010,15836009,1,1,3,9,21,1,317
17,16230670,16230669,1,1,3,9,21,1,325
18,16625330,16625329,1,1,3,9,21,1,333
19,17019990,17019989,1,1,3,9,21,1,341
20,17414650,17414649,1,1,3,9,21,1,349
21,17809310,17809309,1,1,3,9,21,1,357
22,18203970,18203969,1,1,3,9,21,1,365
23,18647962,18647961,1,1,3,9,21,1,374
24,19042622,19042621,1,1,3,9,21,1,382
25,19437282,19437281,1,1,3,9,21,1,390
26,19831942,19831941,1,1,3,9,21,1,398
27,20226602,20226601,1,1,3,9,21,1,406
28,20621262,20621261,1,1,3,9,21,1,414
29,21015922,21015921,1,1,3,9,21,1,422
