# sidx,nbytes,magic,seq,nbad,ok
296025,1528,0,0,-1,0
345357,1528,1,2,0,1
394689,1528,1,3,0,1
444021,1528,1,4,0,1
493353,1528,1,5,0,1
542685,1528,1,6,0,1
592017,1528,1,7,0,1
641349,1528,1,8,0,1
690681,1528,1,9,0,1
740017,1528,1,10,0,1
789353,1528,1,11,0,1
838689,1528,1,12,0,1
888025,1528,1,13,0,1
937361,1528,1,14,0,1
986697,1528,1,15,0,1
1036033,1528,1,16,0,1
1085369,1528,1,17,0,1
1134701,1528,1,18,0,1
1184033,1528,1,19,0,1
1233365,1528,1,20,0,1
1282697,1528,1,21,0,1
1332029,1528,1,22,0,1
1381361,1528,1,23,0,1
1430693,1528,1,24,0,1
1480025,1528,1,25,0,1
1529357,1528,1,26,0,1
1578689,1528,1,27,0,1
1628021,1528,1,28,0,1
1677353,1528,1,29,0,1
1726685,1528,1,30,0,1
1776017,1528,1,31,0,1
1825349,1528,1,32,0,1
1874681,1528,1,33,0,1
1924013,1528,1,34,0,1
1973345,1528,1,35,0,1
2022677,1528,1,36,0,1
2072009,1528,1,37,0,1
2121341,1528,1,38,0,1
2170673,1528,1,39,0,1
2220005,1528,1,40,0,1
2269337,1528,1,41,0,1
2318669,1528,1,42,0,1
2368001,1528,1,43,0,1
2417333,1528,1,44,0,1
2466665,1528,1,45,0,1
2515997,1528,1,46,0,1
2565329,1528,1,47,0,1
2614661,1528,1,48,0,1
2663993,1528,1,49,0,1
2713325,1528,1,50,0,1
2762657,1528,1,51,0,1
2811989,1528,1,52,0,1
2861321,1528,1,53,0,1
2910653,1528,1,54,0,1
2959985,1528,1,55,0,1
3009317,1528,1,56,0,1
3058649,1528,1,57,0,1
3107981,1528,1,58,0,1
3157313,1528,1,59,0,1
3206645,1528,1,60,0,1
3255977,1528,1,61,0,1
3305309,1528,1,62,0,1
3354641,1528,1,63,0,1
3403973,1528,1,64,0,1
3453305,1528,1,65,0,1
3502637,1528,1,66,0,1
3551969,1528,1,67,0,1
3601301,1528,1,68,0,1
3650633,1528,1,69,0,1
3699965,1528,1,70,0,1
3749297,1528,1,71,0,1
3798629,1528,1,72,0,1
3847961,1528,1,73,0,1
3897293,1528,1,74,0,1
3946625,1528,1,75,0,1
3995957,1528,1,76,0,1
4045289,1528,1,77,0,1
4094621,1528,1,78,0,1
4143953,1528,1,79,0,1
4193285,1528,1,80,0,1
4242617,1528,1,81,0,1
4291949,1528,1,82,0,1
4341281,1528,1,83,0,1
4390613,1528,1,84,0,1
4439945,1528,1,85,0,1
4489277,1528,1,86,0,1
4538609,1528,1,87,0,1
4587941,1528,1,88,0,1
4637273,1528,1,89,0,1
