# n,sidx,beat,slot_rtl,slot_harness,dt_enb,occ,tref,locked,opens
0,493586,493585,1,1,3,4,28,1,8
1,542918,542917,1,1,3,5,27,1,9
2,592254,592253,1,1,3,6,27,1,10
3,641590,641589,1,1,3,7,27,1,11
4,690926,690925,1,1,3,8,27,1,12
5,740262,740261,1,1,3,9,27,1,13
6,1036262,1036261,1,1,3,9,28,1,19
7,1430922,1430921,1,1,3,9,28,1,27
8,1825582,1825581,1,1,3,9,28,1,35
9,2220242,2220241,1,1,3,9,28,1,43
10,2614902,2614901,1,1,3,9,28,1,51
11,3009562,3009561,1,1,3,9,28,1,59
12,3404222,3404221,1,1,3,9,28,1,67
13,3798882,3798881,1,1,3,9,28,1,75
14,4242874,4242873,1,1,3,9,28,1,84
15,4637534,4637533,1,1,3,9,28,1,92
16,5032194,5032193,1,1,3,9,28,1,100
17,5426854,5426853,1,1,3,9,28,1,108
18,5821514,5821513,1,1,3,9,28,1,116
19,6216174,6216173,1,1,3,9,28,1,124
20,6610834,6610833,1,1,3,9,28,1,132
21,7005494,7005493,1,1,3,9,28,1,140
22,7449486,7449485,1,1,3,9,28,1,149
23,7844146,7844145,1,1,3,9,28,1,157
