# sidx,nbytes,magic,seq,nbad,ok
148045,1528,0,0,-1,0
197377,1528,0,1819043144,-1,0
246709,1528,0,1819043144,-1,0
296041,1528,0,1819043144,-1,0
345373,1528,0,1819043144,-1,0
394705,1528,0,1819043144,-1,0
444037,1528,0,1819043144,-1,0
493369,1528,0,1819043144,-1,0
542701,1528,0,1819043144,-1,0
592037,1528,0,1819043144,-1,0
641373,1528,0,1819043144,-1,0
690709,1528,0,1819043144,-1,0
740045,1528,0,1819043144,-1,0
789377,1528,0,1819043144,-1,0
838709,1528,0,1819043144,-1,0
888041,1528,0,1819043144,-1,0
937377,1528,0,1819043144,-1,0
986709,1528,0,1819043144,-1,0
1036041,1528,0,1819043144,-1,0
1085373,1528,0,1819043144,-1,0
1134705,1528,0,1819043144,-1,0
1184037,1528,0,1819043144,-1,0
1233369,1528,0,1819043144,-1,0
1282701,1528,0,1819043144,-1,0
1332033,1528,0,1819043144,-1,0
1381365,1528,0,1819043144,-1,0
1430697,1528,0,1819043144,-1,0
1480029,1528,0,1819043144,-1,0
1529361,1528,0,1819043144,-1,0
1578693,1528,0,1819043144,-1,0
1628025,1528,0,1819043144,-1,0
1677357,1528,0,1819043144,-1,0
1726689,1528,0,1819043144,-1,0
1776021,1528,0,1819043144,-1,0
1825353,1528,0,1819043144,-1,0
1874685,1528,0,1819043144,-1,0
1924017,1528,0,1819043144,-1,0
1973349,1528,0,1819043144,-1,0
2022681,1528,0,1819043144,-1,0
2072013,1528,0,1819043144,-1,0
2121345,1528,0,1819043144,-1,0
2170677,1528,0,1819043144,-1,0
2220009,1528,0,1819043144,-1,0
2269341,1528,0,1819043144,-1,0
2318673,1528,0,1819043144,-1,0
2368005,1528,0,1819043144,-1,0
2417337,1528,0,1819043144,-1,0
2466669,1528,0,1819043144,-1,0
2516005,1528,0,1819043144,-1,0
2565337,1528,0,1819043144,-1,0
2614669,1528,0,1819043144,-1,0
2664001,1528,0,1819043144,-1,0
2713333,1528,0,1819043144,-1,0
2762665,1528,0,1819043144,-1,0
2811997,1528,0,1819043144,-1,0
2861329,1528,0,1819043144,-1,0
2910661,1528,0,1819043144,-1,0
2959993,1528,0,1819043144,-1,0
3009325,1528,0,1819043144,-1,0
3058657,1528,0,1819043144,-1,0
3107989,1528,0,1819043144,-1,0
3157321,1528,0,1819043144,-1,0
3206653,1528,0,1819043144,-1,0
3255985,1528,0,1819043144,-1,0
3305317,1528,0,1819043144,-1,0
3354649,1528,0,1819043144,-1,0
3403981,1528,0,1819043144,-1,0
3453313,1528,0,1819043144,-1,0
3502645,1528,0,1819043144,-1,0
3551977,1528,0,1819043144,-1,0
3601309,1528,0,1819043144,-1,0
3650641,1528,0,1819043144,-1,0
3699973,1528,0,1819043144,-1,0
3749305,1528,0,1819043144,-1,0
3798637,1528,0,1819043144,-1,0
3847969,1528,0,1819043144,-1,0
3897301,1528,0,1819043144,-1,0
3946633,1528,0,1819043144,-1,0
3995965,1528,0,1819043144,-1,0
4045297,1528,0,1819043144,-1,0
4094633,1528,0,1819043144,-1,0
4143965,1528,0,1819043144,-1,0
4193297,1528,0,1819043144,-1,0
4242629,1528,0,1819043144,-1,0
4291961,1528,0,1819043144,-1,0
4341293,1528,0,1819043144,-1,0
4390625,1528,0,1819043144,-1,0
4439957,1528,0,1819043144,-1,0
4489289,1528,0,1819043144,-1,0
4538621,1528,0,1819043144,-1,0
4587953,1528,0,1819043144,-1,0
4637285,1528,0,1819043144,-1,0
4686617,1528,0,1819043144,-1,0
4735949,1528,0,1819043144,-1,0
4785281,1528,0,1819043144,-1,0
4834613,1528,0,1819043144,-1,0
4883945,1528,0,1819043144,-1,0
4933277,1528,0,1819043144,-1,0
4982609,1528,0,1819043144,-1,0
5031941,1528,0,1819043144,-1,0
5081273,1528,0,1819043144,-1,0
5130605,1528,0,1819043144,-1,0
5179937,1528,0,1819043144,-1,0
5229269,1528,0,1819043144,-1,0
5278601,1528,0,1819043144,-1,0
5327933,1528,0,1819043144,-1,0
5377265,1528,0,1819043144,-1,0
5426597,1528,0,1819043144,-1,0
5475929,1528,0,1819043144,-1,0
5525261,1528,0,1819043144,-1,0
5574593,1528,0,1819043144,-1,0
5623925,1528,0,1819043144,-1,0
5673257,1528,0,1819043144,-1,0
5722593,1528,0,1819043144,-1,0
5771925,1528,0,1819043144,-1,0
5821257,1528,0,1819043144,-1,0
5870589,1528,0,1819043144,-1,0
5919921,1528,0,1819043144,-1,0
5969253,1528,0,1819043144,-1,0
6018585,1528,0,1819043144,-1,0
6067917,1528,0,1819043144,-1,0
6117249,1528,0,1819043144,-1,0
6166581,1528,0,1819043144,-1,0
6215913,1528,0,1819043144,-1,0
6265245,1528,0,1819043144,-1,0
6314577,1528,0,1819043144,-1,0
6363909,1528,0,1819043144,-1,0
6413241,1528,0,1819043144,-1,0
6462573,1528,0,1819043144,-1,0
6511905,1528,0,1819043144,-1,0
6561237,1528,0,1819043144,-1,0
6610569,1528,0,1819043144,-1,0
6659901,1528,0,1819043144,-1,0
6709233,1528,0,1819043144,-1,0
6758565,1528,0,1819043144,-1,0
6807897,1528,0,1819043144,-1,0
6857229,1528,0,1819043144,-1,0
6906561,1528,0,1819043144,-1,0
6955893,1528,0,1819043144,-1,0
7005225,1528,0,1819043144,-1,0
7054557,1528,0,1819043144,-1,0
7103889,1528,0,1819043144,-1,0
7153221,1528,0,1819043144,-1,0
7202553,1528,0,1819043144,-1,0
7251885,1528,0,1819043144,-1,0
7301221,1528,0,1819043144,-1,0
7350553,1528,0,1819043144,-1,0
7399885,1528,0,1819043144,-1,0
7449217,1528,0,1819043144,-1,0
7498549,1528,0,1819043144,-1,0
7547881,1528,0,1819043144,-1,0
7597213,1528,0,1819043144,-1,0
7646545,1528,0,1819043144,-1,0
7695877,1528,0,1819043144,-1,0
7745209,1528,0,1819043144,-1,0
7794541,1528,0,1819043144,-1,0
7843873,1528,0,1819043144,-1,0
7893205,1528,0,1819043144,-1,0
7942537,1528,0,1819043144,-1,0
7991869,1528,0,1819043144,-1,0
8041201,1528,0,1819043144,-1,0
8090533,1528,0,1819043144,-1,0
8139865,1528,0,1819043144,-1,0
8189197,1528,0,1819043144,-1,0
8238529,1528,0,1819043144,-1,0
8287861,1528,0,1819043144,-1,0
8337193,1528,0,1819043144,-1,0
8386525,1528,0,1819043144,-1,0
8435857,1528,0,1819043144,-1,0
8485189,1528,0,1819043144,-1,0
8534521,1528,0,1819043144,-1,0
8583853,1528,0,1819043144,-1,0
8633185,1528,0,1819043144,-1,0
8682517,1528,0,1819043144,-1,0
8731849,1528,0,1819043144,-1,0
8781181,1528,0,1819043144,-1,0
8830513,1528,0,1819043144,-1,0
8879845,1528,0,1819043144,-1,0
8929181,1528,0,1819043144,-1,0
8978513,1528,0,1819043144,-1,0
9027845,1528,0,1819043144,-1,0
9077177,1528,0,1819043144,-1,0
9126509,1528,0,1819043144,-1,0
9175841,1528,0,1819043144,-1,0
9225173,1528,0,1819043144,-1,0
9274505,1528,0,1819043144,-1,0
9323837,1528,0,1819043144,-1,0
9373169,1528,0,1819043144,-1,0
9422501,1528,0,1819043144,-1,0
9471833,1528,0,1819043144,-1,0
9521165,1528,0,1819043144,-1,0
9570497,1528,0,1819043144,-1,0
9619829,1528,0,1819043144,-1,0
9669161,1528,0,1819043144,-1,0
9718493,1528,0,1819043144,-1,0
9767825,1528,0,1819043144,-1,0
9817157,1528,0,1819043144,-1,0
9866489,1528,0,1819043144,-1,0
9915821,1528,0,1819043144,-1,0
10011813,1528,0,1819043144,-1,0
10061145,1528,0,1819043144,-1,0
10110477,1528,0,1819043144,-1,0
10159809,1528,0,1819043144,-1,0
10209141,1528,0,1819043144,-1,0
10258473,1528,0,1819043144,-1,0
10307809,1528,0,1819043144,-1,0
10357141,1528,0,1819043144,-1,0
10406473,1528,0,1819043144,-1,0
10455805,1528,0,1819043144,-1,0
10505137,1528,0,1819043144,-1,0
10554469,1528,0,1819043144,-1,0
10603801,1528,0,1819043144,-1,0
10653133,1528,0,1819043144,-1,0
10702465,1528,0,1819043144,-1,0
10751797,1528,0,1819043144,-1,0
10801129,1528,0,1819043144,-1,0
10850461,1528,0,1819043144,-1,0
10899793,1528,0,1819043144,-1,0
10949125,1528,0,1819043144,-1,0
10998457,1528,0,1819043144,-1,0
11047789,1528,0,1819043144,-1,0
11097121,1528,0,1819043144,-1,0
11146453,1528,0,1819043144,-1,0
11195785,1528,0,1819043144,-1,0
11245117,1528,0,1819043144,-1,0
11294449,1528,0,1819043144,-1,0
11343781,1528,0,1819043144,-1,0
11393113,1528,0,1819043144,-1,0
