# n,sidx,beat,slot_rtl,slot_harness,dt_enb,occ,tref,locked,opens,kind
0,493586,493585,1,1,3,5,28,1,8,0
1,542918,542917,1,1,3,6,27,1,9,0
2,592254,592253,1,1,3,7,27,1,10,0
3,641590,641589,1,1,3,8,27,1,11,0
4,838926,838925,1,1,3,9,28,1,15,0
5,2417554,2417553,1,1,3,9,28,1,47,0
6,3996182,3996181,1,1,3,9,28,1,79,0
7,5624142,5624141,1,1,3,9,28,1,112,0
8,7202770,7202769,1,1,3,9,28,1,144,0
9,8830730,8830729,1,1,3,9,28,1,177,0
10,10209358,10209357,1,1,3,9,11693,1,204,0
11,11837318,11837317,1,1,3,9,11693,1,237,0
12,13415946,13415945,1,1,3,9,11693,1,269,0
13,14994574,14994573,1,1,3,9,11693,1,301,0
14,16622534,16622533,1,1,3,9,11693,1,334,0
15,18201162,18201161,1,1,3,9,11693,1,366,0
16,19829122,19829121,1,1,3,9,11693,1,399,0
