# sidx,nbytes,magic,seq,nbad,ok
197361,1528,0,0,-1,0
246817,1528,0,0,-1,0
296149,1528,1,1,0,1
345481,1528,1,2,0,1
394813,1528,1,3,0,1
444145,1528,1,4,0,1
493477,1528,1,5,0,1
542809,1528,1,6,0,1
592141,1528,1,7,0,1
641469,1528,1,8,0,1
690797,1528,0,1310785536,-1,0
740125,1528,0,1910354639,-1,0
789453,1528,0,870323026,-1,0
838781,1528,0,3803463706,-1,0
888109,1528,0,3837022234,-1,0
937437,1528,0,3769925658,-1,0
986769,1528,0,3837046810,-1,0
1036101,1528,0,3901243418,-1,0
1085433,1528,0,2810724378,-1,0
1134765,1528,0,3901489178,-1,0
1184097,1528,0,2760638490,-1,0
1233429,1528,0,3833872410,-1,0
1282761,1528,0,2877571098,-1,0
1332093,1528,0,3833888794,-1,0
1381425,1528,0,2827255834,-1,0
1430757,1528,0,3817095194,-1,0
1480089,1528,0,3833872410,-1,0
1529421,1528,0,3766747162,-1,0
1578753,1528,0,3833856026,-1,0
1628085,1528,0,3884204058,-1,0
1677417,1528,0,3766763546,-1,0
1726749,1528,0,3833888794,-1,0
1776081,1528,0,3766779930,-1,0
1825413,1528,0,3834912794,-1,0
1874745,1528,0,3818651930,-1,0
1924077,1528,0,3834920986,-1,0
1973409,1528,0,3768336666,-1,0
2022741,1528,0,3768098842,-1,0
2072073,1528,0,3851976986,-1,0
2121405,1528,0,3768336410,-1,0
2170737,1528,0,3835445530,-1,0
2220069,1528,0,2945724442,-1,0
2269401,1528,0,2828271898,-1,0
2318733,1528,0,2895400986,-1,0
2368065,1528,0,3902030106,-1,0
2417397,1528,0,2878648346,-1,0
2466729,1528,0,3868492058,-1,0
2516061,1528,0,2828292122,-1,0
2565393,1528,0,3834921242,-1,0
2614725,1528,0,3766747418,-1,0
2664057,1528,0,3884187674,-1,0
2713389,1528,0,3766763802,-1,0
2762721,1528,0,3850649626,-1,0
2812053,1528,0,3834413338,-1,0
2861385,1528,0,3800858650,-1,0
2910717,1528,0,3834134810,-1,0
2960049,1528,0,3767025690,-1,0
3009381,1528,0,2860777754,-1,0
3058713,1528,0,2911109146,-1,0
3108045,1528,0,3900981530,-1,0
3157377,1528,0,2911125530,-1,0
3206709,1528,0,3833889050,-1,0
3256041,1528,0,2827255834,-1,0
3305373,1528,0,3833872666,-1,0
3354705,1528,0,2827239450,-1,0
3404037,1528,0,3837034522,-1,0
3453369,1528,0,2746523674,-1,0
3502701,1528,0,3837018138,-1,0
3552033,1528,0,2696167450,-1,0
3601365,1528,0,3803447322,-1,0
3650697,1528,0,2813599770,-1,0
3700029,1528,0,3803463706,-1,0
3749361,1528,0,2763276314,-1,0
3798693,1528,0,3887890458,-1,0
3848025,1528,0,3904155674,-1,0
3897357,1528,0,3837542426,-1,0
3946689,1528,0,3904131098,-1,0
3996021,1528,0,3954966554,-1,0
4045353,1528,0,3837538330,-1,0
4094685,1528,0,3904389146,-1,0
4144017,1528,0,3837284378,-1,0
4193349,1528,0,2693038106,-1,0
4242681,1528,0,3867443226,-1,0
4292013,1528,0,2693021722,-1,0
4341345,1528,0,3833872410,-1,0
4390677,1528,0,2760114202,-1,0
4440009,1528,0,3817078810,-1,0
4489341,1528,0,2760130586,-1,0
4538673,1528,0,3783540762,-1,0
4588005,1528,0,3934552090,-1,0
4637337,1528,0,3833888794,-1,0
4686669,1528,0,3900981274,-1,0
4736001,1528,0,3833872410,-1,0
4785333,1528,0,3867672602,-1,0
4834665,1528,0,3918004250,-1,0
4883997,1528,0,3834396698,-1,0
4933329,1528,0,3918282778,-1,0
4982661,1528,0,3834920986,-1,0
5031993,1528,0,3935584538,-1,0
5081325,1528,0,3834945562,-1,0
5130657,1528,0,3902046490,-1,0
5179989,1528,0,3918807066,-1,0
5229321,1528,0,4002693402,-1,0
5278653,1528,0,3918798874,-1,0
5327985,1528,0,3969122586,-1,0
5377317,1528,0,3835187226,-1,0
5426649,1528,0,2694332698,-1,0
5475981,1528,0,3835473946,-1,0
5525313,1528,0,2694611226,-1,0
5574645,1528,0,3818147866,-1,0
5623977,1528,0,2761703706,-1,0
5673309,1528,0,2710843418,-1,0
