# n,sidx,beat,slot_rtl,slot_harness,dt_enb,occ,tref,locked,opens,kind
0,543028,543027,2,2,5,31,21,1,8,1
1,592360,592359,2,2,5,30,22,1,9,1
2,641688,641687,2,2,5,28,22,1,10,1
3,691016,691015,2,2,5,27,22,1,11,1
4,740344,740343,2,2,5,26,22,1,12,1
5,789672,789671,2,2,5,25,22,1,13,1
6,839000,838999,2,2,5,24,22,1,14,1
0,6610834,6610833,1,1,3,9,21,1,131,0
1,7005494,7005493,1,1,3,9,21,1,138,0
2,7449486,7449485,1,1,3,9,21,1,147,0
3,7844146,7844145,1,1,3,9,21,1,155,0
4,8238806,8238805,1,1,3,9,21,1,163,0
5,8633466,8633465,1,1,3,9,21,1,171,0
6,9028126,9028125,1,1,3,9,21,1,179,0
7,9422786,9422785,1,1,3,9,21,1,187,0
8,9817446,9817445,1,1,3,9,21,1,195,0
9,10212106,10212105,1,1,3,9,21,1,203,0
10,10606766,10606765,1,1,3,9,21,1,211,0
11,11050758,11050757,1,1,3,9,21,1,220,0
12,11445418,11445417,1,1,3,9,21,1,228,0
13,11840078,11840077,1,1,3,9,21,1,236,0
14,12234738,12234737,1,1,3,9,21,1,244,0
15,12629398,12629397,1,1,3,9,21,1,252,0
16,13024058,13024057,1,1,3,9,21,1,260,0
17,13418718,13418717,1,1,3,9,21,1,268,0
18,13813378,13813377,1,1,3,9,21,1,276,0
19,14208038,14208037,1,1,3,9,21,1,284,0
20,14602698,14602697,1,1,3,9,21,1,292,0
21,15046690,15046689,1,1,3,9,21,1,301,0
22,15441350,15441349,1,1,3,9,21,1,309,0
23,15836010,15836009,1,1,3,9,21,1,317,0
24,16230670,16230669,1,1,3,9,21,1,325,0
25,16625330,16625329,1,1,3,9,21,1,333,0
26,17019990,17019989,1,1,3,9,21,1,341,0
27,17414650,17414649,1,1,3,9,21,1,349,0
28,17809310,17809309,1,1,3,9,21,1,357,0
29,18203970,18203969,1,1,3,9,21,1,365,0
30,18647962,18647961,1,1,3,9,21,1,374,0
31,19042622,19042621,1,1,3,9,21,1,382,0
32,19437282,19437281,1,1,3,9,21,1,390,0
33,19831942,19831941,1,1,3,9,21,1,398,0
34,20226602,20226601,1,1,3,9,21,1,406,0
35,20621262,20621261,1,1,3,9,21,1,414,0
36,21015922,21015921,1,1,3,9,21,1,422,0
