# n,sidx,beat,slot_rtl,slot_harness,dt_enb,occ,tref,locked,opens,kind
0,641562,641561,1,1,3,2,12178,1,8,0
1,690894,690893,1,1,3,3,12177,1,9,0
2,740230,740229,1,1,3,4,12177,1,10,0
3,789566,789565,1,1,3,5,12177,1,11,0
4,838902,838901,1,1,3,7,12177,1,12,0
5,888238,888237,1,1,3,8,12177,1,13,0
6,937574,937573,1,1,3,9,12177,1,14,0
0,6413436,6413435,2,2,5,23,12178,1,125,1
1,6808088,6808087,2,2,5,23,12178,1,133,1
2,7202740,7202739,2,2,5,23,12178,1,141,1
3,7646724,7646723,2,2,5,23,12178,1,150,1
4,8041376,8041375,2,2,5,23,12178,1,158,1
5,8436028,8436027,2,2,5,23,12178,1,166,1
6,8830680,8830679,2,2,5,23,12178,1,174,1
7,9225332,9225331,2,2,5,23,12178,1,182,1
8,9619984,9619983,2,2,5,23,12178,1,190,1
9,10014636,10014635,2,2,5,23,12178,1,198,1
10,10409288,10409287,2,2,5,23,12178,1,206,1
11,10803940,10803939,2,2,5,23,12178,1,214,1
12,11247924,11247923,2,2,5,23,12178,1,223,1
13,11642576,11642575,2,2,5,23,12178,1,231,1
14,12037228,12037227,2,2,5,23,12178,1,239,1
15,12431880,12431879,2,2,5,23,12178,1,247,1
16,12826532,12826531,2,2,5,23,12178,1,255,1
17,13221184,13221183,2,2,5,23,12178,1,263,1
18,13615836,13615835,2,2,5,23,12178,1,271,1
19,14010488,14010487,2,2,5,23,12178,1,279,1
20,14405140,14405139,2,2,5,23,12178,1,287,1
21,14849124,14849123,2,2,5,23,12178,1,296,1
22,15243776,15243775,2,2,5,23,12178,1,304,1
23,15638428,15638427,2,2,5,23,12178,1,312,1
24,16033080,16033079,2,2,5,23,12178,1,320,1
25,16427732,16427731,2,2,5,23,12178,1,328,1
26,16822384,16822383,2,2,5,23,12178,1,336,1
27,17217036,17217035,2,2,5,23,12178,1,344,1
28,17611688,17611687,2,2,5,23,12178,1,352,1
29,18006340,18006339,2,2,5,23,12178,1,360,1
30,18400992,18400991,2,2,5,23,12178,1,368,1
31,18844976,18844975,2,2,5,23,12178,1,377,1
32,19239628,19239627,2,2,5,23,12178,1,385,1
33,19634280,19634279,2,2,5,23,12178,1,393,1
34,20028932,20028931,2,2,5,23,12178,1,401,1
35,20423584,20423583,2,2,5,23,12178,1,409,1
36,20818236,20818235,2,2,5,23,12178,1,417,1
