# sidx,nbytes,magic,seq,nbad,ok
148045,1528,0,0,-1,0
197377,1528,0,1819043144,-1,0
246709,1528,0,1819043144,-1,0
296041,1528,0,1819043144,-1,0
345373,1528,0,1819043144,-1,0
394705,1528,0,1819043144,-1,0
444037,1528,0,1819043144,-1,0
493369,1528,0,1819043144,-1,0
542701,1528,0,1819043144,-1,0
592037,1528,0,1819043144,-1,0
641373,1528,0,1819043144,-1,0
690709,1528,0,1819043144,-1,0
740045,1528,0,1819043144,-1,0
789381,1528,0,1819043144,-1,0
838717,1528,0,1819043144,-1,0
888049,1528,0,1819043144,-1,0
937381,1528,0,1819043144,-1,0
986713,1528,0,1819043144,-1,0
1036045,1528,0,1819043144,-1,0
1085377,1528,0,1819043144,-1,0
1134713,1528,0,1819043144,-1,0
1184045,1528,0,1819043144,-1,0
1233377,1528,0,1819043144,-1,0
1282709,1528,0,1819043144,-1,0
1332041,1528,0,1819043144,-1,0
1381373,1528,0,1819043144,-1,0
1430705,1528,0,1819043144,-1,0
1480037,1528,0,1819043144,-1,0
1529373,1528,0,1819043144,-1,0
1578705,1528,0,1819043144,-1,0
1628037,1528,0,1819043144,-1,0
1677369,1528,0,1819043144,-1,0
1726701,1528,0,1819043144,-1,0
1776033,1528,0,1819043144,-1,0
1825365,1528,0,1819043144,-1,0
1874697,1528,0,1819043144,-1,0
1924033,1528,0,1819043144,-1,0
1973365,1528,0,1819043144,-1,0
2022697,1528,0,1819043144,-1,0
2072029,1528,0,1819043144,-1,0
2121361,1528,0,1819043144,-1,0
2170693,1528,0,1819043144,-1,0
2220025,1528,0,1819043144,-1,0
2269357,1528,0,1819043144,-1,0
2318693,1528,0,1819043144,-1,0
2368025,1528,0,1819043144,-1,0
2417357,1528,0,1819043144,-1,0
2466689,1528,0,1819043144,-1,0
2516021,1528,0,1819043144,-1,0
2565353,1528,0,1819043144,-1,0
2614685,1528,0,1819043144,-1,0
2664017,1528,0,1819043144,-1,0
2713353,1528,0,1819043144,-1,0
2762685,1528,0,1819043144,-1,0
2812017,1528,0,1819043144,-1,0
2861349,1528,0,1819043144,-1,0
2910681,1528,0,1819043144,-1,0
2960013,1528,0,1819043144,-1,0
3009345,1528,0,1819043144,-1,0
3058677,1528,0,1819043144,-1,0
3108013,1528,0,1819043144,-1,0
3157345,1528,0,1819043144,-1,0
3206677,1528,0,1819043144,-1,0
3256009,1528,0,1819043144,-1,0
3305341,1528,0,1819043144,-1,0
3354673,1528,0,1819043144,-1,0
3404005,1528,0,1819043144,-1,0
3453337,1528,0,1819043144,-1,0
3502673,1528,0,1819043144,-1,0
3552005,1528,0,1819043144,-1,0
3601337,1528,0,1819043144,-1,0
3650669,1528,0,1819043144,-1,0
3700001,1528,0,1819043144,-1,0
3749333,1528,0,1819043144,-1,0
3798665,1528,0,1819043144,-1,0
3847997,1528,0,1819043144,-1,0
3897333,1528,0,1819043144,-1,0
3946665,1528,0,1819043144,-1,0
3995997,1528,0,1819043144,-1,0
4045329,1528,0,1819043144,-1,0
4094661,1528,0,1819043144,-1,0
4143993,1528,0,1819043144,-1,0
4193325,1528,0,1819043144,-1,0
4242657,1528,0,1819043144,-1,0
4291989,1528,0,1819043144,-1,0
4341325,1528,0,1819043144,-1,0
4390657,1528,0,1819043144,-1,0
4439989,1528,0,1819043144,-1,0
4489321,1528,0,1819043144,-1,0
4538653,1528,0,1819043144,-1,0
4587985,1528,0,1819043144,-1,0
4637317,1528,0,1819043144,-1,0
4686649,1528,0,1819043144,-1,0
4735985,1528,0,1819043144,-1,0
4785317,1528,0,1819043144,-1,0
4834649,1528,0,1819043144,-1,0
4883981,1528,0,1819043144,-1,0
4933313,1528,0,1819043144,-1,0
4982645,1528,0,1819043144,-1,0
5031977,1528,0,1819043144,-1,0
5081309,1528,0,1819043144,-1,0
5130645,1528,0,1819043144,-1,0
5179977,1528,0,1819043144,-1,0
5229309,1528,0,1819043144,-1,0
5278641,1528,0,1819043144,-1,0
5327973,1528,0,1819043144,-1,0
5377305,1528,0,1819043144,-1,0
5426637,1528,0,1819043144,-1,0
5475969,1528,0,1819043144,-1,0
5525305,1528,0,1819043144,-1,0
5574637,1528,0,1819043144,-1,0
5623969,1528,0,1819043144,-1,0
5673301,1528,0,1819043144,-1,0
5722633,1528,0,1819043144,-1,0
5771965,1528,0,1819043144,-1,0
5821297,1528,0,1819043144,-1,0
5870629,1528,0,1819043144,-1,0
5919965,1528,0,1819043144,-1,0
5969297,1528,0,1819043144,-1,0
6018629,1528,0,1819043144,-1,0
6067961,1528,0,1819043144,-1,0
6117293,1528,0,1819043144,-1,0
6166625,1528,0,1819043144,-1,0
6215957,1528,0,1819043144,-1,0
6265289,1528,0,1819043144,-1,0
6314625,1528,0,1819043144,-1,0
6363957,1528,0,1819043144,-1,0
6413289,1528,0,1819043144,-1,0
6462621,1528,0,1819043144,-1,0
6511953,1528,0,1819043144,-1,0
6561285,1528,0,1819043144,-1,0
6610617,1528,0,1819043144,-1,0
6659949,1528,0,1819043144,-1,0
6709285,1528,0,1819043144,-1,0
6758617,1528,0,1819043144,-1,0
6807949,1528,0,1819043144,-1,0
6857281,1528,0,1819043144,-1,0
6906613,1528,0,1819043144,-1,0
6955945,1528,0,1819043144,-1,0
7005277,1528,0,1819043144,-1,0
7054609,1528,0,1819043144,-1,0
7103945,1528,0,1819043144,-1,0
7153277,1528,0,1819043144,-1,0
7202609,1528,0,1819043144,-1,0
7251941,1528,0,1819043144,-1,0
7301273,1528,0,1819043144,-1,0
7350605,1528,0,1819043144,-1,0
7399937,1528,0,1819043144,-1,0
7449269,1528,0,1819043144,-1,0
7498601,1528,0,1819043144,-1,0
7547937,1528,0,1819043144,-1,0
7597269,1528,0,1819043144,-1,0
7646601,1528,0,1819043144,-1,0
7695933,1528,0,1819043144,-1,0
7745265,1528,0,1819043144,-1,0
7794597,1528,0,1819043144,-1,0
7843929,1528,0,1819043144,-1,0
7893261,1528,0,1819043144,-1,0
7942597,1528,0,1819043144,-1,0
7991929,1528,0,1819043144,-1,0
8041261,1528,0,1819043144,-1,0
8090593,1528,0,1819043144,-1,0
8139780,1528,0,1819043144,-1,0
8139780,1528,0,1819043144,-1,0
