# n,sidx,beat,slot_rtl,slot_harness,dt_enb,occ,tref,locked,opens,kind
0,493586,493585,1,1,3,4,28,1,8,0
1,542918,542917,1,1,3,5,27,1,9,0
2,592254,592253,1,1,3,6,27,1,10,0
3,641590,641589,1,1,3,7,27,1,11,0
4,690926,690925,1,1,3,8,27,1,12,0
5,740262,740261,1,1,3,9,27,1,13,0
6,1036262,1036261,1,1,3,9,28,1,19,0
7,1430922,1430921,1,1,3,9,28,1,27,0
8,1825582,1825581,1,1,3,9,28,1,35,0
9,2220242,2220241,1,1,3,9,28,1,43,0
10,2614902,2614901,1,1,3,9,28,1,51,0
11,3009562,3009561,1,1,3,9,28,1,59,0
12,3404222,3404221,1,1,3,9,28,1,67,0
13,3798882,3798881,1,1,3,9,28,1,75,0
14,4242874,4242873,1,1,3,9,28,1,84,0
15,4637534,4637533,1,1,3,9,28,1,92,0
16,5032194,5032193,1,1,3,9,28,1,100,0
17,5426854,5426853,1,1,3,9,28,1,108,0
18,5821514,5821513,1,1,3,9,28,1,116,0
19,6216174,6216173,1,1,3,9,28,1,124,0
20,6610834,6610833,1,1,3,9,28,1,132,0
21,7005494,7005493,1,1,3,9,28,1,140,0
22,7449486,7449485,1,1,3,9,28,1,149,0
23,7844146,7844145,1,1,3,9,28,1,157,0
