# n,sidx,beat,slot_rtl,slot_harness,dt_enb,occ,tref,locked,opens,kind
0,937594,937593,1,1,3,1,12296,1,8,0
1,1036262,1036261,1,1,3,1,12296,1,9,0
2,1085598,1085597,1,1,3,2,12296,1,10,0
3,1134934,1134933,1,1,3,2,12296,1,11,0
4,1184270,1184269,1,1,3,3,12296,1,12,0
5,1233606,1233605,1,1,3,3,12296,1,13,0
6,1282942,1282941,1,1,3,4,12296,1,14,0
7,1332278,1332277,1,1,3,4,12296,1,15,0
8,1381614,1381613,1,1,3,5,12296,1,16,0
9,1430950,1430949,1,1,3,5,12296,1,17,0
10,1480286,1480285,1,1,3,6,12296,1,18,0
11,1529622,1529621,1,1,3,6,12296,1,19,0
12,1578958,1578957,1,1,3,7,12296,1,20,0
13,1628294,1628293,1,1,3,7,12296,1,21,0
14,1677630,1677629,1,1,3,8,12296,1,22,0
15,1726966,1726965,1,1,3,8,12296,1,23,0
16,1776302,1776301,1,1,3,9,12296,1,24,0
17,1874970,1874969,1,1,3,9,12296,1,26,0
18,1973638,1973637,1,1,3,9,12296,1,28,0
19,2072306,2072305,1,1,3,9,12296,1,30,0
20,2170974,2170973,1,1,3,9,12296,1,32,0
21,2269642,2269641,1,1,3,9,12296,1,34,0
22,2368310,2368309,1,1,3,9,12296,1,36,0
23,2466978,2466977,1,1,3,9,12296,1,38,0
24,2565646,2565645,1,1,3,9,12296,1,40,0
25,2664314,2664313,1,1,3,9,12296,1,42,0
26,2762982,2762981,1,1,3,9,12296,1,44,0
27,2861650,2861649,1,1,3,9,12296,1,46,0
28,2960318,2960317,1,1,3,9,12296,1,48,0
29,3058986,3058985,1,1,3,9,12296,1,50,0
30,3157654,3157653,1,1,3,9,12296,1,52,0
31,3256322,3256321,1,1,3,9,12296,1,54,0
32,3354990,3354989,1,1,3,9,12296,1,56,0
33,3453658,3453657,1,1,3,9,12296,1,58,0
34,3552326,3552325,1,1,3,9,12296,1,60,0
35,3650994,3650993,1,1,3,9,12296,1,62,0
36,3798994,3798993,1,1,3,9,12296,1,65,0
37,3897662,3897661,1,1,3,9,12296,1,67,0
38,3996330,3996329,1,1,3,9,12296,1,69,0
39,4094998,4094997,1,1,3,9,12296,1,71,0
40,4193666,4193665,1,1,3,9,12296,1,73,0
41,4292334,4292333,1,1,3,9,12296,1,75,0
42,4391002,4391001,1,1,3,9,12296,1,77,0
43,4489670,4489669,1,1,3,9,12296,1,79,0
44,4588338,4588337,1,1,3,9,12296,1,81,0
45,4687006,4687005,1,1,3,9,12296,1,83,0
46,4785674,4785673,1,1,3,9,12296,1,85,0
47,4884342,4884341,1,1,3,9,12296,1,87,0
48,4983010,4983009,1,1,3,9,12296,1,89,0
49,5081678,5081677,1,1,3,9,12296,1,91,0
50,5180346,5180345,1,1,3,9,12296,1,93,0
51,5279014,5279013,1,1,3,9,12296,1,95,0
52,5377682,5377681,1,1,3,9,12296,1,97,0
53,5476350,5476349,1,1,3,9,12296,1,99,0
54,5575018,5575017,1,1,3,9,12296,1,101,0
55,5673686,5673685,1,1,3,9,12296,1,103,0
56,5772354,5772353,1,1,3,9,12296,1,105,0
57,5871022,5871021,1,1,3,9,12296,1,107,0
58,5969690,5969689,1,1,3,9,12296,1,109,0
59,6068358,6068357,1,1,3,9,12296,1,111,0
60,6167026,6167025,1,1,3,9,12296,1,113,0
61,6265694,6265693,1,1,3,9,12296,1,115,0
62,6364362,6364361,1,1,3,9,12296,1,117,0
63,6463030,6463029,1,1,3,9,12296,1,119,0
64,6561698,6561697,1,1,3,9,12296,1,121,0
65,6660366,6660365,1,1,3,9,12296,1,123,0
66,6759034,6759033,1,1,3,9,12296,1,125,0
67,6907034,6907033,1,1,3,8,12296,1,127,0
68,6956370,6956369,1,1,3,9,12296,1,128,0
69,7055038,7055037,1,1,3,9,12296,1,130,0
70,7153706,7153705,1,1,3,9,12296,1,132,0
71,7252374,7252373,1,1,3,9,12296,1,134,0
72,7351042,7351041,1,1,3,9,12296,1,136,0
73,7499042,7499041,1,1,3,9,12296,1,139,0
74,7597710,7597709,1,1,3,9,12296,1,141,0
75,7696378,7696377,1,1,3,9,12296,1,143,0
76,7795046,7795045,1,1,3,9,12296,1,145,0
77,7893714,7893713,1,1,3,9,12296,1,147,0
78,7992382,7992381,1,1,3,9,12296,1,149,0
79,8091050,8091049,1,1,3,9,12296,1,151,0
80,8189718,8189717,1,1,3,9,12296,1,153,0
81,8288386,8288385,1,1,3,9,12296,1,155,0
82,8387054,8387053,1,1,3,9,12296,1,157,0
83,8485722,8485721,1,1,3,9,12296,1,159,0
84,8584390,8584389,1,1,3,9,12296,1,161,0
85,8683058,8683057,1,1,3,9,12296,1,163,0
86,8781726,8781725,1,1,3,9,12296,1,165,0
87,8880394,8880393,1,1,3,9,12296,1,167,0
88,8979062,8979061,1,1,3,9,12296,1,169,0
89,9077730,9077729,1,1,3,9,12296,1,171,0
90,9176398,9176397,1,1,3,9,12296,1,173,0
91,9275066,9275065,1,1,3,9,12296,1,175,0
92,9373734,9373733,1,1,3,9,12296,1,177,0
93,9472402,9472401,1,1,3,9,12296,1,179,0
94,9571070,9571069,1,1,3,9,12296,1,181,0
95,9669738,9669737,1,1,3,9,12296,1,183,0
96,9768406,9768405,1,1,3,9,12296,1,185,0
97,9867074,9867073,1,1,3,9,12296,1,187,0
98,9965742,9965741,1,1,3,9,12296,1,189,0
99,10064410,10064409,1,1,3,9,12296,1,191,0
100,10163078,10163077,1,1,3,9,12296,1,193,0
101,10261746,10261745,1,1,3,9,12296,1,195,0
102,10360414,10360413,1,1,3,9,12296,1,197,0
103,10459082,10459081,1,1,3,9,12296,1,199,0
104,10557750,10557749,1,1,3,9,12296,1,201,0
105,10656418,10656417,1,1,3,9,12296,1,203,0
106,10755086,10755085,1,1,3,9,12296,1,205,0
107,10853754,10853753,1,1,3,9,12296,1,207,0
108,10952422,10952421,1,1,3,9,12296,1,209,0
109,11051090,11051089,1,1,3,9,12296,1,211,0
110,11149758,11149757,1,1,3,9,12296,1,213,0
111,11297758,11297757,1,1,3,9,12296,1,216,0
112,11396426,11396425,1,1,3,9,12296,1,218,0
113,11495094,11495093,1,1,3,9,12296,1,220,0
114,11593762,11593761,1,1,3,9,12296,1,222,0
115,11692430,11692429,1,1,3,9,12296,1,224,0
116,11791098,11791097,1,1,3,9,12296,1,226,0
117,11889766,11889765,1,1,3,9,12296,1,228,0
118,11988434,11988433,1,1,3,9,12296,1,230,0
119,12087102,12087101,1,1,3,9,12296,1,232,0
120,12185770,12185769,1,1,3,9,12296,1,234,0
121,12284438,12284437,1,1,3,9,12296,1,236,0
122,12383106,12383105,1,1,3,9,12296,1,238,0
123,12481774,12481773,1,1,3,9,12296,1,240,0
124,12580442,12580441,1,1,3,9,12296,1,242,0
125,12679110,12679109,1,1,3,9,12296,1,244,0
126,12777778,12777777,1,1,3,9,12296,1,246,0
127,12876446,12876445,1,1,3,9,12296,1,248,0
128,12975114,12975113,1,1,3,9,12296,1,250,0
129,13073782,13073781,1,1,3,9,12296,1,252,0
130,13172450,13172449,1,1,3,9,12296,1,254,0
131,13271118,13271117,1,1,3,9,12296,1,256,0
132,13369786,13369785,1,1,3,9,12296,1,258,0
133,13468454,13468453,1,1,3,9,12296,1,260,0
134,13567122,13567121,1,1,3,9,12296,1,262,0
135,13665790,13665789,1,1,3,9,12296,1,264,0
136,13764458,13764457,1,1,3,9,12296,1,266,0
137,13863126,13863125,1,1,3,9,12296,1,268,0
138,13961794,13961793,1,1,3,9,12296,1,270,0
139,14060462,14060461,1,1,3,9,12296,1,272,0
140,14159130,14159129,1,1,3,9,12296,1,274,0
141,14257798,14257797,1,1,3,9,12296,1,276,0
142,14356466,14356465,1,1,3,9,12296,1,278,0
143,14455134,14455133,1,1,3,9,12296,1,280,0
144,14553802,14553801,1,1,3,9,12296,1,282,0
145,14652470,14652469,1,1,3,9,12296,1,284,0
146,14751138,14751137,1,1,3,9,12296,1,286,0
147,14899138,14899137,1,1,3,9,12296,1,289,0
148,14997806,14997805,1,1,3,9,12296,1,291,0
149,15096474,15096473,1,1,3,9,12296,1,293,0
150,15195142,15195141,1,1,3,9,12296,1,295,0
151,15293810,15293809,1,1,3,9,12296,1,297,0
152,15392478,15392477,1,1,3,9,12296,1,299,0
153,15491146,15491145,1,1,3,9,12296,1,301,0
154,15589814,15589813,1,1,3,9,12296,1,303,0
155,15688482,15688481,1,1,3,9,12296,1,305,0
156,15787150,15787149,1,1,3,9,12296,1,307,0
157,15885818,15885817,1,1,3,9,12296,1,309,0
158,15984486,15984485,1,1,3,9,12296,1,311,0
159,16083154,16083153,1,1,3,9,12296,1,313,0
160,16181822,16181821,1,1,3,9,12296,1,315,0
161,16280490,16280489,1,1,3,9,12296,1,317,0
162,16379158,16379157,1,1,3,9,12296,1,319,0
163,16477826,16477825,1,1,3,9,12296,1,321,0
