# sidx,nbytes,magic,seq,nbad,ok
197741,1528,0,0,-1,0
246817,1528,0,0,-1,0
296021,1528,0,905621923,-1,0
345353,1528,1,2,0,1
394685,1528,1,3,0,1
444017,1528,1,4,0,1
493349,1528,1,5,0,1
542681,1528,1,6,0,1
592013,1528,1,7,0,1
641345,1528,1,8,0,1
690681,1528,1,9,0,1
740017,1528,1,10,0,1
789353,1528,1,11,0,1
838689,1528,1,12,0,1
888025,1528,1,13,0,1
937361,1528,1,14,0,1
986697,1528,1,15,0,1
1036029,1528,1,16,0,1
1085361,1528,1,17,0,1
1134693,1528,1,18,0,1
1184025,1528,1,19,0,1
1233357,1528,1,20,0,1
1282689,1528,1,21,0,1
1332021,1528,1,22,0,1
1381353,1528,1,23,0,1
1430685,1528,1,24,0,1
1480017,1528,1,25,0,1
1529349,1528,1,26,0,1
1578681,1528,1,27,0,1
1628013,1528,1,28,0,1
1677345,1528,1,29,0,1
1726677,1528,1,30,0,1
1776009,1528,1,31,0,1
1825341,1528,1,32,0,1
1874673,1528,1,33,0,1
1924005,1528,1,34,0,1
1973337,1528,1,35,0,1
2022669,1528,1,36,0,1
2072001,1528,1,37,0,1
2121333,1528,1,38,0,1
2170665,1528,1,39,0,1
2219997,1528,1,40,0,1
2269329,1528,1,41,0,1
2318661,1528,1,42,0,1
2367993,1528,1,43,0,1
2417325,1528,1,44,0,1
2466657,1528,1,45,0,1
2515989,1528,1,46,0,1
2565321,1528,1,47,0,1
2614653,1528,1,48,0,1
2663985,1528,1,49,0,1
2713317,1528,1,50,0,1
2762649,1528,1,51,0,1
2811981,1528,1,52,0,1
2861313,1528,1,53,0,1
2910645,1528,1,54,0,1
2959977,1528,1,55,0,1
3009309,1528,1,56,0,1
3058641,1528,1,57,0,1
3107973,1528,1,58,0,1
3157305,1528,1,59,0,1
3206637,1528,1,60,0,1
3255969,1528,1,61,0,1
3305301,1528,1,62,0,1
3354633,1528,1,63,0,1
3403965,1528,1,64,0,1
3453297,1528,1,65,0,1
3502629,1528,1,66,0,1
3551961,1528,1,67,0,1
