# n,sidx,vpops_in_interval,rtl_period,locked
0,148259,37056,0,0
1,197591,12333,16383,0
2,246923,12333,12333,0
3,296255,12333,12333,0
4,345587,12333,12333,0
5,394919,12333,12333,0
6,444251,12333,12333,0
7,493583,12333,12333,0
8,542915,12332,12333,1
9,592251,12333,12332,1
10,641587,12333,12333,1
11,690923,12333,12333,1
12,740259,12334,12333,1
13,789591,12333,12334,1
14,838923,12333,12333,1
15,888255,12332,12333,1
16,937591,12334,12332,1
17,986923,12333,12334,1
18,1036255,12333,12333,1
19,1085587,12333,12333,1
20,1134919,12333,12333,1
21,1184251,12333,12333,1
22,1233583,12333,12333,1
23,1282915,12333,12333,1
24,1332247,12333,12333,1
25,1381579,12333,12333,1
26,1430911,12333,12333,1
27,1480243,12333,12333,1
28,1529575,12333,12333,1
29,1578907,12333,12333,1
30,1628239,12333,12333,1
31,1677571,12333,12333,1
32,1726903,12333,12333,1
33,1776235,12333,12333,1
34,1825567,12333,12333,1
35,1874899,12333,12333,1
36,1924231,12333,12333,1
37,1973563,12333,12333,1
38,2022895,12333,12333,1
39,2072227,12333,12333,1
40,2121559,12333,12333,1
41,2170891,12333,12333,1
42,2220223,12333,12333,1
43,2269555,12333,12333,1
44,2318887,12333,12333,1
45,2368219,12333,12333,1
46,2417551,12333,12333,1
47,2466883,12332,12333,1
48,2516219,12334,12332,1
49,2565551,12333,12334,1
50,2614883,12333,12333,1
51,2664215,12333,12333,1
52,2713547,12333,12333,1
53,2762879,12333,12333,1
54,2812211,12333,12333,1
55,2861543,12333,12333,1
56,2910875,12333,12333,1
57,2960207,12333,12333,1
58,3009539,12333,12333,1
59,3058871,12333,12333,1
60,3108203,12333,12333,1
61,3157535,12333,12333,1
62,3206867,12333,12333,1
63,3256199,12333,12333,1
64,3305531,12333,12333,1
65,3354863,12333,12333,1
66,3404195,12333,12333,1
67,3453527,12333,12333,1
68,3502859,12333,12333,1
69,3552191,12333,12333,1
70,3601523,12333,12333,1
71,3650855,12333,12333,1
72,3700187,12333,12333,1
73,3749519,12333,12333,1
74,3798851,12333,12333,1
75,3848183,12333,12333,1
76,3897515,12333,12333,1
77,3946847,12333,12333,1
78,3996179,12333,12333,1
79,4045511,12332,12333,1
80,4094847,12334,12332,1
81,4144179,12333,12334,1
82,4193511,12333,12333,1
83,4242843,12333,12333,1
84,4292175,12333,12333,1
85,4341507,12333,12333,1
86,4390839,12333,12333,1
87,4440171,12333,12333,1
88,4489503,12333,12333,1
89,4538835,12333,12333,1
90,4588167,12333,12333,1
91,4637499,12333,12333,1
92,4686831,12333,12333,1
93,4736163,12333,12333,1
94,4785495,12333,12333,1
95,4834827,12333,12333,1
96,4884159,12333,12333,1
97,4933491,12333,12333,1
98,4982823,12333,12333,1
99,5032155,12333,12333,1
100,5081487,12333,12333,1
101,5130819,12333,12333,1
102,5180151,12333,12333,1
103,5229483,12333,12333,1
104,5278815,12333,12333,1
105,5328147,12333,12333,1
106,5377479,12333,12333,1
107,5426811,12333,12333,1
108,5476143,12333,12333,1
109,5525475,12333,12333,1
110,5574807,12333,12333,1
111,5624139,12333,12333,1
112,5673471,12332,12333,1
113,5722807,12334,12332,1
114,5772139,12333,12334,1
115,5821471,12333,12333,1
116,5870803,12333,12333,1
117,5920135,12333,12333,1
118,5969467,12333,12333,1
119,6018799,12333,12333,1
120,6068131,12333,12333,1
