# n,sidx,beat,slot_rtl,slot_harness,dt_enb,occ,tref,locked,opens,kind,land_rtl,land_harness,m,occ_ptr,land_out
1,592259,592258,12310,12310,49236,30,12329,1,8,1,7,7,24,30,0
2,641596,641595,12311,12311,49241,29,12330,1,9,1,7,7,23,29,0
3,690932,690931,12312,12312,49245,28,12331,1,10,1,7,7,22,28,0
4,740269,740268,12313,12313,49250,27,0,1,11,1,8,8,20,27,0
5,789597,789596,12313,12313,49250,26,12332,1,12,1,7,7,20,26,0
6,838930,838929,12314,12314,49255,25,12332,1,13,1,7,7,19,25,0
7,888262,888261,12315,12315,49259,24,12332,1,14,1,7,7,18,24,0
0,6610834,6610833,1,1,3,9,14,1,131,0,0,0,0,9,0
1,7005494,7005493,1,1,3,9,14,1,138,0,0,0,0,9,0
2,7449486,7449485,1,1,3,9,14,1,147,0,0,0,0,9,0
3,7844146,7844145,1,1,3,9,14,1,155,0,0,0,0,9,0
4,8238806,8238805,1,1,3,9,14,1,163,0,0,0,0,9,0
5,8633466,8633465,1,1,3,9,14,1,171,0,0,0,0,9,0
6,9028126,9028125,1,1,3,9,14,1,179,0,0,0,0,9,0
7,9422786,9422785,1,1,3,9,14,1,187,0,0,0,0,9,0
8,9817446,9817445,1,1,3,9,14,1,195,0,0,0,0,9,0
9,10212106,10212105,1,1,3,9,14,1,203,0,0,0,0,9,0
10,10606766,10606765,1,1,3,9,14,1,211,0,0,0,0,9,0
11,11050758,11050757,1,1,3,9,14,1,220,0,0,0,0,9,0
12,11445418,11445417,1,1,3,9,14,1,228,0,0,0,0,9,0
13,11840078,11840077,1,1,3,9,14,1,236,0,0,0,0,9,0
14,12234738,12234737,1,1,3,9,14,1,244,0,0,0,0,9,0
15,12629398,12629397,1,1,3,9,14,1,252,0,0,0,0,9,0
16,13024058,13024057,1,1,3,9,14,1,260,0,0,0,0,9,0
17,13418718,13418717,1,1,3,9,14,1,268,0,0,0,0,9,0
18,13813378,13813377,1,1,3,9,14,1,276,0,0,0,0,9,0
19,14208038,14208037,1,1,3,9,14,1,284,0,0,0,0,9,0
20,14602698,14602697,1,1,3,9,14,1,292,0,0,0,0,9,0
21,15046690,15046689,1,1,3,9,14,1,301,0,0,0,0,9,0
22,15441350,15441349,1,1,3,9,14,1,309,0,0,0,0,9,0
23,15836010,15836009,1,1,3,9,14,1,317,0,0,0,0,9,0
24,16230670,16230669,1,1,3,9,14,1,325,0,0,0,0,9,0
25,16625330,16625329,1,1,3,9,14,1,333,0,0,0,0,9,0
26,17019990,17019989,1,1,3,9,14,1,341,0,0,0,0,9,0
27,17414650,17414649,1,1,3,9,14,1,349,0,0,0,0,9,0
28,17809310,17809309,1,1,3,9,14,1,357,0,0,0,0,9,0
29,18203970,18203969,1,1,3,9,14,1,365,0,0,0,0,9,0
30,18647962,18647961,1,1,3,9,14,1,374,0,0,0,0,9,0
31,19042622,19042621,1,1,3,9,14,1,382,0,0,0,0,9,0
32,19437282,19437281,1,1,3,9,14,1,390,0,0,0,0,9,0
33,19831942,19831941,1,1,3,9,14,1,398,0,0,0,0,9,0
34,20226602,20226601,1,1,3,9,14,1,406,0,0,0,0,9,0
35,20621262,20621261,1,1,3,9,14,1,414,0,0,0,0,9,0
36,21015922,21015921,1,1,3,9,14,1,422,0,0,0,0,9,0
