# n,sidx,vpops_in_interval,rtl_period,locked
0,246907,61492,0,0
1,296239,12333,16383,0
2,345571,12333,12333,0
3,394903,12333,12333,0
4,444363,12364,12333,0
5,542903,24635,12364,0
6,592235,12333,16383,0
7,641567,12333,12333,0
8,690899,12332,12333,1
9,740235,12333,12332,1
10,789571,12333,12333,1
11,838907,12333,12333,1
12,888243,12333,12333,1
13,937579,12333,12333,1
14,986915,12333,12333,1
15,1036251,12333,12333,1
16,1085587,12333,12333,1
17,1134923,12333,12333,1
18,1184259,12334,12333,1
19,1233591,12333,12334,1
20,1282923,12333,12333,1
21,1332255,12333,12333,1
22,1381587,12333,12333,1
23,1430919,12333,12333,1
24,1480251,12332,12333,1
25,1529587,12334,12332,1
26,1578919,12333,12334,1
27,1628251,12333,12333,1
28,1677583,12333,12333,1
29,1726915,12333,12333,1
30,1776247,12333,12333,1
31,1825579,12333,12333,1
32,1874911,12332,12333,1
33,1924247,12334,12332,1
34,1973579,12333,12334,1
35,2022911,12333,12333,1
36,2072243,12333,12333,1
37,2121575,12333,12333,1
38,2170907,12333,12333,1
39,2220239,12333,12333,1
40,2269571,12332,12333,1
41,2318907,12334,12332,1
42,2368239,12333,12334,1
43,2417571,12333,12333,1
44,2466903,12333,12333,1
45,2516235,12333,12333,1
46,2565567,12333,12333,1
47,2614899,12333,12333,1
48,2664231,12332,12333,1
49,2713567,12334,12332,1
50,2762899,12333,12334,1
51,2812231,12333,12333,1
52,2861563,12333,12333,1
53,2910895,12333,12333,1
54,2960227,12333,12333,1
55,3009559,12333,12333,1
56,3058891,12332,12333,1
57,3108227,12334,12332,1
58,3157559,12333,12334,1
59,3206891,12333,12333,1
60,3256223,12333,12333,1
61,3305555,12333,12333,1
62,3354887,12333,12333,1
63,3404219,12333,12333,1
64,3453551,12332,12333,1
65,3502887,12334,12332,1
66,3552219,12333,12334,1
67,3601551,12333,12333,1
68,3650883,12333,12333,1
69,3700215,12333,12333,1
70,3749547,12333,12333,1
71,3798879,12333,12333,1
72,3848211,12332,12333,1
73,3897547,12334,12332,1
74,3946879,12333,12334,1
75,3996211,12333,12333,1
76,4045543,12333,12333,1
77,4094875,12333,12333,1
78,4144207,12333,12333,1
79,4193539,12333,12333,1
80,4242871,12333,12333,1
81,4292203,12332,12333,1
82,4341539,12334,12332,1
83,4390871,12333,12334,1
84,4440203,12333,12333,1
85,4489535,12333,12333,1
86,4538867,12333,12333,1
87,4588199,12333,12333,1
88,4637531,12333,12333,1
89,4686863,12332,12333,1
90,4736199,12334,12332,1
91,4785531,12333,12334,1
92,4834863,12333,12333,1
93,4884195,12333,12333,1
94,4933527,12333,12333,1
95,4982859,12333,12333,1
96,5032191,12333,12333,1
97,5081523,12332,12333,1
98,5130859,12334,12332,1
99,5180191,12333,12334,1
100,5229523,12333,12333,1
101,5278855,12333,12333,1
102,5328187,12333,12333,1
103,5377519,12333,12333,1
104,5426851,12333,12333,1
105,5476183,12332,12333,1
106,5525519,12334,12332,1
107,5574851,12333,12334,1
108,5624183,12333,12333,1
109,5673515,12333,12333,1
110,5722847,12333,12333,1
111,5772179,12333,12333,1
112,5821511,12333,12333,1
113,5870843,12332,12333,1
114,5920179,12334,12332,1
115,5969511,12333,12334,1
116,6018843,12333,12333,1
117,6068175,12333,12333,1
118,6117507,12333,12333,1
119,6166839,12333,12333,1
120,6216171,12333,12333,1
121,6265503,12332,12333,1
122,6314839,12334,12332,1
123,6364171,12333,12334,1
124,6413503,12333,12333,1
125,6462835,12333,12333,1
126,6512167,12333,12333,1
127,6561499,12333,12333,1
128,6610831,12333,12333,1
129,6660163,12332,12333,1
130,6709499,12334,12332,1
131,6758831,12333,12334,1
132,6808163,12333,12333,1
133,6857495,12333,12333,1
134,6906827,12333,12333,1
135,6956159,12333,12333,1
136,7005491,12333,12333,1
137,7054823,12332,12333,1
138,7104159,12334,12332,1
139,7153491,12333,12334,1
140,7202823,12333,12333,1
141,7252155,12333,12333,1
142,7301487,12333,12333,1
143,7350819,12333,12333,1
144,7400151,12333,12333,1
145,7449483,12333,12333,1
146,7498815,12332,12333,1
147,7548151,12334,12332,1
148,7597483,12333,12334,1
149,7646815,12333,12333,1
150,7696147,12333,12333,1
151,7745479,12333,12333,1
152,7794811,12333,12333,1
153,7844143,12333,12333,1
154,7893475,12332,12333,1
155,7942811,12334,12332,1
156,7992143,12333,12334,1
157,8041475,12333,12333,1
158,8090807,12333,12333,1
159,8140139,12333,12333,1
160,8189471,12333,12333,1
161,8238803,12333,12333,1
162,8288135,12332,12333,1
163,8337471,12334,12332,1
164,8386803,12333,12334,1
165,8436135,12333,12333,1
166,8485467,12333,12333,1
167,8534799,12333,12333,1
168,8584131,12333,12333,1
169,8633463,12333,12333,1
170,8682795,12332,12333,1
171,8732131,12334,12332,1
172,8781463,12333,12334,1
173,8830795,12333,12333,1
174,8880127,12333,12333,1
175,8929459,12333,12333,1
176,8978791,12333,12333,1
177,9028123,12333,12333,1
178,9077455,12332,12333,1
179,9126791,12334,12332,1
180,9176123,12333,12334,1
181,9225455,12333,12333,1
182,9274787,12333,12333,1
183,9324119,12333,12333,1
184,9373451,12333,12333,1
185,9422783,12333,12333,1
186,9472115,12332,12333,1
187,9521451,12334,12332,1
188,9570783,12333,12334,1
189,9620115,12333,12333,1
190,9669447,12333,12333,1
191,9718779,12333,12333,1
192,9768111,12333,12333,1
193,9817443,12333,12333,1
194,9866775,12332,12333,1
195,9916111,12334,12332,1
196,9965443,12333,12334,1
197,10014775,12333,12333,1
198,10064107,12333,12333,1
199,10113439,12333,12333,1
200,10162771,12333,12333,1
201,10212103,12333,12333,1
202,10261435,12332,12333,1
203,10310771,12334,12332,1
204,10360103,12333,12334,1
205,10409435,12333,12333,1
206,10458767,12333,12333,1
207,10508099,12333,12333,1
208,10557431,12333,12333,1
209,10606763,12333,12333,1
210,10656095,12332,12333,1
211,10705431,12334,12332,1
212,10754763,12333,12334,1
213,10804095,12333,12333,1
214,10853427,12333,12333,1
215,10902759,12333,12333,1
216,10952091,12333,12333,1
217,11001423,12333,12333,1
218,11050755,12332,12333,1
219,11100091,12334,12332,1
220,11149423,12333,12334,1
221,11198755,12333,12333,1
222,11248087,12333,12333,1
223,11297419,12333,12333,1
224,11346751,12333,12333,1
225,11396083,12333,12333,1
226,11445415,12333,12333,1
227,11494747,12332,12333,1
228,11544083,12334,12332,1
229,11593415,12333,12334,1
230,11642747,12333,12333,1
231,11692079,12333,12333,1
232,11741411,12333,12333,1
233,11790743,12333,12333,1
234,11840075,12333,12333,1
235,11889407,12332,12333,1
236,11938743,12334,12332,1
237,11988075,12333,12334,1
238,12037407,12333,12333,1
239,12086739,12333,12333,1
240,12136071,12333,12333,1
241,12185403,12333,12333,1
242,12234735,12333,12333,1
243,12284067,12332,12333,1
244,12333403,12334,12332,1
245,12382735,12333,12334,1
246,12432067,12333,12333,1
247,12481399,12333,12333,1
248,12530731,12333,12333,1
249,12580063,12333,12333,1
250,12629395,12333,12333,1
251,12678727,12332,12333,1
252,12728063,12334,12332,1
253,12777395,12333,12334,1
254,12826727,12333,12333,1
255,12876059,12333,12333,1
256,12925391,12333,12333,1
257,12974723,12333,12333,1
258,13024055,12333,12333,1
259,13073387,12332,12333,1
260,13122723,12334,12332,1
261,13172055,12333,12334,1
262,13221387,12333,12333,1
263,13270719,12333,12333,1
264,13320051,12333,12333,1
265,13369383,12333,12333,1
266,13418715,12333,12333,1
267,13468047,12332,12333,1
268,13517383,12334,12332,1
269,13566715,12333,12334,1
270,13616047,12333,12333,1
271,13665379,12333,12333,1
272,13714711,12333,12333,1
273,13764043,12333,12333,1
274,13813375,12333,12333,1
275,13862707,12332,12333,1
276,13912043,12334,12332,1
277,13961375,12333,12334,1
278,14010707,12333,12333,1
279,14060039,12333,12333,1
280,14109371,12333,12333,1
281,14158703,12333,12333,1
282,14208035,12333,12333,1
283,14257367,12332,12333,1
284,14306703,12334,12332,1
285,14356035,12333,12334,1
286,14405367,12333,12333,1
287,14454699,12333,12333,1
288,14504031,12333,12333,1
289,14553363,12333,12333,1
290,14602695,12333,12333,1
291,14652027,12332,12333,1
292,14701363,12334,12332,1
293,14750695,12333,12334,1
294,14800027,12333,12333,1
295,14849359,12333,12333,1
296,14898691,12333,12333,1
297,14948023,12333,12333,1
298,14997355,12333,12333,1
299,15046687,12333,12333,1
300,15096019,12332,12333,1
301,15145355,12334,12332,1
302,15194687,12333,12334,1
303,15244019,12333,12333,1
304,15293351,12333,12333,1
305,15342683,12333,12333,1
306,15392015,12333,12333,1
307,15441347,12333,12333,1
308,15490679,12332,12333,1
309,15540015,12334,12332,1
310,15589347,12333,12334,1
311,15638679,12333,12333,1
312,15688011,12333,12333,1
313,15737343,12333,12333,1
314,15786675,12333,12333,1
315,15836007,12333,12333,1
316,15885339,12332,12333,1
317,15934675,12334,12332,1
318,15984007,12333,12334,1
319,16033339,12333,12333,1
320,16082671,12333,12333,1
321,16132003,12333,12333,1
322,16181335,12333,12333,1
323,16230667,12333,12333,1
324,16279999,12332,12333,1
325,16329335,12334,12332,1
326,16378667,12333,12334,1
327,16427999,12333,12333,1
328,16477331,12333,12333,1
329,16526663,12333,12333,1
330,16575995,12333,12333,1
331,16625327,12333,12333,1
332,16674659,12332,12333,1
333,16723995,12334,12332,1
334,16773327,12333,12334,1
335,16822659,12333,12333,1
336,16871991,12333,12333,1
337,16921323,12333,12333,1
338,16970655,12333,12333,1
339,17019987,12333,12333,1
340,17069319,12332,12333,1
341,17118655,12334,12332,1
342,17167987,12333,12334,1
343,17217319,12333,12333,1
344,17266651,12333,12333,1
345,17315983,12333,12333,1
346,17365315,12333,12333,1
347,17414647,12333,12333,1
348,17463979,12332,12333,1
349,17513315,12334,12332,1
350,17562647,12333,12334,1
351,17611979,12333,12333,1
352,17661311,12333,12333,1
353,17710643,12333,12333,1
354,17759975,12333,12333,1
355,17809307,12333,12333,1
356,17858639,12332,12333,1
357,17907975,12334,12332,1
358,17957307,12333,12334,1
359,18006639,12333,12333,1
360,18055971,12333,12333,1
361,18105303,12333,12333,1
362,18154635,12333,12333,1
363,18203967,12333,12333,1
364,18253299,12332,12333,1
365,18302635,12334,12332,1
366,18351967,12333,12334,1
367,18401299,12333,12333,1
368,18450631,12333,12333,1
369,18499963,12333,12333,1
370,18549295,12333,12333,1
371,18598627,12333,12333,1
372,18647959,12333,12333,1
373,18697291,12332,12333,1
374,18746627,12334,12332,1
375,18795959,12333,12334,1
376,18845291,12333,12333,1
377,18894623,12333,12333,1
378,18943955,12333,12333,1
379,18993287,12333,12333,1
380,19042619,12333,12333,1
381,19091951,12332,12333,1
382,19141287,12334,12332,1
383,19190619,12333,12334,1
384,19239951,12333,12333,1
385,19289283,12333,12333,1
386,19338615,12333,12333,1
387,19387947,12333,12333,1
388,19437279,12333,12333,1
389,19486611,12332,12333,1
390,19535947,12334,12332,1
391,19585279,12333,12334,1
392,19634611,12333,12333,1
393,19683943,12333,12333,1
394,19733275,12333,12333,1
395,19782607,12333,12333,1
396,19831939,12333,12333,1
397,19881271,12332,12333,1
398,19930607,12334,12332,1
399,19979939,12333,12334,1
400,20029271,12333,12333,1
401,20078603,12333,12333,1
402,20127935,12333,12333,1
403,20177267,12333,12333,1
404,20226599,12333,12333,1
405,20275931,12332,12333,1
406,20325267,12334,12332,1
407,20374599,12333,12334,1
408,20423931,12333,12333,1
409,20473263,12333,12333,1
410,20522595,12333,12333,1
411,20571927,12333,12333,1
412,20621259,12333,12333,1
413,20670591,12332,12333,1
414,20719927,12334,12332,1
415,20769259,12333,12334,1
416,20818591,12333,12333,1
417,20867923,12333,12333,1
418,20917255,12333,12333,1
419,20966587,12333,12333,1
420,21015919,12333,12333,1
421,21065251,12332,12333,1
422,21114096,12334,12332,1
423,21114096,12333,12334,1
