# n,sidx,vpops_in_interval,rtl_period,locked
0,197579,49324,0,0
1,345579,36998,16383,0
2,444247,24666,16383,0
3,542915,24666,16383,0
4,641583,24666,16383,0
5,740251,24666,16383,0
6,838919,24666,16383,0
7,937587,24666,16383,0
8,1036259,24667,16383,1
9,1085591,12332,16383,1
10,1134927,12333,12332,1
11,1184263,12333,12333,1
12,1233599,12333,12333,1
13,1282935,12333,12333,1
14,1332271,12333,12333,1
15,1381607,12333,12333,1
16,1430943,12333,12333,1
17,1480279,12333,12333,1
18,1529615,12333,12333,1
19,1578951,12333,12333,1
20,1628287,12333,12333,1
21,1677623,12333,12333,1
22,1726959,12333,12333,1
23,1776295,12333,12333,1
24,1825631,12333,12333,1
25,1874967,12334,12333,1
26,1924299,12332,12334,1
27,1973635,12334,12332,1
28,2022967,12332,12334,1
29,2072303,12334,12332,1
30,2121635,12332,12334,1
31,2170971,12334,12332,1
32,2220303,12332,12334,1
33,2269639,12334,12332,1
34,2318971,12332,12334,1
35,2368307,12334,12332,1
36,2417639,12332,12334,1
37,2466975,12334,12332,1
38,2516307,12332,12334,1
39,2565643,12334,12332,1
40,2614975,12332,12334,1
41,2664311,12334,12332,1
42,2713643,12332,12334,1
43,2762979,12334,12332,1
44,2812311,12332,12334,1
45,2861647,12334,12332,1
46,2910979,12332,12334,1
47,2960315,12334,12332,1
48,3009647,12332,12334,1
49,3058983,12334,12332,1
50,3108315,12332,12334,1
51,3157651,12334,12332,1
52,3206983,12332,12334,1
53,3256319,12334,12332,1
54,3305651,12332,12334,1
55,3354987,12334,12332,1
56,3404319,12332,12334,1
57,3453655,12334,12332,1
58,3502987,12332,12334,1
59,3552323,12334,12332,1
60,3601655,12332,12334,1
61,3650991,12334,12332,1
62,3700323,12332,12334,1
63,3749659,12334,12332,1
64,3798991,12333,12334,1
65,3848323,12332,12333,1
66,3897659,12334,12332,1
67,3946991,12332,12334,1
68,3996327,12334,12332,1
69,4045659,12332,12334,1
70,4094995,12334,12332,1
71,4144327,12332,12334,1
72,4193663,12334,12332,1
73,4242995,12332,12334,1
74,4292331,12334,12332,1
75,4341663,12332,12334,1
76,4390999,12334,12332,1
77,4440331,12332,12334,1
78,4489667,12334,12332,1
79,4538999,12332,12334,1
80,4588335,12334,12332,1
81,4637667,12332,12334,1
82,4687003,12334,12332,1
83,4736335,12332,12334,1
84,4785671,12334,12332,1
85,4835003,12332,12334,1
86,4884339,12334,12332,1
87,4933671,12332,12334,1
88,4983007,12334,12332,1
89,5032339,12332,12334,1
90,5081675,12334,12332,1
91,5131007,12332,12334,1
92,5180343,12334,12332,1
93,5229675,12332,12334,1
94,5279011,12334,12332,1
95,5328343,12332,12334,1
96,5377679,12334,12332,1
97,5427011,12332,12334,1
98,5476347,12334,12332,1
99,5525679,12332,12334,1
100,5575015,12334,12332,1
101,5624347,12332,12334,1
102,5673683,12334,12332,1
103,5723015,12332,12334,1
104,5772351,12334,12332,1
105,5821683,12332,12334,1
106,5871019,12334,12332,1
107,5920351,12332,12334,1
108,5969687,12334,12332,1
109,6019019,12332,12334,1
110,6068355,12334,12332,1
111,6117687,12332,12334,1
112,6167023,12334,12332,1
113,6216355,12332,12334,1
114,6265691,12334,12332,1
115,6315023,12332,12334,1
116,6364359,12334,12332,1
117,6413691,12332,12334,1
118,6463027,12334,12332,1
119,6512359,12332,12334,1
120,6561695,12334,12332,1
121,6611027,12332,12334,1
122,6660363,12334,12332,1
123,6709695,12332,12334,1
124,6759031,12334,12332,1
125,6836619,19396,12334,1
126,6907031,17603,16383,1
127,6956363,12332,16383,1
128,7005699,12333,12332,1
129,7055035,12334,12333,1
130,7104367,12332,12334,1
131,7153703,12334,12332,1
132,7203035,12332,12334,1
133,7252371,12334,12332,1
134,7301703,12332,12334,1
135,7351039,12334,12332,1
136,7400371,12332,12334,1
137,7449707,12334,12332,1
