# ev,win,rel,sidx,beat,occ,vpush,vpop,popEmpty,pushFull,rhPhase,rhOutI,rhOutQ,rhValidOut,cfcI,cfcQ,cfcV,cfcEst,csI,csQ,csV,pdI,pdQ,pdV,corrV,corrD,corrThr,psRunmax,psTref,psTrefRaw,psToff,psNewpk,toffVal,taRef,taAcc,taArmed,taSync,pcI,pcQ,pcV,pcStart,pcEnd,sdcAct,r3sSkips,r3sArmed,guard
# win=1 the event window; win=0 the SAME intra-frame phase one air frame (49332 enb beats) earlier, i.e. a matched no-event reference
0,0,-96,6462601,6462600,23,1,0,0,0,3,11904,-12068,0,0,0,0,2097142,-11883,-11840,1,11793,-11599,0,0,0,191501818,0,12137,12137,12180,0,0,12148,12180,1,0,-11659,-11658,0,0,0,1,7,0,0
0,0,-95,6462602,6462601,24,0,1,0,0,0,11904,-12068,1,-16498,-1421,1,2097142,0,0,0,11793,-11599,0,0,0,191501818,0,12137,12137,12180,0,0,12149,12180,1,0,-11659,-11658,1,0,0,1,7,0,0
0,0,-94,6462603,6462602,23,0,0,0,0,1,11904,-12068,0,0,0,0,2097142,0,0,0,11793,-11599,1,0,0,191501818,0,12137,12137,12180,0,0,12149,12180,1,0,-11659,-11658,0,0,0,1,7,0,0
0,0,-93,6462604,6462603,23,0,0,0,0,2,-11740,12064,0,0,0,0,2097142,0,0,0,11793,-11599,0,1,11984464,206464626,0,12137,12137,12180,0,0,12149,12180,1,0,11749,-11597,0,0,0,1,7,0,0
0,0,-92,6462605,6462604,23,1,0,0,0,3,-11740,12064,0,0,0,0,2097142,12108,11870,1,11591,11783,0,0,0,190740332,0,12138,12138,12180,0,0,12149,12180,1,0,11749,-11597,0,0,0,1,7,0,0
0,0,-91,6462606,6462605,24,0,1,0,0,0,-11740,12064,1,2008,-16981,1,2097142,0,0,0,11591,11783,0,0,0,190740332,0,12138,12138,12180,0,0,12150,12180,1,0,11749,-11597,1,0,0,1,7,0,0
0,0,-90,6462607,6462606,23,0,0,0,0,1,-11740,12064,0,0,0,0,2097142,0,0,0,11591,11783,1,0,0,190740332,0,12138,12138,12180,0,0,12150,12180,1,0,11749,-11597,0,0,0,1,7,0,0
0,0,-89,6462608,6462607,23,0,0,0,0,2,-11584,-11784,0,0,0,0,2097142,0,0,0,11591,11783,0,1,3888809,206205982,0,12138,12138,12180,0,0,12150,12180,1,0,-11741,11635,0,0,0,1,7,0,0
0,0,-88,6462609,6462608,23,1,0,0,0,3,-11584,-11784,0,0,0,0,2097142,-11946,11487,1,11712,11560,0,0,0,190020883,0,12139,12139,12180,0,0,12150,12180,1,0,-11741,11635,0,0,0,1,7,0,0
0,0,-87,6462610,6462609,24,0,1,0,0,0,-11584,-11784,1,-1917,17086,1,2097142,0,0,0,11712,11560,0,0,0,190020883,0,12139,12139,12180,0,0,12151,12180,1,0,-11741,11635,1,0,0,1,7,0,0
0,0,-86,6462611,6462610,23,0,0,0,0,1,-11584,-11784,0,0,0,0,2097142,0,0,0,11712,11560,1,0,0,190020883,0,12139,12139,12180,0,0,12151,12180,1,0,-11741,11635,0,0,0,1,7,0,0
0,0,-85,6462612,6462611,23,0,0,0,0,2,-11604,-11496,0,0,0,0,2097142,0,0,0,11712,11560,0,1,5474389,206075960,0,12139,12139,12180,0,0,12151,12180,1,0,-11450,11571,0,0,0,1,7,0,0
0,0,-84,6462613,6462612,23,1,0,0,0,3,-11604,-11496,0,0,0,0,2097142,-11437,11975,1,-11764,-11677,0,0,0,190064638,0,12140,12140,12180,0,0,12151,12180,1,0,-11450,11571,0,0,0,1,7,0,0
0,0,-83,6462614,6462613,24,0,1,0,0,0,-11604,-11496,1,1962,-17142,1,2097142,0,0,0,-11764,-11677,0,0,0,190064638,0,12140,12140,12180,0,0,12152,12180,1,0,-11450,11571,1,0,0,1,7,0,0
0,0,-82,6462615,6462614,23,0,0,0,0,1,-11604,-11496,0,0,0,0,2097142,0,0,0,-11764,-11677,1,0,0,190064638,0,12140,12140,12180,0,0,12152,12180,1,0,-11450,11571,0,0,0,1,7,0,0
0,0,-81,6462616,6462615,23,0,0,0,0,2,-11628,-11688,0,0,0,0,2097142,0,0,0,-11764,-11677,0,1,2070562,205926113,0,12140,12140,12180,0,0,12152,12180,1,0,-11593,11557,0,0,0,1,7,0,0
0,0,-80,6462617,6462616,23,1,0,0,0,3,-11628,-11688,0,0,0,0,2097142,-11985,-12197,1,-11579,-11634,0,0,0,190085186,0,12141,12141,12180,0,0,12152,12180,1,0,-11593,11557,0,0,0,1,7,0,0
0,0,-79,6462618,6462617,24,0,1,0,0,0,-11628,-11688,1,-2055,16928,1,2097142,0,0,0,-11579,-11634,0,0,0,190085186,0,12141,12141,12180,0,0,12153,12180,1,0,-11593,11557,1,0,0,1,7,0,0
0,0,-78,6462619,6462618,23,0,0,0,0,1,-11628,-11688,0,0,0,0,2097142,0,0,0,-11579,-11634,1,0,0,190085186,0,12141,12141,12180,0,0,12153,12180,1,0,-11593,11557,0,0,0,1,7,0,0
0,0,-77,6462620,6462619,23,0,0,0,0,2,-11572,-11556,0,0,0,0,2097142,0,0,0,-11579,-11634,0,1,383165,206499418,0,12141,12141,12180,0,0,12153,12180,1,0,11704,11546,0,0,0,1,7,0,0
0,0,-76,6462621,6462620,23,1,0,0,0,3,-11572,-11556,0,0,0,0,2097142,12128,12186,1,-11663,11724,0,0,0,190303615,0,12142,12142,12180,0,0,12153,12180,1,0,11704,11546,0,0,0,1,7,0,0
0,0,-75,6462622,6462621,24,0,1,0,0,0,-11572,-11556,1,16648,1377,1,2097142,0,0,0,-11663,11724,0,0,0,190303615,0,12142,12142,12180,0,0,12154,12180,1,0,11704,11546,1,0,0,1,7,0,0
0,0,-74,6462623,6462622,23,0,0,0,0,1,-11572,-11556,0,0,0,0,2097142,0,0,0,-11663,11724,1,0,0,190303615,0,12142,12142,12180,0,0,12154,12180,1,0,11704,11546,0,0,0,1,7,0,0
0,0,-73,6462624,6462623,23,0,0,0,0,2,-11804,-11804,0,0,0,0,2097142,0,0,0,-11663,11724,0,1,6887898,206509281,0,12142,12142,12180,0,0,12154,12180,1,0,-11653,-11696,0,0,0,1,7,0,0
0,0,-72,6462625,6462624,23,1,0,0,0,3,-11804,-11804,0,0,0,0,2097142,-12176,-12225,1,-11564,-11723,0,0,0,190840132,0,12143,12143,12180,0,0,12154,12180,1,0,-11653,-11696,0,0,0,1,7,0,0
0,0,-71,6462626,6462625,24,0,1,0,0,0,-11804,-11804,1,-1908,16503,1,2097142,0,0,0,-11564,-11723,0,0,0,190840132,0,12143,12143,12180,0,0,12155,12180,1,0,-11653,-11696,1,0,0,1,7,0,0
0,0,-70,6462627,6462626,23,0,0,0,0,1,-11804,-11804,0,0,0,0,2097142,0,0,0,-11564,-11723,1,0,0,190840132,0,12143,12143,12180,0,0,12155,12180,1,0,-11653,-11696,0,0,0,1,7,0,0
0,0,-69,6462628,6462627,23,0,0,0,0,2,11784,11784,0,0,0,0,2097142,0,0,0,-11564,-11723,0,1,2049290,207386408,0,12143,12143,12180,0,0,12155,12180,1,0,-11527,-11493,0,0,0,1,7,0,0
0,0,-68,6462629,6462628,23,1,0,0,0,3,11784,11784,0,0,0,0,2097142,11904,12209,1,-11658,-11613,0,0,0,191156259,0,12144,12144,12180,0,0,12155,12180,1,0,-11527,-11493,0,0,0,1,7,0,0
0,0,-67,6462630,6462629,24,0,1,0,0,0,11784,11784,1,-2025,16403,1,2097142,0,0,0,-11658,-11613,0,0,0,191156259,0,12144,12144,12180,0,0,12156,12180,1,0,-11527,-11493,1,0,0,1,7,0,0
