# n,sidx,vpops_in_interval,rtl_period,locked
0,148259,37056,0,0
1,197591,12333,16383,0
2,246923,12333,12333,0
3,296255,12333,12333,0
4,345587,12333,12333,0
5,394919,12333,12333,0
6,444251,12333,12333,0
7,493583,12333,12333,0
8,542915,12332,12333,1
9,592251,12333,12332,1
10,641587,12333,12333,1
11,690923,12333,12333,1
12,740259,12333,12333,1
13,789595,12333,12333,1
14,838931,12334,12333,1
15,888263,12333,12334,1
16,937595,12333,12333,1
17,986927,12333,12333,1
18,1036259,12333,12333,1
19,1085591,12332,12333,1
20,1134927,12334,12332,1
21,1184259,12333,12334,1
22,1233591,12333,12333,1
23,1282923,12333,12333,1
24,1332255,12333,12333,1
25,1381587,12333,12333,1
26,1430919,12333,12333,1
27,1480251,12332,12333,1
28,1529587,12334,12332,1
29,1578919,12333,12334,1
30,1628251,12333,12333,1
31,1677583,12333,12333,1
32,1726915,12333,12333,1
33,1776247,12333,12333,1
34,1825579,12333,12333,1
35,1874911,12332,12333,1
36,1924247,12334,12332,1
37,1973579,12333,12334,1
38,2022911,12333,12333,1
39,2072243,12333,12333,1
40,2121575,12333,12333,1
41,2170907,12333,12333,1
42,2220239,12333,12333,1
43,2269571,12332,12333,1
44,2318907,12334,12332,1
45,2368239,12333,12334,1
46,2417571,12333,12333,1
47,2466903,12333,12333,1
48,2516235,12333,12333,1
49,2565567,12333,12333,1
50,2614899,12333,12333,1
51,2664231,12332,12333,1
52,2713567,12334,12332,1
53,2762899,12333,12334,1
54,2812231,12333,12333,1
55,2861563,12333,12333,1
56,2910895,12333,12333,1
57,2960227,12333,12333,1
58,3009559,12333,12333,1
59,3058891,12332,12333,1
60,3108227,12334,12332,1
61,3157559,12333,12334,1
62,3206891,12333,12333,1
63,3256223,12333,12333,1
64,3305555,12333,12333,1
65,3354887,12333,12333,1
66,3404219,12333,12333,1
67,3453551,12332,12333,1
68,3502887,12334,12332,1
69,3552219,12333,12334,1
70,3601551,12333,12333,1
71,3650883,12333,12333,1
72,3700215,12333,12333,1
73,3749547,12333,12333,1
74,3798879,12333,12333,1
75,3848211,12332,12333,1
76,3897547,12334,12332,1
77,3946879,12333,12334,1
78,3996211,12333,12333,1
79,4045543,12333,12333,1
80,4094875,12333,12333,1
81,4144207,12333,12333,1
82,4193539,12333,12333,1
83,4242871,12333,12333,1
84,4292203,12332,12333,1
85,4341539,12334,12332,1
86,4390871,12333,12334,1
87,4440203,12333,12333,1
88,4489535,12333,12333,1
89,4538867,12333,12333,1
90,4588199,12333,12333,1
91,4637531,12333,12333,1
92,4686863,12332,12333,1
93,4736199,12334,12332,1
94,4785531,12333,12334,1
95,4834863,12333,12333,1
96,4884195,12333,12333,1
97,4933527,12333,12333,1
98,4982859,12333,12333,1
99,5032191,12333,12333,1
100,5081523,12332,12333,1
101,5130859,12334,12332,1
102,5180191,12333,12334,1
103,5229523,12333,12333,1
104,5278855,12333,12333,1
105,5328187,12333,12333,1
106,5377519,12333,12333,1
107,5426851,12333,12333,1
108,5476183,12332,12333,1
109,5525519,12334,12332,1
110,5574851,12333,12334,1
111,5624183,12333,12333,1
112,5673515,12333,12333,1
113,5722847,12333,12333,1
114,5772179,12333,12333,1
115,5821511,12333,12333,1
116,5870843,12332,12333,1
117,5920179,12334,12332,1
118,5969511,12333,12334,1
119,6018843,12333,12333,1
120,6068175,12333,12333,1
121,6117507,12333,12333,1
122,6166839,12333,12333,1
123,6216171,12333,12333,1
124,6265503,12332,12333,1
125,6314839,12334,12332,1
126,6364171,12333,12334,1
127,6413503,12333,12333,1
128,6462835,12333,12333,1
129,6512167,12333,12333,1
130,6561499,12333,12333,1
131,6610831,12333,12333,1
132,6660163,12332,12333,1
133,6709499,12334,12332,1
134,6758831,12333,12334,1
135,6808163,12333,12333,1
136,6857495,12333,12333,1
137,6906827,12333,12333,1
138,6956159,12333,12333,1
139,7005491,12333,12333,1
140,7054823,12332,12333,1
141,7104159,12334,12332,1
142,7153491,12333,12334,1
143,7202823,12333,12333,1
144,7252155,12333,12333,1
145,7301487,12333,12333,1
146,7350819,12333,12333,1
147,7400151,12333,12333,1
148,7449483,12333,12333,1
149,7498815,12332,12333,1
150,7548151,12334,12332,1
151,7597483,12333,12334,1
152,7646815,12333,12333,1
153,7696147,12333,12333,1
154,7745479,12333,12333,1
155,7794811,12333,12333,1
156,7844143,12333,12333,1
157,7893475,12332,12333,1
158,7942811,12334,12332,1
159,7992143,12333,12334,1
160,8041475,12333,12333,1
161,8090807,12333,12333,1
162,8139780,12333,12333,1
163,8139780,12333,12333,1
