# n,sidx,vpops_in_interval,rtl_period,locked
0,197575,49351,0,0
1,247031,12364,16383,0
2,296363,12333,12364,0
3,345695,12333,12333,0
4,395027,12333,12333,0
5,444359,12333,12333,0
6,493691,12333,12333,0
7,543023,12333,12333,0
8,592355,12333,12333,1
9,641687,12333,12333,1
10,691019,12333,12333,1
11,740347,12332,12333,1
12,789675,12332,12332,1
13,839003,12332,12332,1
14,888331,12332,12332,1
15,937659,12332,12332,1
16,986987,12332,12332,1
17,1036315,12332,12332,1
18,1085647,12333,12332,1
19,1134979,12333,12333,1
20,1184311,12333,12333,1
21,1233300,12333,12333,1
22,1233300,12333,12333,1
