# ev,win,rel,sidx,beat,occ,vpush,vpop,popEmpty,pushFull,rhPhase,rhOutI,rhOutQ,rhValidOut,cfcI,cfcQ,cfcV,cfcEst,csI,csQ,csV,pdI,pdQ,pdV,corrV,corrD,corrThr,psRunmax,psTref,psTrefRaw,psToff,psNewpk,toffVal,taRef,taAcc,taArmed,taSync,pcI,pcQ,pcV,pcStart,pcEnd,sdcAct,r3sSkips,r3sArmed,guard
# win=1 the event window; win=0 the SAME intra-frame phase one air frame (49332 enb beats) earlier, i.e. a matched no-event reference
0,0,-64,12777427,12777426,0,0,0,0,0,1,-11744,-11780,0,0,0,0,2097143,0,0,0,11711,11720,1,0,0,190809912,0,37,37,55,0,0,49,55,1,0,0,0,0,0,0,0,0,0,1
0,0,-63,12777428,12777427,0,0,0,0,0,2,12072,-11600,0,0,0,0,2097143,0,0,0,11711,11720,0,1,5398144,205997291,0,37,37,55,0,0,49,55,1,0,0,0,0,0,0,0,0,0,1
0,0,-62,12777429,12777428,0,1,0,0,0,3,12072,-11600,0,0,0,0,2097143,-11552,11940,1,11813,11785,0,0,0,190231667,0,38,38,55,0,0,49,55,1,0,0,0,0,0,0,0,0,0,1
0,0,-61,12777430,12777429,1,0,1,0,0,0,12072,-11600,1,14193,9111,1,2097143,0,0,0,11813,11785,0,0,0,190231667,0,38,38,55,0,0,50,55,1,0,0,0,0,0,0,0,0,0,1
0,0,-60,12777431,12777430,0,0,0,0,0,1,-11840,-11848,0,0,0,0,2097143,0,0,0,11813,11785,1,0,0,190231667,0,38,38,55,0,0,50,55,1,0,0,0,0,0,0,0,0,0,1
0,0,-59,12777432,12777431,0,0,0,0,0,2,-12072,-11616,0,0,0,0,2097143,0,0,0,11813,11785,0,1,33466754,205456591,0,38,38,55,0,0,50,55,1,0,0,0,0,0,0,0,0,0,1
0,0,-58,12777433,12777432,0,1,0,0,0,3,-12072,-11616,0,0,0,0,2097143,-11545,11604,1,-11654,-11645,0,0,0,189565381,0,39,39,55,0,0,50,55,1,0,0,0,0,0,0,0,0,0,1
0,0,-57,12777434,12777433,1,0,1,0,0,0,-12072,-11616,1,-14123,-9092,1,2097143,0,0,0,-11654,-11645,0,0,0,189565381,0,39,39,55,0,0,51,55,1,0,0,0,0,0,0,0,0,0,1
0,0,-56,12777435,12777434,0,0,0,0,0,1,11916,11960,0,0,0,0,2097143,0,0,0,-11654,-11645,1,0,0,189565381,0,39,39,55,0,0,51,55,1,0,0,0,0,0,0,0,0,0,1
0,0,-55,12777436,12777435,0,0,0,0,0,2,12000,-11560,0,0,0,0,2097143,0,0,0,-11654,-11645,0,1,509796,205484712,0,39,39,55,0,0,51,55,1,0,0,0,0,0,0,0,0,0,1
0,0,-54,12777437,12777436,0,1,0,0,0,3,12000,-11560,0,0,0,0,2097143,-11748,-11766,1,-11861,-11950,0,0,0,189560973,0,40,40,55,0,0,51,55,1,0,0,0,0,0,0,0,0,0,1
0,0,-53,12777438,12777437,1,0,1,0,0,0,12000,-11560,1,-8570,14267,1,2097143,0,0,0,-11861,-11950,0,0,0,189560973,0,40,40,55,0,0,52,55,1,0,0,0,0,0,0,0,0,0,1
0,0,-52,12777439,12777438,0,0,0,0,0,1,-11952,-11952,0,0,0,0,2097143,0,0,0,-11861,-11950,1,0,0,189560973,0,40,40,55,0,0,52,55,1,0,0,0,0,0,0,0,0,0,1
0,0,-51,12777440,12777439,0,0,0,0,0,2,-11964,-11576,0,0,0,0,2097143,0,0,0,-11861,-11950,0,1,434282,205984191,0,40,40,55,0,0,52,55,1,0,0,0,0,0,0,0,0,0,1
0,0,-50,12777441,12777440,0,1,0,0,0,3,-11964,-11576,0,0,0,0,2097143,12049,-11802,1,12042,12012,0,0,0,189554936,0,41,41,55,0,0,52,55,1,0,0,0,0,0,0,0,0,0,1
0,0,-49,12777442,12777441,1,0,1,0,0,0,-11964,-11576,1,-14133,-9012,1,2097143,0,0,0,12042,12012,0,0,0,189554936,0,41,41,55,0,0,53,55,1,0,0,0,0,0,0,0,0,0,1
0,0,-48,12777443,12777442,0,0,0,0,0,1,11872,11956,0,0,0,0,2097143,0,0,0,12042,12012,1,0,0,189554936,0,41,41,55,0,0,53,55,1,0,0,0,0,0,0,0,0,0,1
0,0,-47,12777444,12777443,0,0,0,0,0,2,11844,-11636,0,0,0,0,2097143,0,0,0,12042,12012,0,1,1967056,206977989,0,41,41,55,0,0,53,55,1,0,0,0,0,0,0,0,0,0,1
0,0,-46,12777445,12777444,0,1,0,0,0,3,11844,-11636,0,0,0,0,2097143,-12002,11751,1,-12016,-12086,0,0,0,190452353,0,42,42,55,0,0,53,55,1,0,0,0,0,0,0,0,0,0,1
0,0,-45,12777446,12777445,1,0,1,0,0,0,11844,-11636,1,9085,-13807,1,2097143,0,0,0,-12016,-12086,0,0,0,190452353,0,42,42,55,0,0,54,55,1,0,0,0,0,0,0,0,0,0,1
0,0,-44,12777447,12777446,0,0,0,0,0,1,11488,-11900,0,0,0,0,2097143,0,0,0,-12016,-12086,1,0,0,190452353,0,42,42,55,0,0,54,55,1,0,0,0,0,0,0,0,0,0,1
0,0,-43,12777448,12777447,0,0,0,0,0,2,11732,-11576,0,0,0,0,2097143,0,0,0,-12016,-12086,0,1,3655748,207418706,0,42,42,55,0,0,54,55,1,0,0,0,0,0,0,0,0,0,1
0,0,-42,12777449,12777448,0,1,0,0,0,3,11732,-11576,0,0,0,0,2097143,11989,11542,1,12067,12107,0,0,0,190822431,0,43,43,55,0,0,54,55,1,0,0,0,0,0,0,0,0,0,1
0,0,-41,12777450,12777449,1,0,1,0,0,0,11732,-11576,1,-14151,-8926,1,2097143,0,0,0,12067,12107,0,0,0,190822431,0,43,43,55,0,0,55,55,1,0,0,0,0,0,0,0,0,0,1
0,0,-40,12777451,12777450,0,0,0,0,0,1,11672,-11652,0,0,0,0,2097143,0,0,0,12067,12107,1,0,0,190822431,0,43,43,55,0,0,55,55,1,0,0,0,0,0,0,0,0,0,1
0,0,-39,12777452,12777451,0,0,0,0,0,2,-11928,-11740,0,0,0,0,2097143,0,0,0,12067,12107,0,1,446240,207643187,0,43,43,55,0,0,55,55,1,0,0,0,0,0,0,0,0,0,1
0,0,-38,12777453,12777452,0,1,0,0,0,3,-11928,-11740,0,0,0,0,2097143,-11944,11760,1,-11912,-12058,0,0,0,191194802,0,44,44,55,0,0,55,55,1,0,0,0,0,0,0,0,0,0,1
0,0,-37,12777454,12777453,1,0,1,0,0,0,-11928,-11740,1,-8689,14285,1,2097143,0,0,0,-11912,-12058,0,0,0,191194802,0,44,44,55,0,0,56,55,1,1,0,0,0,0,0,0,0,0,1
0,0,-36,12777455,12777454,0,0,0,0,0,1,11512,11804,0,0,0,0,2097143,0,0,0,-11912,-12058,1,0,0,191194802,0,44,44,55,0,0,56,55,0,0,0,0,0,0,0,0,0,0,1
0,0,-35,12777456,12777455,0,0,0,0,0,2,11896,11772,0,0,0,0,2097143,0,0,0,-11912,-12058,0,1,10265620,207784730,0,44,44,55,0,0,56,55,0,0,0,0,0,0,0,0,0,0,1
0,0,-34,12777457,12777456,0,1,0,0,0,3,11896,11772,0,0,0,0,2097143,-11491,-11881,1,-11518,11863,0,0,0,191864831,0,45,45,55,0,0,56,55,0,0,0,0,0,0,0,0,0,0,1
0,0,-33,12777458,12777457,1,0,1,0,0,0,11896,11772,1,8789,-14322,1,2097143,0,0,0,-11518,11863,0,0,0,191864831,0,45,45,55,0,0,57,55,0,0,0,0,0,0,0,0,0,0,1
0,0,-32,12777459,12777458,0,0,0,0,0,1,11700,11596,0,0,0,0,2097143,0,0,0,-11518,11863,1,0,0,191864831,0,45,45,55,0,0,57,55,0,0,0,0,0,0,0,0,0,0,1
0,0,-31,12777460,12777459,0,0,0,0,0,2,-11820,11712,0,0,0,0,2097143,0,0,0,-11518,11863,0,1,402453,207822592,0,45,45,55,0,0,57,55,0,0,0,0,0,0,0,0,0,0,1
0,0,-30,12777461,12777460,0,1,0,0,0,3,-11820,11712,0,0,0,0,2097143,-11851,11810,1,-11807,11708,0,0,0,192368299,0,46,46,55,0,0,57,55,0,0,0,0,0,0,0,0,0,0,1
0,0,-29,12777462,12777461,1,0,1,0,0,0,-11820,11712,1,13985,9204,1,2097143,0,0,0,-11807,11708,0,0,0,192368299,0,46,46,55,0,0,58,55,0,0,0,0,0,0,0,0,0,0,1
0,0,-28,12777463,12777462,0,0,0,0,0,1,-11936,11792,0,0,0,0,2097143,0,0,0,-11807,11708,1,0,0,192368299,0,46,46,55,0,0,58,55,0,0,0,0,0,0,0,0,0,0,1
0,0,-27,12777464,12777463,0,0,0,0,0,2,-11744,-11688,0,0,0,0,2097143,0,0,0,-11807,11708,0,1,2022485,208114115,0,46,46,55,0,0,58,55,0,0,0,0,0,0,0,0,0,0,1
0,0,-26,12777465,12777464,0,1,0,0,0,3,-11744,-11688,0,0,0,0,2097143,12030,11612,1,11732,-11742,0,0,0,192168725,0,47,47,55,0,0,58,55,0,0,0,0,0,0,0,0,0,0,1
0,0,-25,12777466,12777465,1,0,1,0,0,0,-11744,-11688,1,8656,-14345,1,2097143,0,0,0,11732,-11742,0,0,0,192168725,0,47,47,55,0,0,59,55,0,0,0,0,0,0,0,0,0,0,1
0,0,-24,12777467,12777466,0,0,0,0,0,1,11652,-11684,0,0,0,0,2097143,0,0,0,11732,-11742,1,0,0,192168725,0,47,47,55,0,0,59,55,0,0,0,0,0,0,0,0,0,0,1
0,0,-23,12777468,12777467,0,0,0,0,0,2,11756,-11804,0,0,0,0,2097143,0,0,0,11732,-11742,0,1,409616,209071364,0,47,47,55,0,0,59,55,0,0,0,0,0,0,0,0,0,0,1
0,0,-22,12777469,12777468,0,1,0,0,0,3,11756,-11804,0,0,0,0,2097143,-12013,-11751,1,11967,-11884,0,0,0,192663894,0,48,48,55,0,0,59,55,0,0,0,0,0,0,0,0,0,0,1
0,0,-21,12777470,12777469,1,0,1,0,0,0,11756,-11804,1,13930,9142,1,2097143,0,0,0,11967,-11884,0,0,0,192663894,0,48,48,55,0,0,60,55,0,0,0,0,0,0,0,0,0,0,1
0,0,-20,12777471,12777470,0,0,0,0,0,1,11784,-11848,0,0,0,0,2097143,0,0,0,11967,-11884,1,0,0,192663894,0,48,48,55,0,0,60,55,0,0,0,0,0,0,0,0,0,0,1
0,0,-19,12777472,12777471,0,0,0,0,0,2,11576,11844,0,0,0,0,2097143,0,0,0,11967,-11884,0,1,2013593,209617924,0,48,48,55,0,0,60,55,0,0,0,0,0,0,0,0,0,0,1
0,0,-18,12777473,12777472,0,1,0,0,0,3,11576,11844,0,0,0,0,2097143,12061,-11610,1,-12005,11642,0,0,0,193344937,0,49,49,55,0,0,60,55,0,0,0,0,0,0,0,0,0,0,1
0,0,-17,12777474,12777473,1,0,1,0,0,0,11576,11844,1,8641,-14231,1,2097143,0,0,0,-12005,11642,0,0,0,193344937,0,49,49,55,0,0,61,55,0,0,0,0,0,0,0,0,0,0,1
0,0,-16,12777475,12777474,0,0,0,0,0,1,-11924,11948,0,0,0,0,2097143,0,0,0,-12005,11642,1,0,0,193344937,0,49,49,55,0,0,61,55,0,0,0,0,0,0,0,0,0,0,1
0,0,-15,12777476,12777475,0,0,0,0,0,2,11760,-11812,0,0,0,0,2097143,0,0,0,-12005,11642,0,1,5235700,209554370,0,49,49,55,0,0,61,55,0,0,0,0,0,0,0,0,0,0,1
0,0,-14,12777477,12777476,0,1,0,0,0,3,11760,-11812,0,0,0,0,2097143,-12069,-11622,1,11687,11523,0,0,0,193580163,0,50,50,55,0,0,61,55,0,0,0,0,0,0,0,0,0,0,1
0,0,-13,12777478,12777477,1,0,1,0,0,0,11760,-11812,1,13969,8974,1,2097143,0,0,0,11687,11523,0,0,0,193580163,0,50,50,55,0,0,62,55,0,0,0,0,0,0,0,0,0,0,1
0,0,-12,12777479,12777478,0,0,0,0,0,1,11932,-12000,0,0,0,0,2097143,0,0,0,11687,11523,1,0,0,193580163,0,50,50,55,0,0,62,55,0,0,0,0,0,0,0,0,0,0,1
0,0,-11,12777480,12777479,0,0,0,0,0,2,-11784,-11756,0,0,0,0,2097143,0,0,0,11687,11523,0,1,1983241,209993831,0,50,50,55,0,0,62,55,0,0,0,0,0,0,0,0,0,0,1
0,0,-10,12777481,12777480,0,1,0,0,0,3,-11784,-11756,0,0,0,0,2097143,12003,-11556,1,11487,11977,0,0,0,193788746,0,51,51,55,0,0,62,55,0,0,0,0,0,0,0,0,0,0,1
0,0,-9,12777482,12777481,1,0,1,0,0,0,-11784,-11756,1,13887,8878,1,2097143,0,0,0,11487,11977,0,0,0,193788746,0,51,51,55,0,0,63,55,0,0,0,0,0,0,0,0,0,0,1
0,0,-8,12777483,12777482,0,0,0,0,0,1,-12024,12000,0,0,0,0,2097143,0,0,0,11487,11977,1,0,0,193788746,0,51,51,55,0,0,63,55,0,0,0,0,0,0,0,0,0,0,1
0,0,-7,12777484,12777483,0,0,0,0,0,2,-11616,11792,0,0,0,0,2097143,0,0,0,11487,11977,0,1,391912,209860383,0,51,51,55,0,0,63,55,0,0,0,0,0,0,0,0,0,0,1
0,0,-6,12777485,12777484,0,1,0,0,0,3,-11616,11792,0,0,0,0,2097143,-11952,-11591,1,11846,-12023,0,0,0,194102621,0,52,52,55,0,0,63,55,0,0,0,0,0,0,0,0,0,0,1
0,0,-5,12777486,12777485,1,0,1,0,0,0,-11616,11792,1,8814,-14228,1,2097143,0,0,0,11846,-12023,0,0,0,194102621,0,52,52,55,0,0,64,55,0,0,0,0,0,0,0,0,0,0,1
0,0,-4,12777487,12777486,0,0,0,0,0,1,11940,-12032,0,0,0,0,2097143,0,0,0,11846,-12023,1,0,0,194102621,0,52,52,55,0,0,64,55,0,0,0,0,0,0,0,0,0,0,1
