# ev,win,rel,sidx,beat,occ,vpush,vpop,popEmpty,pushFull,rhPhase,rhOutI,rhOutQ,rhValidOut,cfcI,cfcQ,cfcV,cfcEst,csI,csQ,csV,pdI,pdQ,pdV,corrV,corrD,corrThr,psRunmax,psTref,psTrefRaw,psToff,psNewpk,toffVal,taRef,taAcc,taArmed,taSync,pcI,pcQ,pcV,pcStart,pcEnd,sdcAct,r3sSkips,r3sArmed,guard
# win=1 the event window; win=0 the SAME intra-frame phase one air frame (49332 enb beats) earlier, i.e. a matched no-event reference
0,0,-64,1973611,1973610,0,0,0,0,0,1,11496,12052,0,0,0,0,2097143,0,0,0,11720,11781,1,0,0,191604236,0,44,44,62,0,0,56,62,1,0,0,0,0,0,0,0,0,0,1
0,0,-63,1973612,1973611,0,0,0,0,0,2,11740,11852,0,0,0,0,2097143,0,0,0,11720,11781,0,1,5363514,206688872,0,44,44,62,0,0,56,62,1,0,0,0,0,0,0,0,0,0,1
0,0,-62,1973613,1973612,0,1,0,0,0,3,11740,11852,0,0,0,0,2097143,-11555,12050,1,11748,11739,0,0,0,190997445,0,45,45,62,0,0,56,62,1,0,0,0,0,0,0,0,0,0,1
0,0,-61,1973614,1973613,1,0,1,0,0,0,11740,11852,1,-12816,-10303,1,2097143,0,0,0,11748,11739,0,0,0,190997445,0,45,45,62,0,0,57,62,1,0,0,0,0,0,0,0,0,0,1
0,0,-60,1973615,1973614,0,0,0,0,0,1,11680,-12124,0,0,0,0,2097143,0,0,0,11748,11739,1,0,0,190997445,0,45,45,62,0,0,57,62,1,0,0,0,0,0,0,0,0,0,1
0,0,-59,1973616,1973615,0,0,0,0,0,2,-12020,11560,0,0,0,0,2097143,0,0,0,11748,11739,0,1,33652277,206066013,0,45,45,62,0,0,57,62,1,0,0,0,0,0,0,0,0,0,1
0,0,-58,1973617,1973616,0,1,0,0,0,3,-12020,11560,0,0,0,0,2097143,11936,11519,1,-11683,-11703,0,0,0,190055388,0,46,46,62,0,0,57,62,1,0,0,0,0,0,0,0,0,0,1
0,0,-57,1973618,1973617,1,0,1,0,0,0,-12020,11560,1,-13229,-10284,1,2097143,0,0,0,-11683,-11703,0,0,0,190055388,0,46,46,62,0,0,58,62,1,0,0,0,0,0,0,0,0,0,1
0,0,-56,1973619,1973618,0,0,0,0,0,1,11496,12112,0,0,0,0,2097143,0,0,0,-11683,-11703,1,0,0,190055388,0,46,46,62,0,0,58,62,1,0,0,0,0,0,0,0,0,0,1
0,0,-55,1973620,1973619,0,0,0,0,0,2,11872,11760,0,0,0,0,2097143,0,0,0,-11683,-11703,0,1,532900,205995306,0,46,46,62,0,0,58,62,1,0,0,0,0,0,0,0,0,0,1
0,0,-54,1973621,1973620,0,1,0,0,0,3,11872,11760,0,0,0,0,2097143,-11946,11693,1,-11805,-11853,0,0,0,190116291,0,47,47,62,0,0,58,62,1,0,0,0,0,0,0,0,0,0,1
0,0,-53,1973622,1973621,1,0,1,0,0,0,11872,11760,1,13387,10352,1,2097143,0,0,0,-11805,-11853,0,0,0,190116291,0,47,47,62,0,0,59,62,1,0,0,0,0,0,0,0,0,0,1
0,0,-52,1973623,1973622,0,0,0,0,0,1,11736,-12148,0,0,0,0,2097143,0,0,0,-11805,-11853,1,0,0,190116291,0,47,47,62,0,0,59,62,1,0,0,0,0,0,0,0,0,0,1
0,0,-51,1973624,1973623,0,0,0,0,0,2,11540,-11932,0,0,0,0,2097143,0,0,0,-11805,-11853,0,1,454292,206467325,0,47,47,62,0,0,59,62,1,0,0,0,0,0,0,0,0,0,1
0,0,-50,1973625,1973624,0,1,0,0,0,3,11540,-11932,0,0,0,0,2097143,-11504,-11750,1,11944,12022,0,0,0,189938936,0,48,48,62,0,0,59,62,1,0,0,0,0,0,0,0,0,0,1
0,0,-49,1973626,1973625,1,0,1,0,0,0,11540,-11932,1,-13241,-10283,1,2097143,0,0,0,11944,12022,0,0,0,189938936,0,48,48,62,0,0,60,62,1,0,0,0,0,0,0,0,0,0,1
0,0,-48,1973627,1973626,0,0,0,0,0,1,-11960,12048,0,0,0,0,2097143,0,0,0,11944,12022,1,0,0,189938936,0,48,48,62,0,0,60,62,1,0,0,0,0,0,0,0,0,0,1
0,0,-47,1973628,1973627,0,0,0,0,0,2,11620,-11508,0,0,0,0,2097143,0,0,0,11944,12022,0,1,1970810,207602350,0,48,48,62,0,0,60,62,1,0,0,0,0,0,0,0,0,0,1
0,0,-46,1973629,1973628,0,1,0,0,0,3,11620,-11508,0,0,0,0,2097143,-11916,-11781,1,-11975,-12055,0,0,0,190971519,0,49,49,62,0,0,60,62,1,0,0,0,0,0,0,0,0,0,1
0,0,-45,1973630,1973629,1,0,1,0,0,0,11620,-11508,1,-12841,-10147,1,2097143,0,0,0,-11975,-12055,0,0,0,190971519,0,49,49,62,0,0,61,62,1,0,0,0,0,0,0,0,0,0,1
0,0,-44,1973631,1973630,0,0,0,0,0,1,11848,-12024,0,0,0,0,2097143,0,0,0,-11975,-12055,1,0,0,190971519,0,49,49,62,0,0,61,62,1,0,0,0,0,0,0,0,0,0,1
0,0,-43,1973632,1973631,0,0,0,0,0,2,11644,-11792,0,0,0,0,2097143,0,0,0,-11975,-12055,0,1,3667229,208085154,0,49,49,62,0,0,61,62,1,0,0,0,0,0,0,0,0,0,1
0,0,-42,1973633,1973632,0,1,0,0,0,3,11644,-11792,0,0,0,0,2097143,12050,11880,1,11950,12083,0,0,0,191410079,0,50,50,62,0,0,61,62,1,0,0,0,0,0,0,0,0,0,1
0,0,-41,1973634,1973633,1,0,1,0,0,0,11644,-11792,1,-10303,13234,1,2097143,0,0,0,11950,12083,0,0,0,191410079,0,50,50,62,0,0,62,62,1,0,0,0,0,0,0,0,0,0,1
0,0,-40,1973635,1973634,0,0,0,0,0,1,11696,11836,0,0,0,0,2097143,0,0,0,11950,12083,1,0,0,191410079,0,50,50,62,0,0,62,62,1,0,0,0,0,0,0,0,0,0,1
0,0,-39,1973636,1973635,0,0,0,0,0,2,-11888,12024,0,0,0,0,2097143,0,0,0,11950,12083,0,1,443572,208395356,0,50,50,62,0,0,62,62,1,0,0,0,0,0,0,0,0,0,1
0,0,-38,1973637,1973636,0,1,0,0,0,3,-11888,12024,0,0,0,0,2097143,-11888,-11822,1,-11831,-12113,0,0,0,191743505,0,51,51,62,0,0,62,62,1,0,0,0,0,0,0,0,0,0,1
0,0,-37,1973638,1973637,1,0,1,0,0,0,-11888,12024,1,10398,-13244,1,2097143,0,0,0,-11831,-12113,0,0,0,191743505,0,51,51,62,0,0,63,62,1,1,0,0,0,0,0,0,0,0,1
0,0,-36,1973639,1973638,0,0,0,0,0,1,-11832,11708,0,0,0,0,2097143,0,0,0,-11831,-12113,1,0,0,191743505,0,51,51,62,0,0,63,62,0,0,0,0,0,0,0,0,0,0,1
