capture,off,rung,nF,medEVM,meanEVM,p90
evm_swap_A,0,float,50,4.0374,3.9896,4.3943
evm_swap_A,0,agc,50,3.0770,3.0825,3.2381
evm_swap_A,0,rrc,50,3.0760,3.0778,3.2153
evm_swap_A,0,ss,50,3.1054,3.1227,3.2467
evm_swap_A,0,cfc,50,3.1054,3.1270,3.2488
evm_swap_A,0,cs,50,3.1311,3.1593,3.3063
evm_swap_A,0,pa,48,3.1535,3.2320,3.5500
evm_swap_A,0,con,48,3.1406,3.1644,3.2827
evm_swap_A,80,float,50,3.6763,3.6372,4.1406
evm_swap_A,80,agc,50,2.8719,2.8836,3.0414
evm_swap_A,80,rrc,50,2.8614,2.8773,3.0348
evm_swap_A,80,ss,50,2.8974,2.9192,3.0672
evm_swap_A,80,cfc,50,2.9033,2.9198,3.0629
evm_swap_A,80,cs,50,2.9513,2.9572,3.1192
evm_swap_A,80,pa,48,2.9493,3.0363,3.4126
evm_swap_A,80,con,48,2.9478,2.9560,3.1052
evm_swap_B,0,float,50,2.5263,2.5715,2.8586
evm_swap_B,0,agc,52,3.4018,6.3029,8.6555
evm_swap_B,0,rrc,52,3.3788,6.2706,8.6486
evm_swap_B,0,ss,52,3.3895,6.2829,8.6720
evm_swap_B,0,cfc,52,3.3933,6.2838,8.6719
evm_swap_B,0,cs,52,3.3914,6.2864,8.6772
evm_swap_B,0,pa,50,3.4214,6.3958,8.9026
evm_swap_B,0,con,48,3.3596,3.9673,7.3014
evm_swap_B,80,float,50,2.7774,2.8027,3.0563
evm_swap_B,80,agc,50,3.6599,4.1026,4.7967
evm_swap_B,80,rrc,50,3.6084,4.0731,4.7679
evm_swap_B,80,ss,50,3.6372,4.0900,4.7721
evm_swap_B,80,cfc,50,3.6386,4.0909,4.7712
evm_swap_B,80,cs,50,3.6695,4.1052,4.8253
evm_swap_B,80,pa,48,3.7979,4.2022,4.7521
evm_swap_B,80,con,48,3.5802,4.0102,4.6897
cp1_verdict2,0,float,49,4.3444,4.3578,4.6427
cp1_verdict2,0,agc,49,4.1591,4.1792,4.3516
cp1_verdict2,0,rrc,49,4.1320,4.1578,4.3299
cp1_verdict2,0,ss,49,4.1702,4.1833,4.3574
cp1_verdict2,0,cfc,49,4.1716,4.1842,4.3600
cp1_verdict2,0,cs,49,4.1796,4.1991,4.3612
cp1_verdict2,0,pa,48,4.2230,4.3195,4.7951
cp1_verdict2,0,con,48,4.2766,4.2981,4.4913
cp1_verdict2,80,float,49,5.0301,5.0274,5.4082
cp1_verdict2,80,agc,49,4.6758,4.6422,4.8889
cp1_verdict2,80,rrc,49,4.6548,4.6218,4.8678
cp1_verdict2,80,ss,49,4.6638,4.6388,4.8747
cp1_verdict2,80,cfc,49,4.6644,4.6400,4.8768
cp1_verdict2,80,cs,49,4.6837,4.6628,4.9264
cp1_verdict2,80,pa,48,4.7700,4.7447,5.1601
cp1_verdict2,80,con,48,4.7724,4.7625,5.1137
