arm,ts,cap1,cap2,rstcs_pre,rstcs_post,cfc,class
1,16:55:58,0xFBEC07D6,0x81B4608E,0x55,0x129,0xFFFC9833,CYCLING
2,16:56:12,0x0,0x0,0x53,0xD6,0xFFFE4AC2,CYCLING
3,16:56:26,0x4760C43E,0xF5AD2DB0,0x5E,0x15B,0xFFFC171A,CYCLING
4,16:56:40,0xC03EC68C,0x0,0x55,0x1C8,0xFFFE8CF9,CYCLING
5,16:56:54,0x876AC748,0x0,0x54,0x1BC,0xFFFE568C,CYCLING
6,16:57:09,0x0,0xB4499C92,0x54,0x12B,0xFFFC3B77,CYCLING
7,16:57:23,0x703AC188,0x8B970FA2,0x5E,0x1C9,0xFFFED7F5,CYCLING
8,16:57:37,0x5FAC6B66,0x3B523226,0x57,0x1D1,0xFFFEFBE0,CYCLING
9,16:57:51,0xB300000,0x0,0x60,0x133,0xFFFD56B9,CYCLING
10,16:58:05,0x603153F6,0xAE5AE4E2,0x60,0x1D3,0xFFFE216D,CYCLING
11,16:58:20,0x0,0x0,0x59,0x179,0xAE66,CYCLING
12,16:58:34,0xFA63A080,0x6838960,0x63,0x1BC,0xFFFE8F7D,CYCLING
13,16:58:48,0x2,0x2,0x57,0x1BB,0xFFFCC295,CYCLING
14,16:59:02,0x6A3B2020,0xCB599DD8,0x5B,0x1D5,0xFFFE82D9,CYCLING
15,16:59:16,0x0,0x0,0x5F,0x125,0xFFFF3B69,CYCLING
16,16:59:30,0x67668F7A,0xC4DF47A0,0x4A,0x1B7,0xFFFE4E90,CYCLING
17,16:59:45,0x57C2CB0,0x86011C8A,0x5C,0x1AF,0x25250,CYCLING
18,16:59:59,0xBD8F8F5E,0x388AE818,0x58,0x133,0xFFFCFC11,CYCLING
19,17:00:13,0x0,0x0,0x52,0x1AC,0xFFFD57A7,CYCLING
20,17:00:27,0x7631883E,0x3CF32236,0x65,0x1C9,0xFFFE2B85,CYCLING
21,17:00:41,0x31649CEC,0xE8EB0000,0x5D,0x1D8,0xFFFE2477,CYCLING
22,17:00:56,0x59916258,0xEA000420,0x58,0x139,0xFFFD3F9B,CYCLING
23,17:01:10,0x499062DE,0xC4471918,0x61,0x1BA,0xFFFEE3F0,CYCLING
24,17:01:24,0x22082E16,0xA0B8B2A6,0x5E,0x137,0xFFFD10B8,CYCLING
25,17:01:38,0xD076985A,0x435DD6,0x5C,0x1CF,0xFFFF0A34,CYCLING
26,17:01:52,0xAC5D168C,0xEB5AC0,0x5C,0x1B8,0x2A0CA,CYCLING
27,17:02:06,0x0,0x2,0x54,0x1B1,0xFFFC5BD8,CYCLING
28,17:02:21,0xD6B01404,0x0,0x56,0x10D,0xFFFC9D5C,CYCLING
29,17:02:35,0x0,0x0,0x64,0x19F,0x2D64E,CYCLING
30,17:02:49,0x2,0xEF3D1C6,0x64,0x1CC,0xFFFE011C,CYCLING
31,17:03:03,0x2B2CA906,0x664A38E2,0x5B,0x1C9,0xFFFE2E75,CYCLING
32,17:03:17,0xDE7A482A,0xFAD6048,0x58,0x18C,0xFFFD038F,CYCLING
33,17:03:31,0x673F8F54,0xF8F318C8,0x55,0x184,0x2EBA0,CYCLING
34,17:03:46,0x64C804E2,0xDA,0x60,0x1E0,0xFFFDD6F3,CYCLING
35,17:04:00,0x9C0000B2,0x0,0x59,0x1C3,0xFFFDC73F,CYCLING
36,17:04:14,0xD9CDB4A6,0x16BC917A,0x62,0x1D2,0xFFFE54B5,CYCLING
