frame_idx,clk,cnt_frame_start,cap_in,cap_out,bit_errors_out,golden
0,296607,1,5216f3e2,00000000,51,0
1,395271,2,5216f3e2,04922282,51,1
2,493935,3,5216f3e2,04922282,51,1
3,592599,4,5216f3e2,04922282,51,1
4,691263,5,5216f3e2,04922282,51,1
5,789927,6,5216f3e2,04922282,51,1
6,888591,7,5216f3e2,04922282,51,1
7,987255,8,5216f3e2,04922282,51,1
8,1085919,9,5216f3e2,04922282,51,1
9,1184583,10,5216f3e2,04922282,51,1
10,1283247,11,5216f3e2,04922282,51,1
11,1381911,12,5216f3e2,04922282,51,1
12,1480575,13,5216f3e2,04922282,51,1
13,1579239,14,5216f3e2,04922282,51,1
14,1677903,15,5216f3e2,04922282,51,1
15,1776567,16,5216f3e2,04922282,51,1
16,1875231,17,5216f3e2,04922282,51,1
17,1973895,18,5216f3e2,04922282,51,1
18,2072559,19,5216f3e2,04922282,51,1
