frame_idx,clk,cnt_frame_start,cap_in,cap_out,bit_errors_out,golden
0,197935,1,5216f3e2,00000000,51,0
1,296599,2,5216f3e2,04922282,51,1
2,395263,3,5216f3e2,04922282,51,1
3,493927,4,5216f3e2,04922282,51,1
4,592591,5,5216f3e2,04922282,51,1
5,691255,6,5216f3e2,04922282,51,1
6,789919,7,5216f3e2,04922282,51,1
7,888589,8,5216f3e2,04922282,51,1
8,987253,9,5216f3e2,04922282,51,1
9,1085917,10,5216f3e2,04922282,51,1
10,1184581,11,5216f3e2,04922282,51,1
11,1283245,12,5216f3e2,04922282,51,1
12,1381909,13,5216f3e2,04922282,51,1
13,1480573,14,5216f3e2,04922282,51,1
14,1579237,15,5216f3e2,04922282,51,1
15,1677901,16,5216f3e2,04922282,51,1
16,1776565,17,5216f3e2,04922282,51,1
17,1875229,18,5216f3e2,04922282,51,1
