frame_idx,clk,cnt_frame_start,cap_in,cap_out,bit_errors_out,golden
0,197935,1,5216f3e2,00000000,51,0
1,296599,2,5216f3e2,04922282,51,1
2,395263,3,5216f3e2,04922282,51,1
3,493927,4,5216f3e2,04922282,51,1
4,592591,5,5216f3e2,04922282,51,1
5,691255,6,5216f3e2,04922282,51,1
6,789919,7,a129f3d1,f93c27ac,114,0
7,888585,8,ab7a4307,36bb668a,160,0
8,987249,9,ab7a4307,abc5744e,216,0
9,1085913,10,ab7a4307,abc5744e,272,0
10,1184577,11,ab7a4307,abc5744e,328,0
11,1283241,12,ab7a4307,abc5744e,384,0
12,1381905,13,ab7a4307,abc5744e,440,0
13,1480569,14,ab7a4307,abc5744e,496,0
14,1579233,15,ab7a4307,abc5744e,552,0
15,1677897,16,ab7a4307,abc5744e,608,0
16,1776561,17,ab7a4307,abc5744e,664,0
17,1875225,18,ab7a4307,abc5744e,720,0
