frame_idx,clk,cnt_frame_start,cap_in,cap_out,bit_errors_out,golden
0,197935,1,5216f3e2,00000000,51,0
1,296599,2,5216f3e2,04922282,51,1
2,395263,3,5216f3e2,04922282,51,1
3,493927,4,5216f3e2,04922282,51,1
4,592591,5,5216f3e2,04922282,51,1
5,691255,6,5216f3e2,04922282,51,1
6,789919,7,a129f3d1,f93c27ac,114,0
7,888581,8,57b5830b,287ebe7e,173,0
8,987245,9,57b5830b,1fe5d060,239,0
9,1085909,10,57b5830b,1fe5d060,305,0
10,1184573,11,57b5830b,1fe5d060,371,0
11,1283237,12,57b5830b,1fe5d060,437,0
12,1381901,13,57b5830b,1fe5d060,503,0
13,1480565,14,57b5830b,1fe5d060,569,0
14,1579229,15,57b5830b,1fe5d060,635,0
15,1677893,16,57b5830b,1fe5d060,701,0
16,1776557,17,57b5830b,1fe5d060,767,0
17,1875221,18,57b5830b,1fe5d060,833,0
