frame_idx,clk,cnt_frame_start,cap_in,cap_out,bit_errors_out,golden
0,197935,1,5216f3e2,00000000,51,0
1,296599,2,5216f3e2,04922282,51,1
2,395263,3,5216f3e2,04922282,51,1
3,493927,4,5216f3e2,04922282,51,1
4,592591,5,5216f3e2,04922282,51,1
5,691255,6,5216f3e2,04922282,51,1
6,789919,7,5216f3e2,04922282,51,1
7,888835,8,ab7a4307,bb322eb2,111,0
8,987499,9,ab7a4307,479be36e,178,0
9,1086163,10,ab7a4307,0c09bcfc,242,0
10,1184827,11,ab7a4307,c04b3e4e,302,0
11,1283491,12,ab7a4307,566a6bb8,366,0
12,1382155,13,ab7a4307,b8ea69c6,431,0
13,1480819,14,ab7a4307,bd617686,496,0
14,1579483,15,ab7a4307,c04b3e4e,556,0
15,1776811,16,ab7a4307,c7099e4e,616,0
16,1875475,17,ab7a4307,4933b34e,672,0
