frame_idx,clk,cnt_frame_start,cap_in,cap_out,bit_errors_out,golden
0,197935,1,5216f3e2,00000000,51,0
1,296599,2,5216f3e2,04922282,51,1
2,395263,3,5216f3e2,04922282,51,1
3,493927,4,5216f3e2,04922282,51,1
4,592591,5,5216f3e2,04922282,51,1
5,691255,6,5216f3e2,04922282,51,1
6,789919,7,5216f3e2,04922282,51,1
7,888823,8,5216f3e2,5f4852a4,113,0
8,987487,9,5216f3e2,04922282,113,1
9,1086151,10,5216f3e2,04922282,113,1
10,1184815,11,5216f3e2,04922282,113,1
11,1283479,12,5216f3e2,04922282,113,1
12,1382143,13,5216f3e2,04922282,113,1
13,1480807,14,5216f3e2,04922282,113,1
14,1579471,15,5216f3e2,04922282,113,1
15,1678135,16,5216f3e2,04922282,113,1
16,1776799,17,5216f3e2,04922282,113,1
17,1875463,18,5216f3e2,04922282,113,1
