frame_idx,clk,cnt_frame_start,cap_in,cap_out,bit_errors_out,golden
0,197935,1,5216f3e2,00000000,51,0
1,296599,2,5216f3e2,04922282,51,1
2,395263,3,5216f3e2,04922282,51,1
3,493927,4,5216f3e2,04922282,51,1
4,592591,5,5216f3e2,04922282,51,1
5,691255,6,5216f3e2,04922282,51,1
6,789919,7,5216f3e2,04922282,51,1
7,888591,8,5216f3e2,22820178,93,0
8,987255,9,5216f3e2,04922282,93,1
9,1085919,10,5216f3e2,04922282,93,1
10,1184583,11,5216f3e2,04922282,93,1
11,1283247,12,5216f3e2,04922282,93,1
12,1381911,13,5216f3e2,04922282,93,1
13,1480575,14,5216f3e2,04922282,93,1
14,1579239,15,5216f3e2,04922282,93,1
15,1677903,16,5216f3e2,04922282,93,1
16,1776567,17,5216f3e2,04922282,93,1
17,1875231,18,5216f3e2,04922282,93,1
