frame_idx,clk,cnt_frame_start,cap_in,cap_out,bit_errors_out,golden
0,296849,2,5485bcf8,00000000,102,0
1,395515,3,ab7a4307,a6120492,145,0
2,494177,4,ab7a4307,7a253398,202,0
3,592843,5,ab7a4307,20f1b92e,272,0
4,691507,6,ab7a4307,20f3be6c,333,0
5,790171,7,ab7a4307,3fa595ca,399,0
6,888835,8,ab7a4307,7a22d8fc,461,0
7,987499,9,ab7a4307,3ea53398,517,0
8,1086163,10,ab7a4307,3a2480b8,574,0
9,1184827,11,ab7a4307,7825744e,637,0
10,1283491,12,ab7a4307,b925190e,705,0
11,1382155,13,ab7a4307,478e339e,759,0
12,1480819,14,ab7a4307,20f1b92c,818,0
13,1579483,15,ab7a4307,796582fc,881,0
14,1678145,16,ab7a4307,38e533ba,945,0
15,1776811,17,ab7a4307,20f1b92e,1015,0
16,1875475,18,ab7a4307,20f3be6c,1076,0
