frame_idx,clk,cnt_frame_start,cap_in,cap_out,bit_errors_out,golden
0,197935,1,5216f3e2,00000000,51,0
1,296599,2,5216f3e2,04922282,51,1
2,395263,3,5216f3e2,04922282,51,1
3,505543,5,4002000e,04922282,51,0
4,691255,6,ab7a4307,08415f26,109,0
5,777751,7,20000021,887c1f16,178,0
6,917359,9,3400f012,c87c1ef0,295,0
7,1073743,10,20000021,1d8e48d0,356,0
8,1184575,11,ab004007,ae964d12,411,0
9,1283239,12,ab7a4307,656b312e,477,0
10,1369735,13,c0000001,d57bbfbe,541,0
11,1468399,14,20000021,1ff4c618,601,0
12,1568037,15,80410cc0,ae964d12,656,0
13,1689511,17,4002000e,aecca74e,779,0
14,1903999,19,3400f012,fec81448,887,0
