frame_idx,clk,cnt_frame_start,cap_in,cap_out,bit_errors_out,golden
0,197935,1,5216f3e2,00000000,51,0
1,296599,2,5216f3e2,04922282,51,1
2,395263,3,5216f3e2,04922282,51,1
3,493927,4,5216f3e2,04922282,51,1
4,592591,5,5216f3e2,04922282,51,1
5,691255,6,5216f3e2,04922282,51,1
6,789919,7,5216f3e2,04922282,51,1
7,888585,8,57b5830b,6e9959c4,112,0
8,987249,9,57b5830b,1fe5d060,178,0
9,1085913,10,57b5830b,1fe5d060,244,0
10,1184577,11,57b5830b,1fe5d060,310,0
11,1283241,12,57b5830b,1fe5d060,376,0
12,1381905,13,57b5830b,1fe5d060,442,0
13,1480569,14,57b5830b,1fe5d060,508,0
14,1579233,15,57b5830b,1fe5d060,574,0
15,1677897,16,57b5830b,1fe5d060,640,0
16,1776561,17,57b5830b,1fe5d060,706,0
17,1875225,18,57b5830b,1fe5d060,772,0
