# word	offset_bits  (frame=24640 bits; window=32 bits, LSB-packed from FEC startIn)
0001D18A	19090
0003A314	19089
00069047	21197
00074628	19088
00090C61	12147
000D208E	21196
000E8C51	19087
000F1935	6982
00121246	11215
001218C3	12146
00148DA8	14902
00170FD9	7052
001A411D	21195
001C617B	19688
001D18A3	19086
001E326B	6981
00231390	2551
0024248D	11214
00243187	12145
00291B51	14901
002B6B0C	3447
002CD250	22925
002E1FB3	7051
002EB3A8	21382
002FFAA5	21037
0034823A	21194
0038C2F7	19687
003983A2	11493
003A3147	19085
003C64D6	6980
0044BBB7	23179
00462721	2550
0048491B	11213
0048630F	12144
0050F4B1	20244
005236A2	14900
00542CD6	11761
0056D619	3446
0059A4A0	22924
005C3F66	7050
005D6750	21381
005FF54A	21036
00621527	24438
00690475	21193
006AB942	22004
006C28CA	6188
0070A246	14243
007185EE	19686
00730745	11492
0074628F	19084
0075B346	11264
007668F1	2168
0078C9AC	6979
007D595A	7229
007E0259	1045
007E74C7	9558
0081EA91	8997
0089776E	23178
008C4E43	2549
008D1CD5	10132
00909237	11212
0090C61F	12143
0097B585	17508
00A18876	7357
00A1E962	20243
00A46D45	14899
00A859AD	11760
00ADAC32	3445
00B00FEB	14434
00B27A2F	22310
00B34940	22923
00B87ECD	7049
00BACEA1	21380
00BF3E42	13146
00BFEA95	21035
00C0C645	18053
00C42A4E	24437
00CCD37F	9808
00CEF3DF	19404
00D12FF3	6430
00D1EE64	8485
00D208EA	21192
00D57284	22003
00D85195	6187
00DE977A	2718
00DFC653	20512
00E1448C	14242
00E30BDD	19685
00E60E8B	11491
00E8C51E	19083
00EB668C	11263
00EC5C8E	22993
00ECD1E3	2167
00F19359	6978
00F319FE	14739
00F44542	15108
00FAB2B4	7228
00FC04B2	1044
00FCE98E	9557
00FEB377	14422
01037A8D	18600
0103D522	8996
0104E078	17257
0104FD9D	1116
010A8C51	2798
010B7D8D	14037
010F38B0	12422
0112EEDC	23177
0114B158	20553
01189C87	2548
01194D73	16632
0119B082	3653
011A39AB	10131
011A3EEC	5008
011BEB96	9151
011F519E	22862
0121246F	11211
01218C3E	12142
01286AE1	4318
012CB5F4	1030
012F6B0A	17507
012FBEDD	7306
01317525	17819
01364A6D	22383
0139007E	9574
013A6E17	533
013CD6D2	16126
0142174D	996
014310EC	7356
0143D2C5	20242
0148DA8A	14898
014FCD6E	4721
0150B35B	11759
0153C550	11044
01594B9A	3245
015B5865	3444
015C1554	1368
01601FD6	14433
016058BB	21657
0164F45F	22309
01669281	22922
0166CE29	4539
01689D20	21409
0170FD9A	7048
01729F03	23094
01759D42	21379
017E5AD3	12558
017E7C85	13145
017F8BF3	16731
017FD52B	21034
01818C8B	18052
0183FD86	18385
0188549C	24436
018D288C	16291
018F0E35	12363
0199A6FE	9807
019B23F2	19447
019D487F	4944
019DE7BE	19403
01A25FE6	6429
01A3DCC8	8484
01A411D4	21191
01A92C2E	1249
01AAE509	22002
01AF28E1	20978
01B0A32A	6186
01B5C52E	10180
01BA2023	22881
01BC0CE5	23664
01BD2EF4	2717
01BE080F	20130
01BF8CA6	20511
01C28918	14241
01C617BA	19684
01CC1D16	11490
01D18A3D	19082
01D6CD18	11262
01D78A52	23813
01D8B91D	22992
01D914C3	10239
01D9A3C6	2166
01DB500E	23013
01E326B3	6977
01E633FC	14738
01E88A85	15107
01E9E2CD	16433
01EB75EC	20109
01EE3110	18998
01EEAFA8	15635
01F56569	7227
01F7A226	7817
01F80965	1043
01F82122	7942
01F9D31C	9556
01FD66EF	14421
01FF691C	22491
0206C8C1	10609
0206F51A	18599
0207AA45	8995
