# word	offset_symbols  (frame=12320 symbols; window=16 symbols, MSB-first {sign(I),sign(Q)})
0003B45A	9552
0006EC59	3499
00087CBB	10606
000ED16B	9553
001AC478	10700
001BB164	3500
001D3447	3535
0021F2ED	10607
00251163	6082
002C1749	5616
003237FF	9853
003B45AF	9554
003D4F98	7460
00441EB8	5076
004A3D24	3225
006B11E0	10701
006C40C4	4789
006EC591	3501
007275A7	8764
0074D11F	3536
00764E89	10266
0086ECAB	3624
0087CBB7	10608
008DD9A9	11599
008E27F5	1285
0094458C	6083
0095A8A0	532
009E5538	7131
00A25568	5756
00A37488	1733
00A470F8	5890
00A93D98	10528
00B05D24	5617
00B7D3D1	11472
00C316F4	9712
00C347C7	11012
00C8DFFD	9854
00CA41FC	1094
00CEC3A7	10132
00CF6056	7227
00DC4792	7564
00DCF3D6	5642
00E00CF6	7221
00E538F3	11165
00E56F5E	6583
00ED16BE	9555
00EE4C77	1369
00F53E63	7461
00F88DE5	3104
00FC5C85	12229
00FCD7D8	4914
0101A0B4	9307
0102FE41	4505
0109D3BC	5312
010CD42B	5169
011051B7	7932
01107AE1	5077
011C58A5	8074
011DC0AD	11442
011F1112	11843
011F512A	5101
011F5E38	509
0120367A	8516
0128F491	3226
013E4991	3032
01442526	6752
01456C31	2170
014E9FC5	1801
016E783B	3664
01822F61	11558
018DE146	5533
018F72CD	10458
01A0B459	9311
01A35E48	569
01AC4780	10702
01AE85C8	9510
01B10313	4790
01B491BA	10170
01BB1644	3502
01C9D69F	8765
01D3447D	3537
01D41DD2	10889
01D93A25	10267
01F9F6FB	10500
01FCD3E4	9388
020A84AC	10287
020BE40C	10065
02125949	9734
021BB2AF	3625
021F2EDD	10609
02208D99	11256
02266AA3	2280
02318ED2	8227
0236A5E2	8920
023766A5	11600
02389FD6	1286
023AD23F	635
023DC477	7380
023F1FF0	4586
0244BAC9	277
0248B945	7828
0251061A	10839
02511633	6084
0253047D	8156
0256681B	9203
0256A283	533
02589603	7029
0259F316	11202
02626FC4	5130
026338F6	3689
027954E2	7132
028955A1	5757
028D8B49	11517
028DD223	1734
028F6E2B	6192
028F9538	8376
0291C3E0	5891
02920C2E	1837
029A94F5	9037
02A4F660	10529
02A7ACDF	3919
02A7B028	11507
02A9D996	8639
02B74286	11451
02B76A1D	11917
02C17491	5618
02C9424F	4253
02CA8EBE	10715
02D68A72	2371
02DF4F45	11473
02E2B691	1633
02FE417F	4509
030787BC	4021
030BFDF6	695
030C5BD1	9713
030D1F1C	11013
030EFD0C	9188
03136847	4798
031495DC	861
031E1E8E	3604
0323555F	8882
03237FF4	9855
0324922A	6663
03255ABE	1881
032812AE	2864
032907F3	1095
032AF694	3982
03310AB7	8952
033B0E9D	10133
033D8158	7228
033DDF66	10076
033F1D93	2515
034127BA	1228
034475C7	6290
0347AF2E	10422
035C7520	491
035E1E74	7581
036080AA	8630
0367A46C	8522
03711E4B	7565
0373499E	1574
0373CF58	5643
03741495	2483
03742068	3463
037A3873	10867
037A6F68	2356
037FD62E	2774
038033D8	7222
03809441	10834
0394E3CF	11166
0395BD7A	6584
03B45AF8	9556
03B931DC	1370
03CEAE4D	8280
03D0C9C4	7041
03D22911	10035
03D4F98F	7462
03DA3501	11546
03DC1C22	6222
03E1F0F6	1410
03E23797	3105
03E4047C	11836
03EFBB6A	4456
03F0095A	526
03F0D2EE	9144
03F17215	12230
03F35F63	4915
03FA0539	8327
040682D1	9308
04068D79	566
040BF905	4506
040F7070	6219
040F87C3	1407
04164979	1715
041B0FFE	9261
04262C21	1972
04274EF0	5313
0429B38B	770
042DC4B6	8112
043350AE	5170
043DAB87	11132
043E65A5	199
044146DD	7933
0441EB85	5078
0445D062	6884
0448F1B6	9758
04493C3E	11639
044CBB40	9497
045CE0B7	5551
046DEF7F	10345
04716295	8075
047702B7	11443
047C4448	11844
047D44AB	5102
047D78E1	510
047DE209	8164
0480D9E9	8517
0481770B	6246
048A2636	7001
048B9F18	1559
0491192E	34
04920905	807
04983A6F	11402
049CC80A	1826
049EEAD3	1233
04A1BA85	7303
04A3D246	3227
04AA9D83	3816
04AB9F12	2871
04AD2FAA	2124
04B4786F	1009
04C14098	3680
04C425B0	2850
04EFC94D	2018
04F92645	3033
0500CEC3	10128
05011F5E	505
05026338	3685
050B7305	819
050DA8CA	3083
05109498	6753
0513B56E	3374
0515B0C6	2171
051B4F08	1530
051B74BA	7938
05257D3B	2490
0525ED60	8750
0528820E	5974
052ECBA2	9926
05395B3F	8335
053A7F17	1802
053DF4F2	9372
05447C03	7553
0544B5BB	10321
0553C540	5520
0555A238	7848
055C34E9	7957
0560F4ED	7237
056F8F52	1928
058CA0E3	5836
058D4D85	8694
05925E54	1718
05972ADC	9292
05995314	9668
05B08D91	831
05B92778	3269
05B9E0EC	3665
05BAA403	11001
05C66111	4856
05C821A4	9634
05D24739	5623
05DC2FCA	6251
05F2891D	9536
05F3DACE	11987
05F577C0	7815
05F5E0F6	7613
05F95D15	9103
05F9A8B9	3874
05FDF5AE	4518
05FF6B33	1434
06002C17	5612
0608BD85	11559
060F56D7	143
061ABF5D	8444
061AFB19	10847
061B85FD	5803
0625507B	9813
062CCC42	6894
062D14FC	2341
06378518	5534
063CA1E0	4936
063DCB35	10459
0643082F	6956
06591A98	448
065A4EC7	4052
065C2E4E	937
067742D0	9783
0682D165	9312
06851DE6	3473
0686AFDA	1066
068B0CBB	6691
068BCF94	12314
068D7921	570
0695511C	8995
069F0B61	7320
06A5C724	6630
06B11E02	10703
06BA1723	9511
06BA51EF	660
06BB974C	12251
06C3E157	8809
06C3FFA0	9264
06C40C4D	4791
06C5CF12	2713
06C72DF3	8565
06CB7882	9214
06D20961	7711
06D246E9	10171
06E797A9	2684
06EC5912	3503
06F2B15A	4328
06F3F803	6572
06F4E19A	6553
07089F62	6229
070E329D	7886
0722B46D	6315
07275A7E	8766
0728F261	11312
0736058D	8686
07379FBB	1783
07472410	9250
074D11F5	3538
0750774B	10890
075BC3CF	9988
0763BB11	8255
07645C75	4217
0764E896	10268
0774B16D	10896
077E6FA2	9956
077EDF23	4726
0787BC87	4025
078BE7A0	7981
07A662F4	1668
07A79BC7	4662
07AB928A	1484
07AE14D7	5083
07B289B8	9823
07B3345B	10802
07C17CA2	9531
07D0A850	9358
07E7DBEE	10501
07EE4C58	2071
07F0A1BE	124
