frame,offset,swap,score
0,,0,0.4996
1,,0,0.4994
2,,0,0.4995
3,,0,0.4996
4,,0,0.4995
5,,0,0.4995
6,,0,0.4995
7,,0,0.4995
8,,0,0.4995
9,,0,0.4996
10,,0,0.4995
11,,0,0.4996
12,,0,0.4995
13,,0,0.4995
14,,0,0.4995
15,,0,0.4996
16,,0,0.4995
17,,0,0.4995
18,,0,0.4994
19,,0,0.4995
20,,0,0.4996
21,,0,0.4995
22,,0,0.4995
23,,0,0.4995
24,,0,0.4995
25,,0,0.4995
26,,0,0.4996
27,,0,0.4994
28,,0,0.4995
29,,0,0.4996
30,,0,0.4995
31,,0,0.4995
32,,0,0.4995
33,,0,0.4995
34,,0,0.4995
35,,0,0.4996
36,,0,0.4995
37,,0,0.4996
38,,0,0.4995
39,,0,0.4995
40,,0,0.4995
41,,0,0.4996
42,,0,0.4995
43,,0,0.4995
44,,0,0.4994
45,,0,0.4995
46,,0,0.4996
47,,0,0.4995
48,,0,0.4995
49,,0,0.4995
50,,0,0.4995
51,,0,0.4995
52,,0,0.4996
53,,0,0.4994
54,,0,0.4995
55,,0,0.4996
56,,0,0.4995
57,,0,0.4995
58,5469,0,0.5019
59,,0,0.4995
60,,0,0.4995
61,,0,0.4996
62,,0,0.4995
63,,0,0.4996
64,,0,0.4995
65,,0,0.4995
66,,0,0.4995
67,,0,0.4996
68,,0,0.4995
69,,0,0.4995
70,,0,0.4994
71,,0,0.4995
72,,0,0.4996
73,,0,0.4995
74,,0,0.4995
75,,0,0.4995
76,,0,0.4995
77,,0,0.4995
78,,0,0.4996
79,,0,0.4994
80,,0,0.4995
81,,0,0.4996
82,,0,0.4995
83,,0,0.4995
84,,0,0.4995
85,,0,0.4995
86,,0,0.4995
87,,0,0.4996
88,,0,0.4995
89,,0,0.4996
90,,0,0.4995
91,,0,0.4995
92,,0,0.4995
93,,0,0.4996
94,,0,0.4998
95,,0,0.4995
96,,0,0.4994
97,,0,0.4995
98,,0,0.4996
99,,0,0.4995
100,,0,0.4995
101,,0,0.4995
102,,0,0.4995
103,,0,0.4995
104,,0,0.4996
105,,0,0.4994
106,,0,0.4995
107,,0,0.4996
108,,0,0.4995
109,,0,0.4995
110,,0,0.4995
111,,0,0.4995
112,,0,0.4995
113,,0,0.4996
114,,0,0.4995
115,,0,0.4996
116,,0,0.4995
117,,0,0.4995
118,,0,0.4995
119,,0,0.4996
120,,0,0.4995
121,,0,0.4995
122,,0,0.4994
123,,0,0.4995
124,,0,0.4996
