frame,offset,swap,score
0,,0,0.4957
1,,0,0.4956
2,,0,0.4957
3,,0,0.4956
4,,0,0.4957
5,,0,0.4955
6,,0,0.4955
7,,0,0.4957
8,,0,0.4956
9,,0,0.4956
10,,0,0.4957
11,,0,0.4956
12,,0,0.4957
13,,0,0.4956
14,,0,0.4957
15,,0,0.4955
16,,0,0.4956
17,,0,0.4957
18,,0,0.4956
19,,0,0.4956
20,,0,0.4957
21,,0,0.4956
22,,0,0.4957
23,,0,0.4956
24,,0,0.4957
25,,0,0.4955
26,,0,0.4956
27,,0,0.4957
28,,0,0.4956
29,,0,0.4956
30,,0,0.4957
31,,0,0.4956
32,,0,0.4957
33,,0,0.4956
34,,0,0.4957
35,,0,0.4955
36,,0,0.4956
37,,0,0.4957
38,,0,0.4956
39,,0,0.4956
40,,0,0.4957
41,,0,0.4956
42,,0,0.4957
43,,0,0.4956
44,,0,0.4958
45,,0,0.4956
46,,0,0.4956
47,,0,0.4957
48,,0,0.4956
49,,0,0.4956
50,,0,0.4957
51,,0,0.4956
52,,0,0.4957
53,,0,0.4956
54,,0,0.4957
55,,0,0.4955
56,,0,0.4956
57,,0,0.4957
58,,0,0.4956
59,,0,0.4956
60,,0,0.4957
61,,0,0.4956
62,,0,0.4957
63,,0,0.4956
64,,0,0.4957
65,,0,0.4955
66,,0,0.4956
67,,0,0.4957
68,,0,0.4956
69,,0,0.4956
70,,0,0.4958
71,,0,0.4956
72,,0,0.4957
73,,0,0.4956
74,,0,0.4957
75,,0,0.4955
76,,0,0.4956
77,,0,0.4957
78,,0,0.4956
79,,0,0.4956
80,,0,0.4958
81,,0,0.4956
82,,0,0.4957
83,,0,0.4956
84,,0,0.4957
85,,0,0.4955
86,,0,0.4956
87,,0,0.4957
88,,0,0.4956
89,,0,0.4956
90,,0,0.4957
91,,0,0.4956
92,,0,0.4957
93,,0,0.4956
94,,0,0.4957
95,,0,0.4955
96,,0,0.4956
97,,0,0.4957
98,,0,0.4956
99,,0,0.4956
100,,0,0.4957
101,,0,0.4956
102,,0,0.4957
103,,0,0.4956
104,,0,0.4957
105,,0,0.4955
106,,0,0.4956
107,,0,0.4957
108,,0,0.4956
109,,0,0.4956
110,,0,0.4957
111,,0,0.4956
112,,0,0.4957
113,,0,0.4956
114,,0,0.4957
115,,0,0.4955
116,,0,0.4956
117,,0,0.4957
118,,0,0.4956
119,,0,0.4956
120,,0,0.4957
121,,0,0.4956
122,,0,0.4957
123,,0,0.4956
124,,0,0.4957
125,,0,0.4956
126,,0,0.4956
127,,0,0.4957
128,,0,0.4956
129,,0,0.4956
130,,0,0.4957
131,,0,0.4956
132,,0,0.4957
133,,0,0.4956
134,,0,0.4957
135,,0,0.4955
136,,0,0.4956
137,,0,0.4957
138,,0,0.4956
139,,0,0.4956
140,,0,0.4957
141,,0,0.4956
