f_MHz    sig      noise    S/N_dB  
100      103      102      -17.1   
200      200      26       17.6    
300      641      82       17.8    
400      2096     29       37.2    
500      434      80       14.5    
600      324      68       13.4    
700      1220     346      10.6    
800      1936     18       40.6    
900      4082     31       42.4    
1000     4609     43       40.6    
1100     624      126      13.7    
1200     612      7        38.8    
1300     96       6        24.1    
1400     153      4        31.6    
1500     472      15       30.0    
1600     331      10       30.4    
1700     741      28       28.4    
1800     376      6        35.9    
1900     1390     47       29.4    
2000     1590     8        46.0    
2100     575      534      -8.0    
