fill,gap,offered_fps,ok,lost,gaps_ev,biterr,dup,junk,ok_per_s,verdict
1516,400000,311,9422,0,0,0,0,16265,314.1,PASS
1516,200000,620,0,0,0,1,0,5460,0.0,NO_DELIVERY
1516,100000,1229,0,0,0,0,0,0,0.0,NO_DELIVERY
1516,60000,2025,0,0,0,0,0,0,0.0,NO_DELIVERY
1516,30000,3941,0,0,0,0,0,0,0.0,NO_DELIVERY
1516,15000,7477,0,0,0,0,0,0,0.0,NO_DELIVERY
1516,8000,12861,0,0,0,0,0,0,0.0,NO_DELIVERY
1516,4000,21857,0,0,0,0,0,0,0.0,NO_DELIVERY
1516,2000,33611,0,0,0,0,0,0,0.0,NO_DELIVERY
1516,0,72717,0,0,0,0,0,0,0.0,NO_DELIVERY
