ts,occ,push_ptr,pop_ptr,pop_on_empty,push_on_full,frames,cSS,cRH,cCFC,cCS,cPD,cPC,d_pop_on_empty,d_push_on_full,d_frames,d_cSS,d_cRH,d_cCFC,d_cCS,d_cPD,d_cPC,dt_s,aux_lag_s
2026-09-04T16:56:39-04:00,0,11,11,2920,0,54753,676354251,676354251,676354243,676354240,676341899,673626585,,,,,,,,,,,0.052
2026-09-04T16:56:49-04:00,1,0,31,3321,0,67435,833124864,833124863,833124855,833124853,833112512,829854735,401,0,12682,156770613,156770612,156770612,156770613,156770613,156228150,10.0,0.051
2026-09-04T16:56:59-04:00,1,4,3,3723,0,80142,990127236,990127235,990127227,990127224,990114884,986363646,402,0,12707,157002372,157002372,157002372,157002371,157002372,156508911,10.0,0.053
2026-09-04T16:57:09-04:00,1,28,27,4123,0,92777,1146305756,1146305755,1146305747,1146305744,1146293405,1142000335,400,0,12635,156178520,156178520,156178520,156178520,156178521,155636689,10.0,0.055
2026-09-04T16:57:19-04:00,0,17,17,4484,0,104210,1287554929,1287554929,1287554921,1287554918,1287542578,1282830579,361,0,11433,141249173,141249174,141249174,141249174,141249173,140830244,10.0,0.053
2026-09-04T16:57:29-04:00,1,14,13,4884,0,116841,1443604526,1443604525,1443604517,1443604514,1443592173,1438236933,400,0,12631,156049597,156049596,156049596,156049596,156049595,155406354,10.0,0.062
2026-09-04T16:57:39-04:00,0,31,31,5285,0,129511,1600435327,1600435327,1600435319,1600435316,1600422975,1594477496,401,0,12670,156830801,156830802,156830802,156830802,156830802,156240563,10.0,0.053
2026-09-04T16:57:49-04:00,0,16,16,5686,0,142158,1756775024,1756775024,1756775016,1756775013,1756762672,1750246053,401,0,12647,156339697,156339697,156339697,156339697,156339697,155768557,10.0,0.051
2026-09-04T16:57:59-04:00,0,28,28,6086,0,154801,1913001340,1913001340,1913001332,1913001329,1912988988,1905966650,400,0,12643,156226316,156226316,156226316,156226316,156226316,155720597,10.0,0.053
2026-09-04T16:58:09-04:00,0,28,28,6448,0,166210,2054010012,2054010012,2054010004,2054010001,2053997660,2046496393,362,0,11409,141008672,141008672,141008672,141008672,141008672,140529743,10.0,0.053
2026-09-04T16:58:19-04:00,1,15,14,6848,0,178836,2210025039,2210025038,2210025030,2210025027,2210012687,2202035221,400,0,12626,156015027,156015026,156015026,156015026,156015027,155538828,10.0,0.055
2026-09-04T16:58:29-04:00,1,10,9,7249,0,191450,2366073450,2366073449,2366073441,2366073439,2366061098,2357449513,401,0,12614,156048411,156048411,156048411,156048412,156048411,155414292,10.0,0.053
2026-09-04T16:58:39-04:00,0,28,28,7649,0,204064,2522147772,2522147772,2522147764,2522147761,2522135420,2512797321,400,0,12614,156074322,156074323,156074323,156074322,156074322,155347808,10.0,0.057
2026-09-04T16:58:49-04:00,1,20,19,8049,0,216661,2678135732,2678135731,2678135723,2678135721,2678123380,2668045015,400,0,12597,155987960,155987959,155987959,155987960,155987960,155247694,10.0,0.051
2026-09-04T16:58:59-04:00,0,11,11,8450,0,229300,2834381611,2834381611,2834381603,2834381600,2834369260,2823643892,401,0,12639,156245879,156245880,156245880,156245879,156245880,155598877,10.0,0.054
2026-09-04T16:59:09-04:00,0,17,17,8850,0,241922,2990285329,2990285329,2990285321,2990285318,2990272978,2979181661,400,0,12622,155903718,155903718,155903718,155903718,155903718,155537769,10.0,0.051
2026-09-04T16:59:19-04:00,1,23,22,9213,0,253344,3131509751,3131509750,3131509742,3131509739,3131497399,3119903890,363,0,11422,141224422,141224421,141224421,141224421,141224421,140722229,10.0,0.051
2026-09-04T16:59:29-04:00,1,29,28,9614,0,265971,3287596797,3287596796,3287596788,3287596785,3287584445,3275354700,401,0,12627,156087046,156087046,156087046,156087046,156087046,155450810,10.0,0.051
2026-09-04T16:59:39-04:00,0,29,29,10015,0,278620,3444038109,3444038109,3444038101,3444038098,3444025758,3431169268,401,0,12649,156441312,156441313,156441313,156441313,156441313,155814568,10.0,0.052
2026-09-04T16:59:49-04:00,1,9,8,10418,0,291317,3600905033,3600905032,3600905024,3600905021,3600892681,3587527458,403,0,12697,156866924,156866923,156866923,156866923,156866923,156358190,10.0,0.054
2026-09-04T16:59:59-04:00,1,31,30,10821,0,304006,3757694335,3757694334,3757694326,3757694323,3757681983,3743835853,403,0,12689,156789302,156789302,156789302,156789302,156789302,156308395,10.0,0.057
2026-09-04T17:00:09-04:00,1,18,17,11183,0,315409,3898610002,3898610001,3898609993,3898609991,3898597650,3884337384,362,0,11403,140915667,140915667,140915667,140915668,140915667,140501531,10.0,0.055
2026-09-04T17:00:19-04:00,1,11,10,11584,0,328058,4055029995,4055029994,4055029986,4055029984,4055017643,4040102156,401,0,12649,156419993,156419993,156419993,156419993,156419993,155764772,10.0,0.059
2026-09-04T17:00:29-04:00,1,23,22,11986,0,340710,4211457719,4211457718,4211457710,4211457707,4211445367,4196049350,402,0,12652,156427724,156427724,156427724,156427723,156427724,155947194,10.0,0.053
