ts,occ,push_ptr,pop_ptr,pop_on_empty,push_on_full,frames,cSS,cRH,cCFC,cCS,cPD,cPC,d_pop_on_empty,d_push_on_full,d_frames,d_cSS,d_cRH,d_cCFC,d_cCS,d_cPD,d_cPC,r4b_locked,r4b_skips,r4b_opens,d_r4b_skips,d_r4b_opens,dt_s,aux_lag_s
2026-09-04T20:20:33-04:00,9,25,16,53,0,53712,661437241,661437232,661437224,661437221,661424881,660702099,,,,,,,,,,1,1668,20897,,,,0.06
2026-09-04T20:20:43-04:00,10,8,30,53,0,66392,817846248,817846238,817846230,817846227,817833887,816946239,0,0,12680,156409007,156409006,156409006,156409006,156409006,156244140,1,2064,810,396,12681,10.0,0.058
2026-09-04T20:20:53-04:00,8,24,16,53,0,79112,974622040,974622032,974622024,974622021,974609680,973556777,0,0,12720,156775792,156775794,156775794,156775794,156775793,156610538,1,2461,13529,397,12719,10.0,0.066
2026-09-04T20:21:03-04:00,9,1,24,53,0,90521,1115415361,1115415352,1115415344,1115415341,1115403001,1114140097,0,0,11409,140793321,140793320,140793320,140793320,140793321,140583320,1,2817,24932,356,11403,10.0,0.059
2026-09-04T20:21:13-04:00,9,10,1,53,0,103176,1271509770,1271509761,1271509753,1271509750,1271497409,1270039169,0,0,12655,156094409,156094409,156094409,156094409,156094408,155899072,1,3213,4815,396,12651,10.0,0.059
2026-09-04T20:21:23-04:00,9,22,13,53,0,115818,1427430102,1427430093,1427430085,1427430082,1427417742,1425762846,0,0,12642,155920332,155920332,155920332,155920332,155920333,155723677,1,3608,17453,395,12638,10.0,0.058
2026-09-04T20:21:33-04:00,9,0,23,53,0,128441,1583156992,1583156983,1583156975,1583156973,1583144632,1581256294,0,0,12623,155726890,155726890,155726890,155726891,155726890,155493448,1,4003,30068,395,12615,10.0,0.055
2026-09-04T20:21:43-04:00,9,4,27,53,0,141078,1738962180,1738962171,1738962163,1738962160,1738949820,1736897253,0,0,12637,155805188,155805188,155805188,155805187,155805188,155640959,1,4399,9934,396,12634,10.0,0.058
2026-09-04T20:21:53-04:00,9,21,12,53,0,153770,1895348341,1895348332,1895348324,1895348321,1895335981,1893095464,0,0,12692,156386161,156386161,156386161,156386161,156386161,156198211,1,4796,22615,397,12681,10.0,0.067
2026-09-04T20:22:03-04:00,10,0,22,53,0,165158,2035993376,2035993366,2035993358,2035993356,2035981015,2033592246,0,0,11388,140645035,140645034,140645034,140645035,140645034,140496782,1,5154,1247,358,11400,10.0,0.055
2026-09-04T20:22:13-04:00,9,16,7,53,0,177805,2191933104,2191933095,2191933087,2191933084,2191920744,2189367603,0,0,12647,155939728,155939729,155939729,155939728,155939729,155775357,1,5550,13892,396,12645,10.0,0.056
2026-09-04T20:22:23-04:00,9,28,19,53,0,190506,2348201820,2348201811,2348201803,2348201800,2348189460,2345471609,0,0,12701,156268716,156268716,156268716,156268716,156268716,156104006,1,5948,26576,398,12684,10.0,0.079
2026-09-04T20:22:33-04:00,9,15,6,53,0,203203,2505086127,2505086118,2505086110,2505086107,2505073767,2502190543,0,0,12697,156884307,156884307,156884307,156884307,156884307,156718934,1,6346,6521,398,12713,10.0,0.061
2026-09-04T20:22:43-04:00,9,25,16,53,0,215876,2661406393,2661406384,2661406376,2661406373,2661394033,2658336822,0,0,12673,156320266,156320266,156320266,156320266,156320266,156146279,1,6744,19192,398,12671,10.0,0.059
2026-09-04T20:22:53-04:00,10,4,26,53,0,228526,2817419652,2817419642,2817419634,2817419632,2817407291,2814162533,0,0,12650,156013259,156013258,156013258,156013259,156013258,155825711,1,7141,31840,397,12648,10.0,0.06
