ts_wall_end,chk_frames,chk_gap_events,chk_lost_slots,chk_garbage,chk_crc_fail,host_events,host_slots,reader_d_frames
2026-09-04T20:20:54-0400,12655,0,0,0,0,0,0,12720
2026-09-04T20:21:04-0400,11414,10,23,13,10,8,70,11409
2026-09-04T20:21:14-0400,12662,2,4,2,2,4,40,12655
2026-09-04T20:21:24-0400,12623,4,10,6,4,4,24,12642
2026-09-04T20:21:34-0400,12623,12,23,11,9,8,84,12623
2026-09-04T20:21:44-0400,12666,0,0,0,0,3,3,12637
2026-09-04T20:21:54-0400,12657,3,6,3,3,3,32,12692
2026-09-04T20:22:04-0400,11401,0,0,0,0,0,0,11388
2026-09-04T20:22:14-0400,12662,0,0,0,0,0,0,12647
2026-09-04T20:22:24-0400,12673,0,0,0,0,0,0,12701
2026-09-04T20:22:34-0400,12701,0,0,0,0,0,0,12697
2026-09-04T20:22:44-0400,12679,1,2,1,1,1,3,12673
2026-09-04T20:22:54-0400,12632,4,9,5,4,3,29,12650
2026-09-04T20:23:04-0400,11354,10,22,12,9,10,88,11390
2026-09-04T20:23:14-0400,12569,2,4,2,2,3,29,12587
2026-09-04T20:23:24-0400,12605,4,11,7,4,4,29,12596
2026-09-04T20:23:34-0400,12552,11,27,15,11,9,66,12566
2026-09-04T20:23:44-0400,12587,2,4,2,2,4,39,12572
2026-09-04T20:23:54-0400,12582,0,0,0,0,0,0,12599
2026-09-04T20:24:04-0400,12569,0,0,0,0,0,0,12564
2026-09-04T20:24:14-0400,12634,0,0,0,0,0,0,12598
2026-09-04T20:24:24-0400,12626,1,1,0,0,1,1,12647
2026-09-04T20:24:34-0400,11314,2,4,2,2,2,17,11326
2026-09-04T20:24:44-0400,12604,8,18,10,8,7,75,12622
2026-09-04T20:24:54-0400,12587,6,15,9,6,7,60,12599
2026-09-04T20:25:04-0400,12593,1,3,2,1,1,5,12588
2026-09-04T20:25:14-0400,12597,9,22,13,9,7,89,12597
2026-09-04T20:25:24-0400,12527,1,2,1,1,3,20,12554
2026-09-04T20:25:34-0400,12571,0,0,0,0,0,0,12561
2026-09-04T20:25:44-0400,12579,0,0,0,0,0,0,12561
2026-09-04T20:25:54-0400,12581,5,5,0,0,5,5,12586
2026-09-04T20:26:05-0400,12610,0,0,0,0,0,0,12607
2026-09-04T20:26:14-0400,11333,0,0,0,0,0,0,11326
2026-09-04T20:26:24-0400,12580,13,27,14,13,13,122,12599
2026-09-04T20:26:34-0400,12574,3,6,3,3,3,34,12575
2026-09-04T20:26:44-0400,12624,7,16,9,7,4,48,12633
2026-09-04T20:26:54-0400,12632,4,9,5,4,7,56,12630
2026-09-04T20:27:04-0400,12589,3,8,5,3,3,45,12613
2026-09-04T20:27:14-0400,12595,5,5,0,0,5,5,12584
2026-09-04T20:27:24-0400,12574,0,0,0,0,0,0,12576
2026-09-04T20:27:34-0400,11409,0,0,0,0,0,0,11416
2026-09-04T20:27:44-0400,12582,0,0,0,0,0,0,12572
2026-09-04T20:27:54-0400,12598,0,0,0,0,0,0,12609
2026-09-04T20:28:04-0400,12609,3,7,4,3,1,4,12603
2026-09-04T20:28:14-0400,12581,5,10,5,5,5,54,12585
2026-09-04T20:28:24-0400,12551,3,6,3,3,5,53,12552
