path,onset_seq,run_len,t_s,t_mono_ns,t_real_ns
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,65932,4,33.940274,921255142488,1788567658842739456
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,65982,3,33.981222,921296089872,1788567658883686656
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,66356,14,34.278582,921593449578,1788567659181046528
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,66926,5,34.737854,922052721867,1788567659640318720
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,68438,14,35.950282,923265150348,1788567660852747264
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,69518,7,36.818382,924133250308,1788567661720847104
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,70911,7,37.936865,925251733303,1788567662839330304
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,71015,16,38.019309,925334177342,1788567662921774336
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,72553,15,39.254273,926569141298,1788567664156738304
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,72673,8,39.351406,926666273777,1788567664253870592
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,78166,4,43.763437,931078305075,1788567668665901824
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,78174,13,43.781062,931095930153,1788567668683527168
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,90938,3,54.018988,941333855565,1788567678921452544
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,91574,7,54.527819,941842687330,1788567679430284032
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,95818,4,57.936673,945251540773,1788567682839137536
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,96517,10,58.496152,945811019975,1788567683398616832
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,101338,6,62.367924,949682792498,1788567687270389504
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,101762,15,62.707061,950021929165,1788567687609526016
two_jup/comb/runs/20260904_201814_w1_air/cap/frames.bin,101842,16,62.771266,950086133953,1788567687673730816
