k,seq_expected,crc_ok,seq_decoded,words,chunk,hw_lost
0,50997,0,-1,191,chunk_0_69_r0,0
1,50998,1,50998,191,chunk_0_69_r0,0
2,50999,1,50999,191,chunk_0_69_r0,0
3,51000,1,51000,191,chunk_0_69_r0,0
4,51001,1,51001,191,chunk_0_69_r0,0
5,51002,1,51002,191,chunk_0_69_r0,0
6,51003,1,51003,191,chunk_0_69_r0,0
7,51004,1,51004,191,chunk_0_69_r0,0
8,51005,1,51005,191,chunk_0_69_r0,0
9,51006,1,51006,191,chunk_0_69_r0,0
10,51007,1,51007,191,chunk_0_69_r0,0
11,51008,1,51008,191,chunk_0_69_r0,0
12,51009,1,51009,191,chunk_0_69_r0,0
13,51010,0,-1,191,chunk_0_69_r0,0
14,51011,1,51011,191,chunk_0_69_r0,0
15,51012,1,51012,191,chunk_0_69_r0,0
16,51013,1,51013,191,chunk_0_69_r0,0
17,51014,1,51014,191,chunk_0_69_r0,0
18,51015,1,51015,191,chunk_0_69_r0,0
19,51016,1,51016,191,chunk_0_69_r0,0
20,51017,1,51017,191,chunk_0_69_r0,0
21,51018,1,51018,191,chunk_0_69_r0,0
22,51019,1,51019,191,chunk_0_69_r0,0
23,51020,1,51020,191,chunk_0_69_r0,0
24,51021,1,51021,191,chunk_0_69_r0,0
25,51022,1,51022,191,chunk_0_69_r0,0
26,51023,1,51023,191,chunk_0_69_r0,0
27,51024,1,51024,191,chunk_0_69_r0,0
28,51025,1,51025,191,chunk_0_69_r0,0
29,51026,1,51026,191,chunk_0_69_r0,0
30,51027,1,51027,191,chunk_0_69_r0,0
31,51028,1,51028,191,chunk_0_69_r0,0
32,51029,1,51029,191,chunk_0_69_r0,0
33,51030,1,51030,191,chunk_0_69_r0,0
34,51031,1,51031,191,chunk_0_69_r0,0
35,51032,1,51032,191,chunk_0_69_r0,0
36,51033,1,51033,191,chunk_0_69_r0,0
37,51034,1,51034,191,chunk_0_69_r0,0
38,51035,1,51035,191,chunk_0_69_r0,0
39,51036,1,51036,191,chunk_0_69_r0,0
40,51037,1,51037,191,chunk_0_69_r0,0
41,51038,1,51038,191,chunk_0_69_r0,0
42,51039,1,51039,191,chunk_0_69_r0,0
43,51040,1,51040,191,chunk_0_69_r0,0
44,51041,1,51041,191,chunk_0_69_r0,0
45,51042,1,51042,191,chunk_0_69_r0,0
46,51043,1,51043,191,chunk_0_69_r0,0
47,51044,1,51044,191,chunk_0_69_r0,0
48,51045,1,51045,191,chunk_0_69_r0,0
49,51046,1,51046,191,chunk_0_69_r0,0
50,51047,1,51047,191,chunk_0_69_r0,0
51,51048,1,51048,191,chunk_0_69_r0,0
52,51049,1,51049,191,chunk_0_69_r0,0
53,51050,1,51050,191,chunk_0_69_r0,0
54,51051,1,51051,191,chunk_0_69_r0,0
55,51052,1,51052,191,chunk_0_69_r0,0
56,51053,1,51053,191,chunk_0_69_r0,0
57,51054,0,-1,191,chunk_0_69_r0,0
