# ref -10dB BW = 19.39 MHz, -20dB = 22.16
path,bw20,env,bw10,reclass
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/20260729_135821_rev/pair.iq,34.84,0.4471,32.87,DEGENERATE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/20260729_201601_rev/pair.iq,34.92,0.4672,33.54,DEGENERATE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/accept_rxq_20260731_194749_r1/pair.iq,37.69,0.4878,19.02,HEALTHY-NOISEWIDE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/accept_rxq_20260731_194749_r3/pair.iq,37.93,0.4840,19.02,HEALTHY-NOISEWIDE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/accept_rxq_20260806_024151_r1/pair.iq,33.14,0.5755,31.57,DEGENERATE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/accept_rxq_20260806_024151_r2/pair.iq,32.75,0.5303,19.44,HEALTHY-NOISEWIDE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/accept_rxq_20260806_024151_r3/pair.iq,33.20,0.5214,31.57,DEGENERATE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/accept_rxq_20260806_044058_r1/pair.iq,37.94,0.5098,19.44,HEALTHY-NOISEWIDE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/accept_rxq_20260806_044058_r2/pair.iq,37.94,0.5082,19.44,HEALTHY-NOISEWIDE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/accept_rxq_20260806_044058_r3/pair.iq,37.95,0.5081,19.44,HEALTHY-NOISEWIDE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/accept_rxq_20260807_004148_r2/pair.iq,37.97,0.5128,19.63,HEALTHY-NOISEWIDE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/accept_rxq_20260807_004148_r3/pair.iq,37.77,0.5083,19.44,HEALTHY-NOISEWIDE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/accept_rxq_20260807_014454_r1/pair.iq,37.86,0.5123,19.44,HEALTHY-NOISEWIDE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/accept_rxq_20260807_014454_r2/pair.iq,37.86,0.5115,19.44,HEALTHY-NOISEWIDE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/accept_rxq_20260807_014454_r3/pair.iq,38.19,0.5392,19.75,HEALTHY-NOISEWIDE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/accept_rxq_20260807_020031_r1/pair.iq,37.95,0.5095,19.21,HEALTHY-NOISEWIDE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/accept_rxq_20260807_021820_r1/pair.iq,37.95,0.5004,19.62,HEALTHY-NOISEWIDE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/accept_rxq_20260807_021820_r2/pair.iq,37.93,0.5318,19.44,HEALTHY-NOISEWIDE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/accept_rxq_20260807_021820_r3/pair.iq,38.14,0.4979,36.49,DEGENERATE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/accept_rxq_20260807_032351_r1/pair.iq,38.14,0.5017,36.49,DEGENERATE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/accept_rxq_20260807_032351_r3/pair.iq,37.95,0.4901,19.44,HEALTHY-NOISEWIDE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/accept_rxq_20260807_042112_r1/pair.iq,38.01,0.4874,19.44,HEALTHY-NOISEWIDE
/mnt/onetb/scratch/qpsk-jupiter-modem/two_jup/r3cap/accept_rxq_20260807_042112_r2/pair.iq,38.08,0.4873,36.60,DEGENERATE
