k,seq_expected,crc_ok,seq_decoded,words,chunk,hw_lost
0,34638,0,-1,191,chunk_0_69_r0,0
1,34639,1,34639,191,chunk_0_69_r0,0
2,34640,1,34640,191,chunk_0_69_r0,0
3,34641,1,34641,191,chunk_0_69_r0,0
4,34642,1,34642,191,chunk_0_69_r0,0
5,34643,1,34643,191,chunk_0_69_r0,0
6,34644,1,34644,191,chunk_0_69_r0,0
7,34645,1,34645,191,chunk_0_69_r0,0
8,34646,1,34646,191,chunk_0_69_r0,0
9,34647,1,34647,191,chunk_0_69_r0,0
10,34648,1,34648,191,chunk_0_69_r0,0
11,34649,1,34649,191,chunk_0_69_r0,0
12,34650,1,34650,191,chunk_0_69_r0,0
13,34651,1,34651,191,chunk_0_69_r0,0
14,34652,1,34652,191,chunk_0_69_r0,0
15,34653,1,34653,191,chunk_0_69_r0,0
16,34654,1,34654,191,chunk_0_69_r0,0
17,34655,1,34655,191,chunk_0_69_r0,0
18,34656,1,34656,191,chunk_0_69_r0,0
19,34657,1,34657,191,chunk_0_69_r0,0
20,34658,1,34658,191,chunk_0_69_r0,0
21,34659,1,34659,191,chunk_0_69_r0,0
22,34660,1,34660,191,chunk_0_69_r0,0
23,34661,1,34661,191,chunk_0_69_r0,0
24,34662,1,34662,191,chunk_0_69_r0,0
25,34663,1,34663,191,chunk_0_69_r0,0
26,34664,1,34664,191,chunk_0_69_r0,0
27,34665,1,34665,191,chunk_0_69_r0,0
28,34666,1,34666,191,chunk_0_69_r0,0
29,34667,1,34667,191,chunk_0_69_r0,0
30,34668,1,34668,191,chunk_0_69_r0,0
31,34669,1,34669,191,chunk_0_69_r0,0
32,34670,1,34670,191,chunk_0_69_r0,0
33,34671,1,34671,191,chunk_0_69_r0,0
34,34672,1,34672,191,chunk_0_69_r0,0
35,34673,1,34673,191,chunk_0_69_r0,0
36,34674,1,34674,191,chunk_0_69_r0,0
37,34675,1,34675,191,chunk_0_69_r0,0
38,34676,1,34676,191,chunk_0_69_r0,0
39,34677,1,34677,191,chunk_0_69_r0,0
40,34678,1,34678,191,chunk_0_69_r0,0
