k,seq_expected,crc_ok,seq_decoded,words,chunk,hw_lost
1,32026,0,-1,191,chunk_0_69_r0,0
2,32027,1,32027,191,chunk_0_69_r0,0
3,32028,1,32028,191,chunk_0_69_r0,0
4,32029,1,32029,191,chunk_0_69_r0,0
5,32030,1,32030,191,chunk_0_69_r0,0
6,32031,1,32031,191,chunk_0_69_r0,0
7,32032,1,32032,191,chunk_0_69_r0,0
8,32033,1,32033,191,chunk_0_69_r0,1
9,32034,1,32034,191,chunk_0_69_r0,1
10,32035,1,32035,191,chunk_0_69_r0,0
11,32036,1,32036,191,chunk_0_69_r0,0
12,32037,1,32037,191,chunk_0_69_r0,0
13,32038,1,32038,191,chunk_0_69_r0,0
14,32039,1,32039,191,chunk_0_69_r0,0
15,32040,1,32040,191,chunk_0_69_r0,0
16,32041,1,32041,191,chunk_0_69_r0,1
17,32042,1,32042,191,chunk_0_69_r0,0
18,32043,1,32043,191,chunk_0_69_r0,0
19,32044,1,32044,191,chunk_0_69_r0,0
20,32045,1,32045,191,chunk_0_69_r0,0
21,32046,1,32046,191,chunk_0_69_r0,0
22,32047,1,32047,191,chunk_0_69_r0,0
23,32048,1,32048,191,chunk_0_69_r0,0
24,32049,1,32049,191,chunk_0_69_r0,0
25,32050,1,32050,191,chunk_0_69_r0,0
26,32051,1,32051,191,chunk_0_69_r0,0
27,32052,1,32052,191,chunk_0_69_r0,0
28,32053,1,32053,191,chunk_0_69_r0,0
29,32054,1,32054,191,chunk_0_69_r0,0
30,32055,1,32055,191,chunk_0_69_r0,0
31,32056,1,32056,191,chunk_0_69_r0,0
32,32057,1,32057,191,chunk_0_69_r0,0
33,32058,1,32058,191,chunk_0_69_r0,0
34,32059,1,32059,191,chunk_0_69_r0,0
35,32060,1,32060,191,chunk_0_69_r0,0
36,32061,1,32061,191,chunk_0_69_r0,0
37,32062,1,32062,191,chunk_0_69_r0,0
38,32063,1,32063,191,chunk_0_69_r0,0
39,32064,1,32064,191,chunk_0_69_r0,0
40,32065,1,32065,191,chunk_0_69_r0,0
41,32066,1,32066,191,chunk_0_69_r0,1
42,32067,1,32067,191,chunk_0_69_r0,1
43,32068,1,32068,191,chunk_0_69_r0,0
44,32069,1,32069,191,chunk_0_69_r0,0
45,32070,1,32070,191,chunk_0_69_r0,0
46,32071,1,32071,191,chunk_0_69_r0,0
47,32072,1,32072,191,chunk_0_69_r0,0
48,32073,1,32073,191,chunk_0_69_r0,0
49,32074,1,32074,191,chunk_0_69_r0,1
50,32075,1,32075,191,chunk_0_69_r0,0
51,32076,1,32076,191,chunk_0_69_r0,0
52,32077,1,32077,191,chunk_0_69_r0,0
53,32078,1,32078,191,chunk_0_69_r0,0
54,32079,1,32079,191,chunk_0_69_r0,0
55,32080,1,32080,191,chunk_0_69_r0,0
56,32081,1,32081,191,chunk_0_69_r0,0
