k,crc_ok,seq,nwords,cksum16,cfc_est,ss_err_rms,cs_err_rms,ssIntP,ssIntI,csIntP,csIntI,pdsync
0,0,-1,191,0,-703,157977.9,0.000,0,3283,50176,-49152,1
1,1,32010,191,61276,-705,0.0,0.000,0,4390,9408,-2277376,1
2,1,32011,191,60741,-714,0.0,0.000,0,3708,40768,-966656,1
3,1,32012,191,60054,-707,0.0,0.000,0,4290,76048,-6832128,1
4,1,32013,191,59143,-726,5359234.0,0.000,0,3344,-42336,1417216,1
5,1,32014,191,59765,-699,6148094.7,0.000,0,4151,45472,-917504,1
6,1,32015,191,61912,-717,6228719.6,0.000,0,3607,-39984,5472256,1
7,1,32016,191,62443,-720,6057713.2,0.000,0,4031,0,6225920,1
8,1,32017,191,60594,-710,3617263.9,0.000,0,4316,-44688,-1097728,1
9,1,32018,191,62141,-709,0.0,0.000,0,5097,-28224,1212416,1
10,1,32019,191,59285,-722,0.0,0.000,0,3505,61936,5685248,1
11,1,32020,191,58437,-697,0.0,0.000,-5541,3355,21952,-2801664,1
12,1,32021,191,59994,-687,0.0,0.000,22793,3714,18032,-4792320,1
13,1,32022,191,62759,-716,0.0,0.000,77727,3662,-19600,7348224,1
14,1,32023,191,62241,-697,0.0,0.000,-2217,3471,18032,778240,1
15,1,32024,191,59570,-698,0.0,0.000,0,4048,-7840,-2990080,1
16,1,32025,191,61848,-716,0.0,0.000,0,4415,-14112,3727360,1
17,1,32026,191,60670,-689,0.0,0.000,0,4479,50960,-3530752,1
18,1,32027,191,61752,-703,0.0,0.000,0,3874,1568,-155648,1
19,1,32028,191,60670,-702,0.0,0.000,0,4815,1568,-294912,1
20,1,32029,191,63059,-703,0.0,0.000,0,4007,40768,-1204224,1
21,1,32030,191,60030,-701,0.0,0.000,0,3876,10976,-5824512,1
22,1,32031,191,59154,-695,0.0,0.000,0,3685,-61152,-6955008,1
23,1,32032,191,62017,-710,0.0,0.000,0,3988,14112,-1613824,1
