k,crc_ok,seq,nwords,cksum16,cfc_est,ss_err_rms,cs_err_rms,ssIntP,ssIntI,csIntP,csIntI,pdsync
0,0,-1,191,0,-691,158047.2,0.000,0,3338,61152,-2981888,1
1,1,32010,191,61276,-705,0.0,0.000,0,4501,10192,-2105344,1
2,1,32011,191,60741,-715,0.0,0.000,0,3710,41552,-638976,1
3,1,32012,191,60054,-697,2006360.0,0.000,0,3722,61152,-9822208,1
4,1,32013,191,59143,-728,6013744.8,0.000,0,3518,-40768,1900544,1
5,1,32014,191,59765,-698,6167796.7,0.000,0,4170,45472,-737280,1
6,1,32015,191,61912,-717,6230401.8,0.000,0,3503,-40768,5365760,1
7,1,32016,191,62443,-718,6078270.1,0.000,0,3751,-2352,5464064,1
8,1,32017,191,60594,-701,5292172.2,0.000,0,4183,-43120,-3440640,1
9,1,32018,191,62141,-710,0.0,0.000,0,4923,-26656,1359872,1
10,1,32019,191,59285,-723,0.0,0.000,0,3603,61936,5980160,1
11,1,32020,191,58437,-689,0.0,0.000,-4417,2548,12544,-4980736,1
12,1,32021,191,59994,-685,0.0,0.000,22723,3717,18032,-5292032,1
13,1,32022,191,62759,-715,0.0,0.000,78849,3410,-20384,7053312,1
14,1,32023,191,62241,-696,0.0,0.000,-2107,3581,19600,573440,1
15,1,32024,191,59570,-696,0.0,0.000,-3769,3516,7840,-4571136,1
16,1,32025,191,61848,-717,0.0,0.000,0,4228,-14112,3825664,1
17,1,32026,191,60670,-688,0.0,0.000,0,4344,50960,-3973120,1
18,1,32027,191,61752,-702,0.0,0.000,0,3920,-784,-483328,1
19,1,32028,191,60670,-703,0.0,0.000,0,4413,3136,-49152,1
20,1,32029,191,63059,-702,0.0,0.000,0,4065,39984,-1548288,1
21,1,32030,191,60030,-699,0.0,0.000,0,3803,10192,-6266880,1
22,1,32031,191,59154,-694,0.0,0.000,0,3921,-61152,-7405568,1
23,1,32032,191,62017,-708,0.0,0.000,0,3890,12544,-2785280,1
24,1,32033,191,61742,-729,0.0,0.000,0,4424,7056,2818048,1
25,1,32034,191,60395,-718,0.0,0.000,0,3350,-54880,5423104,1
26,1,32035,191,60399,-711,0.0,0.000,0,4861,-7056,-2957312,1
27,1,32036,191,60874,-711,0.0,0.000,0,4831,24304,-2949120,1
28,1,32037,191,60486,-710,0.0,0.000,0,3805,5488,-360448,1
29,1,32038,191,60038,-719,0.0,0.000,0,3418,20384,3342336,1
30,1,32039,191,60548,-713,0.0,0.000,0,5215,36064,1597440,1
31,1,32040,191,60591,-706,0.0,0.000,0,5091,41552,-245760,1
32,1,32041,191,60713,-723,0.0,0.000,0,3695,-56448,4521984,1
33,1,32042,191,61824,-717,0.0,0.000,0,3768,24304,-1138688,1
34,1,32043,191,60867,-720,0.0,0.000,0,4141,28224,2351104,1
35,1,32044,191,60099,-726,4959831.5,0.000,0,3733,-61152,6160384,1
36,1,32045,191,60841,-720,6040233.7,0.000,0,3919,10192,3768320,1
37,1,32046,191,61004,-725,6082463.7,0.000,0,4028,16464,2654208,1
38,1,32047,191,62686,-716,5973742.5,0.000,0,4137,39200,3465216,1
39,1,32048,191,61025,-711,5700526.0,0.000,0,4204,784,1253376,1
40,1,32049,191,60352,-716,1463442.9,0.000,0,3399,-1568,-122880,1
41,1,32050,191,60170,-715,0.0,0.000,0,3451,39200,-827392,1
42,1,32051,191,61037,-725,0.0,0.000,0,4537,-7840,5734400,1
43,1,32052,191,58882,-728,0.0,0.000,27634,3696,-32928,9543680,1
44,1,32053,191,61541,-735,0.0,0.000,-807,3407,2352,7012352,1
45,1,32054,191,61226,-716,0.0,0.000,16217,3746,-43904,2686976,1
46,1,32055,191,61274,-727,0.0,0.000,34065,4039,-22736,4464640,1
47,1,32056,191,61336,-708,0.0,0.000,0,3742,-18816,-868352,1
48,1,32057,191,61623,-728,0.0,0.000,0,3971,10976,4136960,1
49,1,32058,191,61061,-718,0.0,0.000,0,4012,6272,1818624,1
50,1,32059,191,59588,-709,0.0,0.000,0,4583,-18816,-4014080,1
51,1,32060,191,60051,-719,0.0,0.000,0,4653,1568,4022272,1
52,1,32061,191,60211,-725,0.0,0.000,0,3859,-54096,8372224,1
53,1,32062,191,60490,-713,0.0,0.000,0,4032,-69776,2326528,1
54,1,32063,191,60620,-704,0.0,0.000,0,3764,10192,-2826240,1
55,1,32064,191,62376,-734,0.0,0.000,0,3768,11760,12419072,1
56,1,32065,191,60348,-700,0.0,0.000,0,4285,30576,-5578752,1
57,1,32066,191,60490,-738,0.0,0.000,0,3850,3920,8118272,1
58,1,32067,191,60292,-698,0.0,0.000,0,3628,-58800,-1499136,1
59,1,32068,191,60724,-724,0.0,0.000,0,3716,-9408,6643712,1
60,1,32069,191,60689,-716,0.0,0.000,0,3848,14112,1327104,1
61,1,32070,191,60432,-717,0.0,0.000,0,3754,-4704,3235840,1
62,1,32071,191,59163,-712,0.0,0.000,0,3085,18032,1351680,1
63,1,32072,191,62340,-716,0.0,0.000,0,3528,-58016,-4792320,1
